row_index,model_a,model_b,mean,min,max
202595,specter2,bert,0.11600000000000002,0.04,0.24
202595,specter2,mpnet,0.196,0.16,0.24
202595,specter2,minilm,0.268,0.2,0.36
202595,specter2,pubmedbert,0.148,0.08,0.24
202595,specter2,biobert,0.16,0.08,0.28
202595,specter2,simcse,0.12,0.04,0.16
202595,scincl,scibert,0.05600000000000001,0.0,0.16
202595,scincl,bert,0.028000000000000004,0.0,0.08
202595,scincl,mpnet,0.13999999999999999,0.08,0.24
202595,scincl,minilm,0.10400000000000001,0.04,0.16
202595,scincl,pubmedbert,0.024,0.0,0.08
202595,scincl,biobert,0.052000000000000005,0.0,0.16
202595,scincl,simcse,0.028000000000000004,0.0,0.08
202595,scibert,bert,0.5519999999999999,0.4,0.68
202595,scibert,mpnet,0.07200000000000001,0.04,0.12
202595,scibert,minilm,0.084,0.04,0.2
202595,scibert,pubmedbert,0.4720000000000001,0.36,0.6
202595,scibert,biobert,0.556,0.36,0.68
202595,scibert,simcse,0.38,0.32,0.48
202595,bert,mpnet,0.064,0.04,0.12
202595,bert,minilm,0.068,0.0,0.2
202595,bert,pubmedbert,0.5760000000000002,0.48,0.72
202595,bert,biobert,0.5640000000000001,0.48,0.64
202595,bert,simcse,0.544,0.4,0.64
202595,mpnet,minilm,0.32,0.24,0.4
202595,mpnet,pubmedbert,0.10400000000000001,0.04,0.16
202595,mpnet,biobert,0.096,0.04,0.2
202595,mpnet,simcse,0.092,0.04,0.2
202595,minilm,pubmedbert,0.084,0.0,0.16
202595,minilm,biobert,0.05600000000000001,0.0,0.2
202595,minilm,simcse,0.10400000000000001,0.04,0.16
202595,pubmedbert,biobert,0.688,0.56,0.76
202595,pubmedbert,simcse,0.384,0.32,0.52
202595,biobert,simcse,0.40800000000000003,0.32,0.48
327954,specter,specter2,0.46799999999999997,0.4,0.52
327954,specter,scincl,0.5599999999999999,0.52,0.6
327954,specter,scibert,0.21600000000000003,0.16,0.24
327954,specter,bert,0.08,0.04,0.12
327954,specter,mpnet,0.42800000000000005,0.32,0.52
327954,specter,minilm,0.48,0.4,0.52
327954,specter,pubmedbert,0.11600000000000002,0.08,0.16
327954,specter,biobert,0.092,0.04,0.12
327954,specter,simcse,0.20400000000000001,0.16,0.24
327954,specter2,scincl,0.484,0.44,0.52
327954,specter2,scibert,0.11600000000000002,0.08,0.16
327954,specter2,bert,0.0,0.0,0.0
327954,specter2,mpnet,0.3,0.24,0.36
327954,specter2,minilm,0.296,0.16,0.4
327954,specter2,pubmedbert,0.12000000000000002,0.04,0.16
327954,specter2,biobert,0.028000000000000004,0.0,0.04
327954,specter2,simcse,0.12400000000000003,0.08,0.2
327954,scincl,scibert,0.14800000000000002,0.12,0.2
327954,scincl,bert,0.02,0.0,0.04
327954,scincl,mpnet,0.384,0.32,0.44
327954,scincl,minilm,0.41200000000000003,0.32,0.48
327954,scincl,pubmedbert,0.14400000000000004,0.08,0.2
327954,scincl,biobert,0.031999999999999994,0.0,0.08
327954,scincl,simcse,0.136,0.04,0.2
327954,scibert,bert,0.42000000000000004,0.36,0.48
327954,scibert,mpnet,0.20400000000000001,0.16,0.28
327954,scibert,minilm,0.196,0.12,0.28
327954,scibert,pubmedbert,0.5,0.44,0.56
327954,scibert,biobert,0.356,0.24,0.44
327954,scibert,simcse,0.24400000000000005,0.2,0.28
327954,bert,mpnet,0.12800000000000003,0.08,0.16
327954,bert,minilm,0.1,0.04,0.16
327954,bert,pubmedbert,0.4,0.36,0.48
327954,bert,biobert,0.316,0.24,0.4
327954,bert,simcse,0.30800000000000005,0.24,0.36
327954,mpnet,minilm,0.32399999999999995,0.28,0.36
327954,mpnet,pubmedbert,0.24800000000000005,0.2,0.28
327954,mpnet,biobert,0.024,0.0,0.08
327954,mpnet,simcse,0.324,0.28,0.4
327954,minilm,pubmedbert,0.14000000000000004,0.08,0.2
