field_id,cka_biased,cka_debiased,model,model_a,model_b,n,procrustes_angle_degrees,procrustes_similarity
26,0.9959393275309236,0.9958633958717641,specter2/cls,native,common,2000,6.28866252914391,0.9939826498037443
26,0.9972883733258161,0.9972529186327569,scincl/cls,native,common,2000,5.156179750475899,0.9959534238366955
26,0.9808927347575429,0.9806198518403735,scibert/mean,native,common,2000,9.66137672571225,0.9858168243683997
26,0.9951602207405795,0.9951450340478806,bert/mean,native,common,2000,7.835793142649174,0.9906628645227231
26,0.9970721873564949,0.9969786833216923,mpnet/mean,native,common,2000,5.028695989894697,0.9961509221116054
26,0.9998521473372228,0.9998469647529584,minilm/mean,native,common,2000,1.2323670803119455,0.9997686933207928
26,0.9879055598980878,0.9878199812949964,pubmedbert/mean,native,common,2000,8.590586880450719,0.9887809348540044
26,0.9888798891752384,0.9888767450190276,biobert/mean,native,common,2000,8.658349401774373,0.9886035831701645
26,0.9919707348436363,0.991849972494117,simcse/cls,native,common,2000,7.774150506938093,0.9908089689087666
27,0.9897180184657348,0.9894804971359668,specter/cls,native,common,2000,8.065119480002325,0.9901092520939843
27,0.9836415312589707,0.9830670376849237,specter2/cls,native,common,2000,10.716417833291807,0.9825595543179074
27,0.9900941538187747,0.9898533054339175,scincl/cls,native,common,2000,7.896377295362949,0.9905181516191406
27,0.8736117802381073,0.8707472454971226,scibert/mean,native,common,2000,19.779022961479008,0.9410047240741938
27,0.9421826493432924,0.9414427206198244,bert/mean,native,common,2000,18.08086450451842,0.9506194375214206
27,0.9904699311823163,0.9900865200641593,mpnet/mean,native,common,2000,7.754319967502702,0.9908557271263317
27,0.9997261047688552,0.9997144811346217,minilm/mean,native,common,2000,1.413164706153852,0.9996958496728695
27,0.8824747458433927,0.8802344841229037,pubmedbert/mean,native,common,2000,18.860765507685862,0.9463069462725543
27,0.9187208731060462,0.9168744946282703,biobert/mean,native,common,2000,17.674974046291922,0.9527941875432102
27,0.9367246133321303,0.9353517930872033,simcse/cls,native,common,2000,17.592335612786684,0.9532311069196157
28,0.9889641909558168,0.9887222789674038,specter/cls,native,common,2000,8.416795066010176,0.9892294692608326
28,0.988183157646272,0.9878725107441115,specter2/cls,native,common,2000,10.142035194214722,0.9843742567893534
28,0.992518892226038,0.9923834611312369,scincl/cls,native,common,2000,7.4900833340086495,0.9914674377977121
28,0.9185527961119309,0.9167894426045697,scibert/mean,native,common,2000,16.994201084529145,0.9563343420543887
28,0.9718830265239287,0.9716191592924573,bert/mean,native,common,2000,14.805408784200077,0.9667992699378342
28,0.9917758542049245,0.9915370578078208,mpnet/mean,native,common,2000,7.978809317416475,0.9903194737917055
28,0.9998365585068894,0.9998309718006718,minilm/mean,native,common,2000,1.2113933295028283,0.9997764992848325
28,0.9392410961074298,0.9382627937652688,pubmedbert/mean,native,common,2000,15.80042743465404,0.9622159622531895
28,0.9644579792690973,0.9636453184412178,biobert/mean,native,common,2000,14.59580931420632,0.9677276045652384
28,0.9621311181418641,0.9614220659213535,simcse/cls,native,common,2000,14.316189890254707,0.9689458989797525
29,0.9924065300262188,0.9923008023985352,specter/cls,native,common,2000,8.197730398930787,0.9897818799501957
29,0.9881377140044098,0.9878294012027694,specter2/cls,native,common,2000,10.22584011408887,0.9841156435361078
29,0.9922017362281458,0.9920865552903844,scincl/cls,native,common,2000,8.192079484337256,0.9897959383425096
29,0.9077247918810984,0.9060039602044627,scibert/mean,native,common,2000,18.70008298095974,0.9472098134041382
29,0.9640925947996088,0.9636936092037667,bert/mean,native,common,2000,16.199875337746285,0.9602942926942506
