field_id,period_start,model_a,model_b,median_change_1024_to_2048,central95_width_at2048,median2048_minus_full,passes_operational_screen
11,2005,pubmedbert,biobert,0.001309629555414471,0.007361704080807607,-0.00037880155736880194,True
11,2005,pubmedbert,simcse,0.0015932615556458751,0.010572470376646326,-0.0009627893977693924,True
11,2005,biobert,simcse,0.0015654030363123628,0.01315730894431022,-0.0012937400214906303,True
11,2010,specter,specter2,0.002307323867533073,0.009392780244403709,0.0001285316759356281,True
11,2010,specter,scincl,0.0017110787677179218,0.0061252946813861175,-0.0007190194734186806,True
11,2010,specter,scibert,0.008204579704778281,0.016061459510238296,-0.0007114015155595954,True
11,2010,specter,bert,0.0019937023221133776,0.025632052205485256,-0.00020850299836283614,True
11,2010,specter,mpnet,0.0033735743805879403,0.007488746076413921,-0.0006044739270412158,True
11,2010,specter,minilm,0.0033416284542220343,0.009017911089605923,-0.0008266284347678843,True
11,2010,specter,pubmedbert,0.0068927884354481606,0.019481360509461976,-0.0012883558218944047,True
11,2010,specter,biobert,0.004326256024640984,0.04740152225365907,-0.0010681507245461352,False
11,2010,specter,simcse,0.006671567478757412,0.016560744864289934,-0.0017178231417268597,True
11,2010,specter2,scincl,0.0012438415665587677,0.0064624443245243635,-0.00020038704641422989,True
11,2010,specter2,scibert,0.008442106946849104,0.013181088385121886,-0.0011859569098894296,True
11,2010,specter2,bert,0.002042957916996657,0.02458008865871597,-0.0006747120638978532,True
11,2010,specter2,mpnet,0.0017496881029708256,0.006836677552619186,-0.0011993523978136578,True
11,2010,specter2,minilm,0.0012194981006738992,0.009169995375287066,-0.0005188074926514297,True
11,2010,specter2,pubmedbert,0.010834569864059895,0.016903671978048984,-0.0028277622187510287,True
11,2010,specter2,biobert,0.006148763780312594,0.04652179382160321,-0.0016517634264426873,False
11,2010,specter2,simcse,0.007395476667589551,0.01178816012160605,-0.00292252372377505,True
11,2010,scincl,scibert,0.011453653204152037,0.014730877130751052,-0.0023326770636320493,True
11,2010,scincl,bert,0.0019888928545204188,0.027171267357791018,5.104787680565437e-06,True
11,2010,scincl,mpnet,0.004363392970589297,0.007104843799049854,-0.0015464659262247604,True
11,2010,scincl,minilm,0.00324877230799947,0.009569314934747886,-0.0011157963010790528,True
11,2010,scincl,pubmedbert,0.009857174389936385,0.01848215990193658,-0.0022806322779115318,True
11,2010,scincl,biobert,0.007150298593012527,0.04694881450367955,-0.0009025652046234511,False
11,2010,scincl,simcse,0.006484285252212618,0.01772643984785327,-0.002931279086424543,True
11,2010,scibert,bert,0.0008983194821313711,0.015875270850236434,0.001556840425338879,True
11,2010,scibert,mpnet,0.010414500176146313,0.016761570179228857,-0.0017875799126693126,True
11,2010,scibert,minilm,0.006536654629391236,0.017116125762084766,2.0253798796998623e-06,True
11,2010,scibert,pubmedbert,0.0011966176341429158,0.0128416127478016,-0.00126917307460217,True
11,2010,scibert,biobert,0.0008422066278152007,0.02463491232346182,-0.0011820948756174898,True
11,2010,scibert,simcse,0.0007355236321083813,0.01278346129971819,0.0008805129465259132,True
11,2010,bert,mpnet,0.0021417612518135343,0.02707491854452071,0.0007991147334232007,True
11,2010,bert,minilm,0.0006246232715370059,0.026178981722531636,0.0006055201571388835,True
11,2010,bert,pubmedbert,0.002604304462142437,0.017110033092674115,-0.00041348787847206303,True
11,2010,bert,biobert,0.0026811628956300293,0.013142743633394072,-0.0008651951812137515,True
11,2010,bert,simcse,0.0008076283567066689,0.008119924707764903,0.001269462396853882,True
11,2010,mpnet,minilm,0.0019475038936711542,0.0061466984965656835,-0.00039285871062921807,True
11,2010,mpnet,pubmedbert,0.010890159499166219,0.02100398620361643,-0.0027678694187265873,True
11,2010,mpnet,biobert,0.008778700355434377,0.0475123341686971,-0.002406953681436619,False
11,2010,mpnet,simcse,0.0040793535220816635,0.017644437179052952,-0.002047456202889042,True
11,2010,minilm,pubmedbert,0.005831399916742641,0.020085371796915275,-0.0022699102832942075,True
11,2010,minilm,biobert,0.004090082806153861,0.04304714397460346,-0.0024795387403452884,False
11,2010,minilm,simcse,0.002870236690044492,0.015598329039174796,-0.002124360660822333,True
