field_id,period_start,delta_overlap,extended_overlap,k,native_overlap,other_model
11,2010,-0.27195431472081216,0.7280456852791878,10,1.0,minilm
11,2010,-0.24536040609137055,0.7546395939086294,25,1.0,minilm
11,2010,-0.2249289340101523,0.7750710659898477,50,1.0,minilm
11,2010,0.02,0.18664974619289343,10,0.1666497461928934,pubmedbert
11,2010,0.021461928934010152,0.2296954314720812,25,0.20823350253807107,pubmedbert
11,2010,0.022167512690355332,0.2647005076142132,50,0.2425329949238579,pubmedbert
11,2010,0.02053299492385787,0.19677664974619288,10,0.17624365482233506,biobert
11,2010,0.024071065989847717,0.2407309644670051,25,0.2166598984771574,biobert
11,2010,0.023761421319796954,0.2778071065989848,50,0.2540456852791878,biobert
11,2010,0.018934010152284263,0.19743654822335027,10,0.178502538071066,simcse
11,2010,0.02113705583756345,0.23773604060913708,25,0.21659898477157363,simcse
11,2010,0.022934010152284263,0.2727005076142132,50,0.24976649746192894,simcse
11,2015,0.00144253140995812,0.327919962773383,10,0.3264774313634249,specter
11,2015,0.003936714751046998,0.37427640763145653,25,0.3703396928804095,specter
11,2015,0.0037785016286644955,0.4108236389018148,50,0.4070451372731503,specter
11,2015,-0.006468124709167054,0.31617031177291766,10,0.3226384364820847,specter2
11,2015,-0.00398324802233597,0.350860865518846,25,0.35484411354118195,specter2
11,2015,-0.004281060958585388,0.378962308050256,50,0.38324336900884126,specter2
11,2015,-0.0018613308515588642,0.3659609120521173,10,0.3678222429036761,scincl
11,2015,0.0002419730107026526,0.406561191251745,25,0.4063192182410424,scincl
11,2015,0.0012657049790600272,0.4359609120521173,50,0.4346952070730572,scincl
11,2015,0.020218706375058168,0.20009306654257794,10,0.17987436016751981,scibert
11,2015,0.022335970218706376,0.24301535597952537,25,0.220679385760819,scibert
11,2015,0.0211447184737087,0.28107957189390415,50,0.25993485342019546,scibert
11,2015,0.030223359702187064,0.20870172173103768,10,0.17847836202885067,bert
11,2015,0.030255932992089347,0.25194974406700793,25,0.22169381107491856,bert
11,2015,0.030688692415076782,0.29188459748720336,50,0.2611959050721266,bert
11,2015,-0.007375523499302001,0.4803862261516984,10,0.4877617496510004,mpnet
11,2015,-0.0033317822242903677,0.514574220567706,25,0.5179060027919963,mpnet
11,2015,-0.003517915309446254,0.541037691949744,50,0.5445556072591903,mpnet
11,2015,-0.29481154025127965,0.7051884597487204,10,1.0,minilm
11,2015,-0.26777105630525827,0.7322289436947417,25,1.0,minilm
11,2015,-0.24579339227547697,0.754206607724523,50,1.0,minilm
11,2015,0.01912517449976733,0.18873894834806887,10,0.16961377384830156,pubmedbert
11,2015,0.02144253140995812,0.2290367612843183,25,0.2075942298743602,pubmedbert
11,2015,0.021898557468590044,0.2659143787808283,50,0.24401582131223828,pubmedbert
11,2015,0.022010237319683573,0.20146579804560263,10,0.17945556072591906,biobert
11,2015,0.023052582596556542,0.2428478362028851,25,0.21979525360632854,biobert
11,2015,0.02279664960446719,0.280860865518846,50,0.25806421591437884,biobert
11,2015,0.01891577477896696,0.1898557468590042,10,0.17093997208003725,simcse
11,2015,0.018966961377384833,0.22996742671009773,25,0.2110004653327129,simcse
11,2015,0.019725453699395067,0.2668124709167055,50,0.24708701721731038,simcse
11,2020,0.004082575874287475,0.3186720073948544,10,0.31458943152056695,specter
11,2020,0.0045909721152364805,0.35903866892620556,25,0.35444769681096905,specter
11,2020,0.003897704513942382,0.3931628408565707,50,0.38926513634262827,specter
11,2020,-0.00827299337544292,0.3103065783392389,10,0.3185795717146818,specter2
11,2020,-0.008134339855184101,0.3397442612848559,25,0.34787860114004004,specter2
11,2020,-0.007521183176706209,0.36673856108457864,50,0.37425974426128483,specter2
11,2020,0.001694654136496687,0.3617162224618703,10,0.36002156832537363,scincl
11,2020,0.0016700046217840083,0.39575412109074104,25,0.394084116468957,scincl
11,2020,0.0013495609305191807,0.42572176860268063,50,0.4243722076721615,scincl
11,2020,0.023786781697735328,0.18534894469265142,10,0.16156216299491605,scibert
11,2020,0.024359882914805116,0.2241503620397474,25,0.19979047912494224,scibert
11,2020,0.0230781081497458,0.2582036666153135,50,0.2351255584655677,scibert
11,2020,0.02942535818826067,0.1925281158527192,10,0.16310275766445853,bert
11,2020,0.030300415960560777,0.2313788322292405,25,0.20107841626867973,bert
11,2020,0.031613002619010934,0.2685749499306732,50,0.2369619473116623,bert
11,2020,-0.008365429055615468,0.47173008781389614,10,0.4800955168695116,mpnet
11,2020,-0.0070744107225389,0.5033246032968726,25,0.5103990140194115,mpnet
