centroid_edge_spearman,model_a,model_b,period_start,stage
0.6858207050845089,specter,pubmedbert,2015,cls
0.7346424763602679,specter,biobert,2015,cls
0.7662622131333789,specter,simcse,2015,cls
0.9513631517312501,specter2,scincl,2015,cls
0.7862017373673815,specter2,scibert,2015,cls
0.8207292049009841,specter2,bert,2015,cls
0.8412014751892054,specter2,mpnet,2015,cls
0.847177389754077,specter2,minilm,2015,cls
0.7912768077185257,specter2,pubmedbert,2015,cls
0.8393753167986298,specter2,biobert,2015,cls
0.863482774893818,specter2,simcse,2015,cls
0.7739733976543793,scincl,scibert,2015,cls
0.7877006973939489,scincl,bert,2015,cls
0.7932560781640537,scincl,mpnet,2015,cls
0.796692360127943,scincl,minilm,2015,cls
0.7757960603359376,scincl,pubmedbert,2015,cls
0.8223169559365879,scincl,biobert,2015,cls
0.8318595424116898,scincl,simcse,2015,cls
0.9478845716882527,scibert,bert,2015,cls
0.758174540751228,scibert,mpnet,2015,cls
0.806027651058326,scibert,minilm,2015,cls
0.9664761505252304,scibert,pubmedbert,2015,cls
0.9485249855802004,scibert,biobert,2015,cls
0.9252544002237255,scibert,simcse,2015,cls
0.8164567493401849,bert,mpnet,2015,cls
0.8661091010784264,bert,minilm,2015,cls
0.9619631901840492,bert,pubmedbert,2015,cls
0.969236012794295,bert,biobert,2015,cls
0.96076905598378,bert,simcse,2015,cls
0.9683040567703147,mpnet,minilm,2015,cls
0.7532095852341253,mpnet,pubmedbert,2015,cls
0.8150930732525826,mpnet,biobert,2015,cls
0.8198231171237308,mpnet,simcse,2015,cls
0.8168049219582963,minilm,pubmedbert,2015,cls
0.8622491391816546,minilm,biobert,2015,cls
0.8708146749864543,minilm,simcse,2015,cls
0.9699512348592104,pubmedbert,biobert,2015,cls
0.9355968049219584,pubmedbert,simcse,2015,cls
0.9343900861692275,biobert,simcse,2015,cls
0.899571076503592,specter,specter2,2020,cls
0.9365207208151995,specter,scincl,2020,cls
0.7030007166203486,specter,scibert,2020,cls
0.7183965182738189,specter,bert,2020,cls
0.7496076066628214,specter,mpnet,2020,cls
