stage,field_id,period_start,cka_biased,cka_debiased,model_a,model_b,n,procrustes_angle_degrees,procrustes_similarity,rsa_spearman
quality,14,2000,0.8416663003574889,0.838187374441649,scibert/mean,biobert/mean,1667,35.32324926985125,0.8159030419631339,
quality,14,2000,0.618568992214493,0.6093637835438365,scibert/mean,simcse/cls,1667,45.20890747957,0.7045238881431022,
quality,14,2000,0.5386062599218127,0.5262251350197807,bert/mean,mpnet/mean,1667,49.36733373200543,0.6512069978094721,
quality,14,2000,0.5255425907816802,0.5122710616477495,bert/mean,minilm/mean,1667,50.8903333557139,0.6308067289460715,
quality,14,2000,0.7736844148954548,0.7692238628009753,bert/mean,pubmedbert/mean,1667,37.747257066155164,0.7907188816544344,
quality,14,2000,0.8036334467051187,0.7994658707082739,bert/mean,biobert/mean,1667,37.3486074406139,0.7949590984133497,
quality,14,2000,0.7668649784738246,0.7615861960294795,bert/mean,simcse/cls,1667,34.78839213506882,0.8212648162599259,
quality,14,2000,0.825408806073806,0.8173331108381273,mpnet/mean,minilm/mean,1667,39.350340950186705,0.7732834129653844,
quality,14,2000,0.45486694887966306,0.44033655848467573,mpnet/mean,pubmedbert/mean,1667,52.68646427752405,0.6061763083345945,
quality,14,2000,0.5113412316474537,0.4967202293449685,mpnet/mean,biobert/mean,1667,51.964737016602896,0.6161463439812351,
quality,14,2000,0.573120438073691,0.5590070534609339,mpnet/mean,simcse/cls,1667,48.844746185814635,0.6581016471374506,
quality,14,2000,0.4379872451973875,0.4222384221939687,minilm/mean,pubmedbert/mean,1667,54.08148581190849,0.5866340777413702,
quality,14,2000,0.48995141398528436,0.4738378016755406,minilm/mean,biobert/mean,1667,53.34543444909052,0.5969891665072712,
quality,14,2000,0.5870504857970101,0.5728273501158083,minilm/mean,simcse/cls,1667,49.94573408377882,0.6435128564545717,
quality,14,2000,0.8563750912261553,0.8535254111412924,pubmedbert/mean,biobert/mean,1667,33.69851856218288,0.8319684678919111,
quality,14,2000,0.5976914535202904,0.5888247727612277,pubmedbert/mean,simcse/cls,1667,45.96457963436338,0.695102934995724,
quality,14,2000,0.6393931935278915,0.6304347167462263,biobert/mean,simcse/cls,1667,45.30011930059769,0.7033932227906813,
quality,14,2005,0.7323479956619968,0.7264756102128209,specter/cls,specter2/cls,1715,42.31992038614367,0.739397059762085,
quality,14,2005,0.7734315977917587,0.7688832548616242,specter/cls,scincl/cls,1715,38.772256470715774,0.7796412851044526,
quality,14,2005,0.4570043502179052,0.44700590660367573,specter/cls,scibert/mean,1715,50.32016080241917,0.6384970475227412,
quality,14,2005,0.48166454435906747,0.47212827022406934,specter/cls,bert/mean,1715,50.8478889613137,0.6313813678324577,
quality,14,2005,0.7434242828933547,0.7377719274694421,specter/cls,mpnet/mean,1715,43.170918036166384,0.7293159931999456,
quality,14,2005,0.7122107208926003,0.7057172118260225,specter/cls,minilm/mean,1715,46.27309374149342,0.6912218422816088,
quality,14,2005,0.40578098098570586,0.3951201764900401,specter/cls,pubmedbert/mean,1715,52.61850370860667,0.6071192513446272,
quality,14,2005,0.46115969293457304,0.4504884874746795,specter/cls,biobert/mean,1715,52.38279805829192,0.6103830059309951,
quality,14,2005,0.5336772221086169,0.5235852423259814,specter/cls,simcse/cls,1715,50.51006339646755,0.6359426827865885,
quality,14,2005,0.8006902578346862,0.7958265031758327,specter2/cls,scincl/cls,1715,35.63003913901207,0.8127954527865868,
quality,14,2005,0.5748051685488892,0.5654914053065785,specter2/cls,scibert/mean,1715,45.12618600338125,0.7055477630129696,
quality,14,2005,0.5410564392911174,0.530941696800367,specter2/cls,bert/mean,1715,50.16175910433218,0.6406223319920038,
quality,14,2005,0.771545599852597,0.7633154608814204,specter2/cls,mpnet/mean,1715,42.995084112748884,0.7314122133077173,
quality,14,2005,0.7222282042814874,0.7117462683321388,specter2/cls,minilm/mean,1715,46.31014782977749,0.6907543533312204,
quality,14,2005,0.49805756061195183,0.4873106577914402,specter2/cls,pubmedbert/mean,1715,50.934342891452836,0.630210534641831,
quality,14,2005,0.5540268202319749,0.5431751135849546,specter2/cls,biobert/mean,1715,50.57402343672617,0.6350807872431443,
quality,14,2005,0.5455682104987789,0.5327210676430394,specter2/cls,simcse/cls,1715,50.600347808028765,0.6347258223923458,
quality,14,2005,0.46507821630750773,0.45464494612471784,scincl/cls,scibert/mean,1715,48.71265468800287,0.6598357231815873,
quality,14,2005,0.4824186339306906,0.4724336521907064,scincl/cls,bert/mean,1715,51.23744554973782,0.6260943427095268,
quality,14,2005,0.7687350576117299,0.7628056041033665,scincl/cls,mpnet/mean,1715,42.26505433720735,0.7400414390713919,
quality,14,2005,0.7335461063695778,0.7265260629695885,scincl/cls,minilm/mean,1715,45.53307783385336,0.7004973758298028,
quality,14,2005,0.41936904656314106,0.40837668696716045,scincl/cls,pubmedbert/mean,1715,52.94143855955095,0.6026309859905131,
quality,14,2005,0.46633755158145884,0.4551116842479478,scincl/cls,biobert/mean,1715,52.69855650612982,0.6060084410101456,
quality,14,2005,0.5279468287933166,0.5169633551329642,scincl/cls,simcse/cls,1715,51.03957253969276,0.6287834887266194,
quality,14,2005,0.7521819002022923,0.7478559888321785,scibert/mean,bert/mean,1715,38.098713677290846,0.7869488745679764,
