model,field_id,period_start,cka_biased,cka_debiased,model_a,model_b,n,procrustes_angle_degrees,procrustes_similarity
scibert,15,2015,0.7325914310881164,0.7289309291242307,scibert/mean,scibert/sep,2166,41.264993069977315,0.751667245157869
scibert,15,2015,0.845285045710696,0.8433264905502388,scibert/cls,scibert/sep,2166,25.329178145414065,0.9038647984340957
scibert,15,2020,0.7073188307444083,0.703726704107029,scibert/mean,scibert/cls,2166,41.81352404721347,0.745318651158314
scibert,15,2020,0.7238001472053536,0.7203169519136948,scibert/mean,scibert/sep,2166,41.65671395967931,0.747140540002028
scibert,15,2020,0.8345338588082651,0.8326161822490629,scibert/cls,scibert/sep,2166,25.97364701635681,0.8989955784229877
scibert,16,2000,0.6855146179863836,0.6816547930924527,scibert/mean,scibert/cls,2166,42.042579518986386,0.7426473540287841
scibert,16,2000,0.6469209593780709,0.6424957447653245,scibert/mean,scibert/sep,2166,42.6329885484276,0.7357072478475986
scibert,16,2000,0.8641965438428433,0.8623886330883612,scibert/cls,scibert/sep,2166,24.857701301958226,0.9073545974286669
scibert,16,2005,0.723384048936349,0.7203336525589895,scibert/mean,scibert/cls,2166,41.237587935449625,0.7519826248388952
scibert,16,2005,0.7018574475619801,0.6985634795209789,scibert/mean,scibert/sep,2166,41.87533213611062,0.7445990028251823
scibert,16,2005,0.8869849069545539,0.8856940719060652,scibert/cls,scibert/sep,2166,24.255925785885644,0.9117195603192898
scibert,16,2010,0.7242340739762858,0.7212510175406643,scibert/mean,scibert/cls,2166,41.13096079722111,0.7532080578510721
scibert,16,2010,0.7146520395222571,0.7115281067598976,scibert/mean,scibert/sep,2166,41.615668201874875,0.7476165041423223
scibert,16,2010,0.8859193428068717,0.8847063472001111,scibert/cls,scibert/sep,2166,24.78648750185292,0.9078763758522278
scibert,16,2015,0.7034305084930536,0.7001796464171337,scibert/mean,scibert/cls,2166,42.10237799105325,0.7419480151020579
scibert,16,2015,0.7026726421880912,0.6992410100363103,scibert/mean,scibert/sep,2166,42.41145025280081,0.738320570181894
scibert,16,2015,0.865215425885054,0.8636785614334742,scibert/cls,scibert/sep,2166,25.35827620057097,0.9036474114621134
scibert,16,2020,0.7145458979619275,0.7115697030185256,scibert/mean,scibert/cls,2166,41.673697180995454,0.7469434914263907
scibert,16,2020,0.7168467590288055,0.713571355399168,scibert/mean,scibert/sep,2166,41.629109673642404,0.7474606798817793
scibert,16,2020,0.8561150232845356,0.8546141905987928,scibert/cls,scibert/sep,2166,25.581743315367646,0.9019701601029183
scibert,17,2000,0.6649318902365875,0.6619319192748264,scibert/mean,scibert/cls,3310,45.17096893651155,0.7049936502212082
scibert,17,2000,0.6355295523300003,0.6321499450211261,scibert/mean,scibert/sep,3310,44.768175704936546,0.7099620081921804
scibert,17,2000,0.9386125143944078,0.9381960012613438,scibert/cls,scibert/sep,3310,22.6754047571748,0.922703661555141
scibert,17,2005,0.8043455017722088,0.8036283398848638,scibert/mean,scibert/cls,5594,43.382149637915724,0.7267886961649812
scibert,17,2005,0.7779520909893816,0.7770542673964361,scibert/mean,scibert/sep,5594,43.26259749366848,0.728220302641274
scibert,17,2005,0.9350890854984311,0.9348656305110493,scibert/cls,scibert/sep,5594,23.872738296036257,0.9144466207351111
scibert,17,2010,0.7928272140135365,0.7922479537785633,scibert/mean,scibert/cls,7094,43.4352567994568,0.7261517360386549
scibert,17,2010,0.7736907641529617,0.7729987211600405,scibert/mean,scibert/sep,7094,43.03670460764824,0.7309166523444985
scibert,17,2010,0.9306671369973456,0.9304765296464573,scibert/cls,scibert/sep,7094,23.768615092790622,0.9151805805644219
