cosine_distance,field_a,field_b,model,period_start,stage
0.13366685290148228,22,27,specter,2000,mean
0.13062061255717394,22,28,specter,2000,mean
0.14619317996080472,22,29,specter,2000,mean
0.14757003588026796,22,30,specter,2000,mean
0.06810132056193907,22,31,specter,2000,mean
0.1605637200762854,22,32,specter,2000,mean
0.18816581622051043,22,33,specter,2000,mean
0.16147852983842703,22,34,specter,2000,mean
0.20965285506998244,22,35,specter,2000,mean
0.159379834457671,22,36,specter,2000,mean
0.19614430650323522,23,24,specter,2000,mean
0.1527369437929592,23,25,specter,2000,mean
0.1603144207691981,23,26,specter,2000,mean
0.1516101750515747,23,27,specter,2000,mean
0.14737559778514764,23,28,specter,2000,mean
0.11562567064864249,23,29,specter,2000,mean
0.14556027279924455,23,30,specter,2000,mean
0.159818910202975,23,31,specter,2000,mean
0.16688857818883196,23,32,specter,2000,mean
0.14579258206374512,23,33,specter,2000,mean
0.12959967478434997,23,34,specter,2000,mean
0.22482108552464897,23,35,specter,2000,mean
0.15873954021867742,23,36,specter,2000,mean
0.21516352388331106,24,25,specter,2000,mean
0.2020417673365642,24,26,specter,2000,mean
0.07583225656749804,24,27,specter,2000,mean
0.14516822532310347,24,28,specter,2000,mean
0.12458477486520592,24,29,specter,2000,mean
0.11013870511996193,24,30,specter,2000,mean
0.19978271119422375,24,31,specter,2000,mean
0.1875374436154572,24,32,specter,2000,mean
0.2188088478233644,24,33,specter,2000,mean
0.11494711346974773,24,34,specter,2000,mean
0.2357826046092616,24,35,specter,2000,mean
0.17455217355553354,24,36,specter,2000,mean
0.15056205515328946,25,26,specter,2000,mean
0.1625915076277622,25,27,specter,2000,mean
0.16642915172136652,25,28,specter,2000,mean
0.15159490871853165,25,29,specter,2000,mean
0.13686267269083896,25,30,specter,2000,mean
0.07924715258577109,25,31,specter,2000,mean
0.20397295742963995,25,32,specter,2000,mean
0.2338056677286019,25,33,specter,2000,mean
0.2000823220923975,25,34,specter,2000,mean
0.2098076903687286,25,35,specter,2000,mean
0.2118469582906024,25,36,specter,2000,mean
0.14799397187051044,26,27,specter,2000,mean
0.12983741181910424,26,28,specter,2000,mean
0.17568187034988203,26,29,specter,2000,mean
0.17277169615951737,26,30,specter,2000,mean
0.08299861488252225,26,31,specter,2000,mean
0.13519260839652825,26,32,specter,2000,mean
0.15619871233695282,26,33,specter,2000,mean
0.20203650504517845,26,34,specter,2000,mean
0.2633706384655631,26,35,specter,2000,mean
0.15866786379603282,26,36,specter,2000,mean
0.08353778690116243,27,28,specter,2000,mean
0.061917860192791774,27,29,specter,2000,mean
0.06138740626582839,27,30,specter,2000,mean
0.15505289826788649,27,31,specter,2000,mean
0.12114022381207734,27,32,specter,2000,mean
0.17105737814673205,27,33,specter,2000,mean
0.07501690744669953,27,34,specter,2000,mean
0.15457416235971755,27,35,specter,2000,mean
0.0909491348905771,27,36,specter,2000,mean
0.11226517129657287,28,29,specter,2000,mean
0.11501787411261521,28,30,specter,2000,mean
0.13756568468594188,28,31,specter,2000,mean
0.09161835590663414,28,32,specter,2000,mean
0.16442873150246962,28,33,specter,2000,mean
0.1366588837958309,28,34,specter,2000,mean
0.21135759734343817,28,35,specter,2000,mean
0.13574607964617613,28,36,specter,2000,mean
0.05971719358474581,29,30,specter,2000,mean
0.17968110800324033,29,31,specter,2000,mean
0.12419242947735087,29,32,specter,2000,mean
0.15688792490561732,29,33,specter,2000,mean
0.07336244821909921,29,34,specter,2000,mean
0.17865168548255006,29,35,specter,2000,mean
0.0995359790706154,29,36,specter,2000,mean
0.17497644094785736,30,31,specter,2000,mean
0.1450346762215151,30,32,specter,2000,mean
0.17375089276027222,30,33,specter,2000,mean
0.11578233499137736,30,34,specter,2000,mean
0.18675056480555696,30,35,specter,2000,mean
0.12287406080710839,30,36,specter,2000,mean
0.17796325350767095,31,32,specter,2000,mean
0.20643823511857196,31,33,specter,2000,mean
0.2096881845721842,31,34,specter,2000,mean
0.2575380672685461,31,35,specter,2000,mean
0.2047065701673466,31,36,specter,2000,mean
0.05579417292179034,32,33,specter,2000,mean
0.168717165591297,32,34,specter,2000,mean
0.22304593967053354,32,35,specter,2000,mean
0.04470551692368041,32,36,specter,2000,mean
0.20185268160477554,33,34,specter,2000,mean
0.27328722628565827,33,35,specter,2000,mean
