model_a,model_b,cells,cka_debiased_mean,cka_debiased_median,cka_debiased_min,cka_debiased_max,cka_debiased_q05,cka_debiased_q95,procrustes_similarity_mean,procrustes_similarity_median,procrustes_similarity_min,procrustes_similarity_max,procrustes_similarity_q05,procrustes_similarity_q95,rsa_spearman_mean,rsa_spearman_median,rsa_spearman_min,rsa_spearman_max,rsa_spearman_q05,rsa_spearman_q95
scibert,biobert,130,0.8370444425706776,0.8383218458252919,0.7602168227156686,0.9050616286917813,0.7865831030978875,0.8890002914087103,0.807478118496184,0.8094803133206185,0.7596844633262986,0.8309589750729973,0.7684905320797223,0.8283151964238897,0.8335161483414286,0.8350330664478327,0.7661363151013384,0.8821269642393234,0.7859286837513436,0.8658196661386978
scibert,simcse,130,0.631287339546113,0.6237198148799474,0.5415603252839247,0.7668327746781434,0.5669506831190417,0.7094576600432655,0.6693727061891198,0.6734012455853685,0.612950048943837,0.7063187283136383,0.6299284395275171,0.6961352818974157,0.5492695817063953,0.5491990235142469,0.4556175526666373,0.6710584588856506,0.48597284104928157,0.6228818749783287
bert,mpnet,130,0.5618623885265123,0.5525187316528338,0.4562033907621194,0.778580517319373,0.47921513142080674,0.6333088425153466,0.6115667257332441,0.618248411693963,0.5257293114348135,0.6718581885748476,0.5589744119651296,0.6607552484342933,0.4892104432790381,0.48725421574438577,0.37820851936852307,0.6976261969150676,0.3894900535784251,0.597494750219909
bert,minilm,130,0.5709499506862447,0.564744714324005,0.4678567495618298,0.7597069346590816,0.5037721808216613,0.6422962377970517,0.595269468373965,0.6021899324648052,0.5246607280067861,0.6459116994263809,0.544015091384904,0.6306881286544773,0.524891404721997,0.5210911370735467,0.4020277375065705,0.689219490395549,0.4215395308394326,0.6200952227153881
bert,pubmedbert,130,0.7465854063832688,0.7417596102807901,0.6473808348731269,0.8840220530627569,0.6834017063524137,0.840981658043365,0.7644823901050332,0.7665598566154588,0.7071987934883494,0.8051460086901197,0.7250985921317561,0.7942271750807879,0.784702952548092,0.783378979446193,0.6951918320154772,0.873787251219471,0.7247455431255931,0.8370717002695033
bert,biobert,130,0.7747901506285031,0.7742614662372039,0.6706266908244848,0.8797906322448428,0.713402498945717,0.825110468077983,0.7680400820920775,0.7700641381463427,0.7083522741969157,0.8029607217218375,0.7314873807855378,0.792865982188038,0.8030178549526648,0.8050939666167299,0.721846771891618,0.8635412567958495,0.7459592471004959,0.8518355548513193
bert,simcse,130,0.7835937282350697,0.7841974159049123,0.7193741543338917,0.8627314380033465,0.7449014578190766,0.8244276401224979,0.7976435731898137,0.7975943958577834,0.7621841528929301,0.82481820779119,0.7779725055639857,0.814351073614745,0.7878416568769685,0.7915478816778694,0.6417800254251805,0.8523080964584155,0.7149631848653314,0.8339056766660943
mpnet,minilm,130,0.8329678383147531,0.8319685383558946,0.7587458315576517,0.9198809999461295,0.7918340775633287,0.8908236385965013,0.7503232827391795,0.7549427861733244,0.7107212302848344,0.7861253316494237,0.7149354537106194,0.7765980100756364,0.8219459896338961,0.8230428896793546,0.74863020620658,0.8993665469999245,0.7610585328560693,0.8687235516622878
mpnet,pubmedbert,130,0.5005454851808689,0.4974115125068761,0.3384813679247646,0.7466316244465699,0.3810409377604532,0.6132475505125238,0.595295765621185,0.6014056296346553,0.5309493600201113,0.6559367046902254,0.5423048916812536,0.6354385353757749,0.4317512807314008,0.43393830349759727,0.2670348245985865,0.671595008590989,0.3295301279983768,0.5243700391908
mpnet,biobert,130,0.5362721812527549,0.5337025645928745,0.34082613214991236,0.7743592170390889,0.4313440128075216,0.6463159217788059,0.5997775506209567,0.6050028792362101,0.5344049868552213,0.657572706157208,0.5399332563772059,0.6494857859913697,0.4330604740346673,0.4369377997053454,0.27164601531861415,0.6666784849231943,0.3270589983509984,0.5290028504773088
mpnet,simcse,130,0.5457608897210089,0.5477072072916201,0.4231750665083156,0.7169507205010478,0.47323042583624375,0.6577182979470242,0.6012499222959163,0.6081848050028318,0.5024297577261339,0.6529036155855225,0.5383288952398148,0.6428568369293197,0.45978344121609727,0.4569326479020802,0.3208808734641928,0.6086918117902276,0.3463177950805441,0.5529582234702387
minilm,pubmedbert,130,0.4931532997295127,0.49239960338240385,0.3415801093078628,0.7193534720224004,0.3826521701607123,0.5990111409257021,0.5698573943686766,0.5744914591282664,0.5056462177385355,0.6253843328180858,0.5225794653982347,0.6036763175622379,0.4482894213590208,0.4504302578613252,0.3197804634044488,0.6525090824572725,0.36278358322408366,0.5400305838861035
minilm,biobert,130,0.5276283868630759,0.5237212974090611,0.3766000092650968,0.7508437757304224,0.4240006852424575,0.6317783827010987,0.5755790191774045,0.5794656237815613,0.5137324515030924,0.6285845086425995,0.526100334432565,0.615013461208082,0.4536071925578435,0.4568236436240598,0.32575240246937964,0.6544212484735502,0.3645038191195599,0.5441564518015911
minilm,simcse,130,0.5670173414590851,0.5651349441767695,0.4677128757218501,0.7125899444259651,0.5056481634761191,0.655057799518402,0.5896518545637505,0.5958194430222455,0.5052110058478172,0.6340472956033986,0.5324464542631476,0.6258846799445529,0.5034642759661606,0.5030156402135384,0.40305504857514085,0.6064518781481308,0.41942746520024266,0.5763230899961832
pubmedbert,biobert,130,0.860139166221529,0.8579731292936542,0.8040246373680174,0.9196748027619358,0.8262645400909068,0.8969938467126599,0.8276714327308723,0.8293154469630188,0.7981149644556885,0.8464587860113144,0.804631755200572,0.8442949378810962,0.8753754704080188,0.8772650815666602,0.818902133168753,0.9160174642450444,0.8439903865068011,0.8976250472621172
pubmedbert,simcse,130,0.6217515334701805,0.6204874915671861,0.5320530475700377,0.7611906154457756,0.5504335985696698,0.6967044568040986,0.6674497608161998,0.6695410683660292,0.6075994903893044,0.7089152078230304,0.6306094757996316,0.6950076506545375,0.5996784706395568,0.5962429494294577,0.4971229954264303,0.697665004729164,0.5248734946203593,0.6673366212337146
biobert,simcse,130,0.6391228450054256,0.6393420588343272,0.5447006411190622,0.7795594002060194,0.5721323797952808,0.7066933194524023,0.6676852478420139,0.6714512715463925,0.603667846948628,0.7079901238986729,0.6305677594498819,0.6933761039773253,0.6106000351297043,0.6100810543287036,0.49377763015156434,0.7271023106772521,0.5573253109914406,0.6781109716999263
