field_id,period_start,model_a,model_b,k,queries,mean_overlap
11,2010,scincl,minilm,25,100,0.3084
11,2010,scincl,minilm,50,100,0.32520000000000004
11,2010,scincl,pubmedbert,10,100,0.094
11,2010,scincl,pubmedbert,25,100,0.1072
11,2010,scincl,pubmedbert,50,100,0.12140000000000001
11,2010,scincl,biobert,10,100,0.078
11,2010,scincl,biobert,25,100,0.102
11,2010,scincl,biobert,50,100,0.1182
11,2010,scincl,simcse,10,100,0.068
11,2010,scincl,simcse,25,100,0.0964
11,2010,scincl,simcse,50,100,0.11900000000000001
11,2010,scibert,bert,10,100,0.231
11,2010,scibert,bert,25,100,0.254
11,2010,scibert,bert,50,100,0.28
11,2010,scibert,mpnet,10,100,0.08199999999999999
11,2010,scibert,mpnet,25,100,0.1016
11,2010,scibert,mpnet,50,100,0.11599999999999999
11,2010,scibert,minilm,10,100,0.081
11,2010,scibert,minilm,25,100,0.1048
11,2010,scibert,minilm,50,100,0.1182
11,2010,scibert,pubmedbert,10,100,0.348
11,2010,scibert,pubmedbert,25,100,0.3876
11,2010,scibert,pubmedbert,50,100,0.4362
11,2010,scibert,biobert,10,100,0.34700000000000003
11,2010,scibert,biobert,25,100,0.38520000000000004
11,2010,scibert,biobert,50,100,0.41240000000000004
11,2010,scibert,simcse,10,100,0.11399999999999999
11,2010,scibert,simcse,25,100,0.1412
11,2010,scibert,simcse,50,100,0.1638
11,2010,bert,mpnet,10,100,0.09
11,2010,bert,mpnet,25,100,0.1056
11,2010,bert,mpnet,50,100,0.1222
11,2010,bert,minilm,10,100,0.075
11,2010,bert,minilm,25,100,0.0968
11,2010,bert,minilm,50,100,0.1168
11,2010,bert,pubmedbert,10,100,0.229
11,2010,bert,pubmedbert,25,100,0.24280000000000002
11,2010,bert,pubmedbert,50,100,0.2632
11,2010,bert,biobert,10,100,0.21800000000000003
11,2010,bert,biobert,25,100,0.2532
11,2010,bert,biobert,50,100,0.2868
11,2010,bert,simcse,10,100,0.16699999999999998
11,2010,bert,simcse,25,100,0.198
11,2010,bert,simcse,50,100,0.22719999999999999
11,2010,mpnet,minilm,10,100,0.41500000000000004
11,2010,mpnet,minilm,25,100,0.4404
11,2010,mpnet,minilm,50,100,0.4518
11,2010,mpnet,pubmedbert,10,100,0.08
11,2010,mpnet,pubmedbert,25,100,0.1056
11,2010,mpnet,pubmedbert,50,100,0.11720000000000001
11,2010,mpnet,biobert,10,100,0.076
11,2010,mpnet,biobert,25,100,0.1096
11,2010,mpnet,biobert,50,100,0.11599999999999999
11,2010,mpnet,simcse,10,100,0.079
11,2010,mpnet,simcse,25,100,0.09960000000000001
11,2010,mpnet,simcse,50,100,0.1206
11,2010,minilm,pubmedbert,10,100,0.079
11,2010,minilm,pubmedbert,25,100,0.10039999999999999
11,2010,minilm,pubmedbert,50,100,0.1188
11,2010,minilm,biobert,10,100,0.086
11,2010,minilm,biobert,25,100,0.09480000000000001
11,2010,minilm,biobert,50,100,0.1108
11,2010,minilm,simcse,10,100,0.091
11,2010,minilm,simcse,25,100,0.1036
11,2010,minilm,simcse,50,100,0.1258
11,2010,pubmedbert,biobert,10,100,0.372
11,2010,pubmedbert,biobert,25,100,0.40240000000000004
11,2010,pubmedbert,biobert,50,100,0.4218
11,2010,pubmedbert,simcse,10,100,0.11499999999999999
11,2010,pubmedbert,simcse,25,100,0.134
11,2010,pubmedbert,simcse,50,100,0.1494
11,2010,biobert,simcse,10,100,0.10800000000000001
11,2010,biobert,simcse,25,100,0.1276
11,2010,biobert,simcse,50,100,0.1478
11,2015,specter,specter2,10,100,0.2
11,2015,specter,specter2,25,100,0.2144
11,2015,specter,specter2,50,100,0.2352
11,2015,specter,scincl,10,100,0.306
11,2015,specter,scincl,25,100,0.3224
11,2015,specter,scincl,50,100,0.3586
11,2015,specter,scibert,10,100,0.10200000000000001
11,2015,specter,scibert,25,100,0.1364
11,2015,specter,scibert,50,100,0.14880000000000002
11,2015,specter,bert,10,100,0.097
11,2015,specter,bert,25,100,0.10400000000000001
11,2015,specter,bert,50,100,0.1226
11,2015,specter,mpnet,10,100,0.253
11,2015,specter,mpnet,25,100,0.2884
11,2015,specter,mpnet,50,100,0.304
11,2015,specter,minilm,10,100,0.231
11,2015,specter,minilm,25,100,0.2492
11,2015,specter,minilm,50,100,0.26780000000000004
11,2015,specter,pubmedbert,10,100,0.098
11,2015,specter,pubmedbert,25,100,0.126
11,2015,specter,pubmedbert,50,100,0.1358
11,2015,specter,biobert,10,100,0.11200000000000002
