field_id,period_start,comparison,spearman_across_45_pairs
18,2000,procrustes_similarity,0.9143610013175228
18,2000,rsa_spearman,0.8620553359683795
18,2005,procrustes_similarity,0.9258234519104084
18,2005,rsa_spearman,0.8415019762845849
18,2010,procrustes_similarity,0.9408432147562581
18,2010,rsa_spearman,0.8600790513833992
18,2015,procrustes_similarity,0.9251646903820816
18,2015,rsa_spearman,0.881554677206851
18,2020,procrustes_similarity,0.9130434782608695
18,2020,rsa_spearman,0.8768115942028983
19,2000,procrustes_similarity,0.8963109354413702
19,2000,rsa_spearman,0.9115942028985506
19,2005,procrustes_similarity,0.9039525691699604
19,2005,rsa_spearman,0.8669301712779974
19,2010,procrustes_similarity,0.9028985507246375
19,2010,rsa_spearman,0.861528326745718
19,2015,procrustes_similarity,0.9119894598155466
19,2015,rsa_spearman,0.8877470355731225
19,2020,procrustes_similarity,0.9048748353096179
19,2020,rsa_spearman,0.8455862977602107
20,2000,procrustes_similarity,0.9451910408432147
20,2000,rsa_spearman,0.8565217391304346
20,2005,procrustes_similarity,0.9403162055335967
20,2005,rsa_spearman,0.8297760210803689
20,2010,procrustes_similarity,0.9508563899868246
20,2010,rsa_spearman,0.8602108036890646
20,2015,procrustes_similarity,0.9519104084321475
20,2015,rsa_spearman,0.9025032938076416
20,2020,procrustes_similarity,0.9434782608695651
20,2020,rsa_spearman,0.9021080368906454
21,2000,procrustes_similarity,0.8777338603425558
21,2000,rsa_spearman,0.8748353096179182
21,2005,procrustes_similarity,0.8662714097496705
21,2005,rsa_spearman,0.8974967061923582
21,2010,procrustes_similarity,0.8843214756258234
21,2010,rsa_spearman,0.9152832674571805
21,2015,procrustes_similarity,0.8691699604743083
21,2015,rsa_spearman,0.9065876152832675
21,2020,procrustes_similarity,0.8704874835309617
21,2020,rsa_spearman,0.9148880105401842
22,2000,procrustes_similarity,0.9036890645586297
22,2000,rsa_spearman,0.8696969696969696
22,2005,procrustes_similarity,0.8644268774703557
22,2005,rsa_spearman,0.8607378129117259
22,2010,procrustes_similarity,0.8457180500658761
22,2010,rsa_spearman,0.8486166007905138
22,2015,procrustes_similarity,0.909090909090909
22,2015,rsa_spearman,0.8707509881422923
22,2020,procrustes_similarity,0.8768115942028983
22,2020,rsa_spearman,0.8102766798418972
23,2000,procrustes_similarity,0.8555994729907772
23,2000,rsa_spearman,0.8512516469038207
23,2005,procrustes_similarity,0.8205533596837944
23,2005,rsa_spearman,0.8313570487483529
23,2010,procrustes_similarity,0.8372859025032937
23,2010,rsa_spearman,0.8432147562582345
23,2015,procrustes_similarity,0.8835309617918313
23,2015,rsa_spearman,0.8617918313570486
23,2020,procrustes_similarity,0.8765480895915678
23,2020,rsa_spearman,0.8787878787878787
24,2000,procrustes_similarity,0.9247694334650857
24,2000,rsa_spearman,0.8868247694334649
24,2005,procrustes_similarity,0.9071146245059287
24,2005,rsa_spearman,0.9194993412384717
24,2010,procrustes_similarity,0.898550724637681
24,2010,rsa_spearman,0.9242424242424241
24,2015,procrustes_similarity,0.8886693017127799
24,2015,rsa_spearman,0.9470355731225295
24,2020,procrustes_similarity,0.8774703557312252
24,2020,rsa_spearman,0.9484848484848485
25,2000,procrustes_similarity,0.9496706192358365
