field_id,period_start,n,cka_debiased_median,procrustes_similarity_median,rsa_spearman_median
31,2020,3470,0.6360641069668774,0.6438158373989439,0.46930867632476897
32,2000,2166,0.5277076181272055,0.6382770960449515,0.4273754758429363
32,2005,2166,0.5376665194522168,0.637720912300961,0.42737282139943417
32,2010,2166,0.5230400284270007,0.6365633880356173,0.4433500306858739
32,2015,2577,0.5298036634033051,0.6357707541956259,0.44646049544415
32,2020,3970,0.5314958748993046,0.62970016714727,0.48340234398700405
33,2000,2776,0.5660092743035093,0.6321916008391895,0.42647893826369465
33,2005,4893,0.5641738400018309,0.615783943086863,0.43854845265587183
33,2010,7110,0.5614653164108208,0.6093578113241664,0.43571097078177756
33,2015,8891,0.5656849747570201,0.609662771011068,0.441068901931672
33,2020,13879,0.5902911802155419,0.6132304944237316,0.47401939827304546
34,2000,2166,0.5740015427048885,0.6630649240549717,0.41698434278486635
34,2005,2166,0.5582939744600304,0.6598251062985988,0.40655919304589755
34,2010,2165,0.5617976398730885,0.6686793937872059,0.4161320926139555
34,2015,2165,0.562085354224366,0.6695068078776891,0.40305504857514085
34,2020,2165,0.5653296754325888,0.6675850389807699,0.45533364276433785
35,2000,2165,0.5792102973075229,0.6622079104383367,0.5048475072321174
35,2005,2165,0.5802607573119195,0.6628616825011703,0.5143526687328797
35,2010,2165,0.5479231678762687,0.654180904457167,0.4585712450524301
35,2015,2165,0.5530452951737553,0.6588535180144152,0.46726014901685475
35,2020,2165,0.562362406772805,0.666673154685397,0.49132461017530915
36,2000,2165,0.4868216618863634,0.6303778319055381,0.4037037596157622
36,2005,2165,0.5011585457836446,0.6418815082993132,0.39394966686537386
36,2010,2165,0.48875350143872,0.6341884706228017,0.39965236675363297
36,2015,2165,0.5036961282081605,0.6382331606082682,0.4220037155075089
36,2020,2833,0.5012928077067756,0.6347723050573442,0.4478932496842319
