field_id,model_a,model_b,delta_common_native_n2000,median_delta_n1000,absolute_median_error,central95_width_delta_n1000,min_delta_n1000,max_delta_n1000
16,specter2,minilm,0.0010570973005626927,0.0008627310228339624,0.00019436627772873027,0.001716632049875616,0.0003221488510288806,0.0021586547772493025
16,specter2,pubmedbert,0.0024783629666147444,0.0017825711581535564,0.000695791808461188,0.015839052544349506,-0.008535610993710252,0.009957433915144587
16,specter2,biobert,0.00811833643378923,0.007664378786904846,0.0004539576468843842,0.008786991922337516,0.003646943337966002,0.01289032723191974
16,specter2,simcse,-0.001771032527560723,-0.0023133779266920063,0.0005423453991312832,0.007092935679780818,-0.005590467951701095,0.002605951629589709
16,scincl,scibert,0.015728421588147024,0.01485827930909267,0.0008701422790543534,0.005460245264355217,0.012145867352057582,0.018167666178959263
16,scincl,bert,-0.007248674343469652,-0.007245650023918859,3.0243195507928533e-06,0.005150846930207384,-0.009520607960057048,-0.004089571625806032
16,scincl,mpnet,-0.004868908786986981,-0.004952012110935655,8.310332394867448e-05,0.0018700859088847275,-0.005772904322837835,-0.0036989666988183068
16,scincl,minilm,0.0012104748822621136,0.001048684993335769,0.00016178988892634472,0.002383932039391742,-0.00035233619692032203,0.0022847193251660514
16,scincl,pubmedbert,-0.006217354502452421,-0.006288691440644256,7.133693819183495e-05,0.016088423211167432,-0.01566532146497157,0.001394147572065907
16,scincl,biobert,0.0018166168962481244,0.0013804796772350914,0.00043613721901303304,0.006702593755187305,-0.0022852509612273364,0.004630398711453543
16,scincl,simcse,-0.0048929402468040895,-0.0051128387662856545,0.00021989851948156502,0.005800661009253945,-0.008758149591438613,-0.0018642936578102676
16,scibert,bert,0.017418250053890305,0.01703244567464285,0.00038580437924745636,0.005403756039185768,0.014030641205852401,0.020652189179059866
16,scibert,mpnet,0.018758740125221496,0.018256518191464843,0.0005022219337566525,0.008697116723301002,0.01417341633789948,0.0230873329869834
16,scibert,minilm,0.022582802850852457,0.022618565073034058,3.576222218160119e-05,0.006453241405865569,0.01841005983038546,0.025149518314329322
16,scibert,pubmedbert,-0.0024076874010467986,-0.0014007780198860842,0.0010069093811607144,0.011022845016347404,-0.010764549483632369,0.003140757258606741
16,scibert,biobert,0.006998661108737592,0.006956509148326462,4.2151960411129785e-05,0.004584355012738868,0.0038929412383283957,0.008901254752856635
16,scibert,simcse,0.017954564097169556,0.01755900055337395,0.0003955635437956073,0.007423101664079125,0.012692401898136807,0.021616304844411904
16,bert,mpnet,-0.003985016687211074,-0.004090151583942103,0.00010513489673102949,0.007438970578734938,-0.008001498574269128,4.826698086157766e-05
16,bert,minilm,0.002685030773235342,0.0032199732516689505,0.0005349424784336088,0.005771602699567634,-0.0007662592579952276,0.005684200709758946
16,bert,pubmedbert,-8.78457275712563e-05,0.0008417443996294738,0.0009295901272007301,0.015031336668517113,-0.009618991832189061,0.008721436217544287
16,bert,biobert,0.004941751403336192,0.005065618579636555,0.00012386717630036292,0.005301579702346078,0.0021833510883723095,0.008064108302856532
16,bert,simcse,0.002026960995222704,0.002033429286742161,6.468291519456937e-06,0.004505984345194721,-0.00047094642329892356,0.004584312534705148
16,mpnet,minilm,0.00285327433804361,0.0029112828106445665,5.800847260095665e-05,0.001769740859420746,0.002199594123764359,0.004023994259410579
16,mpnet,pubmedbert,-0.0009116684212086001,-0.0012119544349791234,0.0003002860137705232,0.017057113327098247,-0.011341311841413182,0.008455918233241322
16,mpnet,biobert,0.005286282558736866,0.005111340646203555,0.0001749419125333107,0.009707689920758008,-0.0002063572334971564,0.010797548078387287
16,mpnet,simcse,-0.002909372795808274,-0.002911339455499984,1.96665969171006e-06,0.006318959408187123,-0.005860365424804614,0.0014492252767440705
16,minilm,pubmedbert,0.0050529510006458445,0.005049117627583144,3.833373062700485e-06,0.01692301457032693,-0.005782147334294274,0.012760101638524923
16,minilm,biobert,0.0088840089352763,0.008511439529204745,0.00037256940607155453,0.008780237724080996,0.00421039276504187,0.013768123080731165
16,minilm,simcse,0.005790800026819087,0.0056557498521401794,0.0001350501746789079,0.005297046123853993,0.0030527729671926407,0.009072512609975325
16,pubmedbert,biobert,-0.004738939052591262,-0.004014930735596056,0.0007240083169952061,0.010935134282232346,-0.011192403269655538,0.001970628698697574
16,pubmedbert,simcse,0.0006573735458710317,0.0008084352410580031,0.00015106169518697143,0.016754706900343447,-0.011837330416521352,0.009378751078638281
16,biobert,simcse,0.004920354165155905,0.004797625122942684,0.000122729042213221,0.0070056350873594735,-1.271412503167646e-05,0.00809179136571303
17,specter,specter2,-0.0020057652458210784,-0.0018418974972435054,0.00016386774857757302,0.0017161152992653556,-0.0028301342580875355,-0.0010833330501612837
17,specter,scincl,-0.0010573678494861793,-0.0009663199928411914,9.104785664498793e-05,0.0012212413241766639,-0.0017235202362294588,-0.0004385526016984498
17,specter,scibert,0.0115287911640658,0.01152300668524217,5.784478823628314e-06,0.006666437501132013,0.00862118027048897,0.016167674114094754
17,specter,bert,0.0022086155641639627,0.0020304083679177354,0.00017820719624622727,0.0027153951167990104,0.0004247844303556514,0.0036800276866651993
17,specter,mpnet,-0.0013898384257537977,-0.0013750854793570522,1.4752946396745514e-05,0.0011096438974906198,-0.0024749058517263833,-0.0009962826170729633
17,specter,minilm,-3.0033236780857564e-06,9.728502588085552e-05,0.00010028834955894128,0.000623010697109974,-0.00026530382890566084,0.0004377384281208929
17,specter,pubmedbert,0.0069347534657159815,0.0065744077413099344,0.00036034572440604706,0.007570755250458897,0.004166754128192507,0.012929068042537128
17,specter,biobert,0.007961971010831514,0.007898897889067863,6.307312176365154e-05,0.013762544831633245,0.0025832845980819363,0.018485302965648043
17,specter,simcse,-0.00015745994768701088,-0.0003018771976510126,0.00014441724996400174,0.00212042029606442,-0.0015244254742373675,0.001036060094556257
17,specter2,scincl,-0.0005023056435354833,-0.00048334722511905737,1.895841841642598e-05,0.0011750116052797353,-0.0012971911289294535,7.239694268312835e-05
17,specter2,scibert,0.015919899403655235,0.01592172522558244,1.825821927203819e-06,0.008346336232344598,0.011795007181924277,0.02107283579753183
17,specter2,bert,0.0027848931950605893,0.0027957469230680543,1.085372800746498e-05,0.0031868138801019437,0.0013569839701802477,0.00456513242969292
17,specter2,mpnet,-0.001369003771157895,-0.0013615621187748062,7.441652383088915e-06,0.0010564316517289892,-0.002052204393392709,-0.0007025883375174624
17,specter2,minilm,8.532517747905644e-08,0.00012109947922422926,0.0001210141540467502,0.000894074785155238,-0.0004970817382868864,0.0005204299315401117
17,specter2,pubmedbert,0.008100738144554587,0.007849482781821515,0.0002512553627330716,0.007545959295431221,0.004680750592021554,0.01304705919481991
17,specter2,biobert,0.008850485477820969,0.009111250572727547,0.00026076509490657873,0.013847812276704653,0.0034373386261149497,0.018982395528756135
17,specter2,simcse,0.0009546736679080237,0.0009011311731226823,5.3542494785341344e-05,0.002456005719637844,-0.0005171869728958223,0.0020896467710188604
17,scincl,scibert,0.013731867587601698,0.013872991159843195,0.00014112357224149719,0.007388043946058522,0.010804606880005951,0.018738449393711165
17,scincl,bert,0.0020402744442454823,0.002076518019137219,3.6243574891736685e-05,0.0029290179302343482,0.0008480867673301695,0.0038810617101718847
17,scincl,mpnet,-0.0008946783275263215,-0.0008324492058305322,6.222912169578931e-05,0.0011020155570202357,-0.0015474224227602917,-0.00025074482456621805
17,scincl,minilm,0.0008227878185409487,0.0008146846435487243,8.10317499222446e-06,0.001107949113409212,0.00029383977160890584,0.001547977475794271
17,scincl,pubmedbert,0.0066407983114912805,0.006914285480799726,0.0002734871693084451,0.007041616501887007,0.0038227442299560987,0.01179240986153246
17,scincl,biobert,0.007437314753454438,0.007843237100373018,0.0004059223469185802,0.013334005417484581,0.0024090744526694685,0.017283132915315302
17,scincl,simcse,0.00032654150306687946,0.0005925555290343665,0.000266014025967487,0.002541874451440309,-0.0011949483033162345,0.0015516017774725999
17,scibert,bert,0.003309541353096024,0.002457145225332802,0.0008523961277632219,0.00436522010106972,0.001454953209126364,0.006535883081342342
17,scibert,mpnet,0.012298133730046734,0.012478340525582887,0.00018020679553615304,0.006777579461718433,0.009452544054625145,0.01687063086526086
17,scibert,minilm,0.0122363411605515,0.012189274138720507,4.7067021830993205e-05,0.006809618322834481,0.00915712860367679,0.01641347664899584
