centroid_edge_spearman,condition,groups,model_a,model_b,repeat
0.6115015818083304,native_paired,random,specter2,scibert,10
0.5057385559226051,native_paired,random,specter2,bert,10
0.6383594637582368,native_paired,random,specter2,mpnet,10
0.6075405939209622,native_paired,random,specter2,minilm,10
0.4357614528166676,native_paired,random,specter2,pubmedbert,10
0.5417048572876795,native_paired,random,specter2,biobert,10
0.4870256759827313,native_paired,random,specter2,simcse,10
0.5102287941551745,native_paired,random,scincl,scibert,10
0.47860626081484986,native_paired,random,scincl,bert,10
0.6860304476255398,native_paired,random,scincl,mpnet,10
0.6046954363518782,native_paired,random,scincl,minilm,10
0.4104696485064584,native_paired,random,scincl,pubmedbert,10
0.45646339118731755,native_paired,random,scincl,biobert,10
0.484309859647283,native_paired,random,scincl,simcse,10
0.7416241064093826,native_paired,random,scibert,bert,10
0.5323926380368099,native_paired,random,scibert,mpnet,10
0.5104458776851415,native_paired,random,scibert,minilm,10
0.7558226277244682,native_paired,random,scibert,pubmedbert,10
0.8397479593798614,native_paired,random,scibert,biobert,10
0.653284393407093,native_paired,random,scibert,simcse,10
0.49197175467114124,native_paired,random,bert,mpnet,10
