field_id,period_start,k,mean_chance_adjusted_overlap,mean_overlap,model_a,model_b,recipe
11,2000,50,0.26609713398222334,0.28402343750000003,scincl,pubmedbert,mean
11,2000,10,0.21481656733247423,0.21865234375000003,scincl,biobert,mean
11,2000,25,0.24824064200049456,0.257421875,scincl,biobert,mean
11,2000,50,0.27255366937124437,0.29032226562499996,scincl,biobert,mean
11,2000,10,0.1813032387165562,0.185302734375,scincl,simcse,mean
11,2000,25,0.21215540190714638,0.22177734375000002,scincl,simcse,mean
11,2000,50,0.23694762847396092,0.2555859375,scincl,simcse,mean
11,2000,10,0.3899887242268041,0.39296875,scibert,bert,mean
11,2000,25,0.42182547640022255,0.42888671875000006,scibert,bert,mean
11,2000,50,0.44972300247245867,0.46316406250000003,scibert,bert,mean
11,2000,10,0.22099911404639175,0.22480468750000002,scibert,mpnet,mean
11,2000,25,0.25808746368076163,0.26714843750000006,scibert,mpnet,mean
11,2000,50,0.28592720623904605,0.30336914062500003,scibert,mpnet,mean
11,2000,10,0.2095172415776878,0.21337890625,scibert,minilm,mean
11,2000,25,0.2448792771698813,0.25410156250000004,scibert,minilm,mean
11,2000,50,0.27375488525757385,0.291494140625,scibert,minilm,mean
11,2000,10,0.5202638156986377,0.5226074218750001,scibert,pubmedbert,mean
11,2000,25,0.5569523425908753,0.56236328125,scibert,pubmedbert,mean
11,2000,50,0.5795343992551327,0.5898046875,scibert,pubmedbert,mean
11,2000,10,0.5026975321781418,0.505126953125,scibert,biobert,mean
11,2000,25,0.5424787010849407,0.54806640625,scibert,biobert,mean
11,2000,50,0.5673820985384327,0.5779492187499999,scibert,biobert,mean
11,2000,10,0.2406753143025896,0.244384765625,scibert,simcse,mean
11,2000,25,0.27784042524418895,0.2866601562500001,scibert,simcse,mean
11,2000,50,0.30483634631634954,0.32181640625,scibert,simcse,mean
11,2000,10,0.21354080372484047,0.21738281250000002,bert,mpnet,mean
11,2000,25,0.2530058709662463,0.26212890625000007,bert,mpnet,mean
11,2000,50,0.28502629432429893,0.302490234375,bert,mpnet,mean
11,2000,10,0.20721105351773442,0.21108398437500003,bert,minilm,mean
11,2000,25,0.24976314254141943,0.25892578125000004,bert,minilm,mean
11,2000,50,0.28330455155389334,0.300810546875,bert,minilm,mean
11,2000,10,0.3821378712567501,0.38515625,bert,pubmedbert,mean
11,2000,25,0.4130661551063304,0.42023437500000005,bert,pubmedbert,mean
11,2000,50,0.44381702436467196,0.45740234375,bert,pubmedbert,mean
11,2000,10,0.40426746306608985,0.407177734375,bert,biobert,mean
11,2000,25,0.44242866553845206,0.4492382812500001,bert,biobert,mean
11,2000,50,0.47259615497464946,0.48547851562500005,bert,biobert,mean
11,2000,10,0.3366029240304369,0.33984375,bert,simcse,mean
11,2000,25,0.38279409889651334,0.39033203125000004,bert,simcse,mean
11,2000,50,0.41981272690285426,0.43398437500000003,bert,simcse,mean
11,2000,10,0.5051999915623465,0.5076171875,mpnet,minilm,mean
11,2000,25,0.5381089268051434,0.54375,mpnet,minilm,mean
11,2000,50,0.5578924930364296,0.56869140625,mpnet,minilm,mean
11,2000,10,0.21378614288015463,0.21762695312500002,mpnet,pubmedbert,mean
11,2000,25,0.24673791419386745,0.25593750000000004,mpnet,pubmedbert,mean
11,2000,50,0.2723234363263646,0.29009765625000006,mpnet,pubmedbert,mean
11,2000,10,0.21506190648778842,0.21889648437500003,mpnet,biobert,mean
11,2000,25,0.2552204172075915,0.26431640625,mpnet,biobert,mean
11,2000,50,0.28333458195105155,0.30083984375,mpnet,biobert,mean
11,2000,10,0.19283417901632305,0.19677734375,mpnet,simcse,mean
11,2000,25,0.22585790677546982,0.23531250000000004,mpnet,simcse,mean
