field_id,publication_year,cohort,n
26,2011,extra,252
26,2012,base,175
26,2012,extra,240
26,2013,base,176
26,2013,extra,305
26,2014,base,209
26,2014,extra,267
26,2015,base,197
26,2015,extra,185
26,2016,base,216
26,2016,extra,189
26,2017,base,213
26,2017,extra,246
26,2018,base,234
26,2018,extra,209
26,2019,base,248
26,2019,extra,229
26,2020,base,295
26,2020,extra,126
26,2021,base,320
26,2021,extra,134
26,2022,base,305
26,2022,extra,116
26,2023,base,308
26,2023,extra,113
26,2024,base,327
26,2024,extra,122
27,2000,base,1186
27,2001,base,1277
27,2002,base,1452
27,2003,base,1552
27,2004,base,1661
27,2005,base,1877
27,2006,base,2021
27,2007,base,2075
27,2008,base,2433
27,2009,base,2540
27,2010,base,2802
27,2011,base,3045
27,2012,base,3109
27,2013,base,3364
27,2014,base,3451
27,2015,base,3459
27,2016,base,3569
27,2017,base,3642
27,2018,base,3798
27,2019,base,4161
27,2020,base,4788
27,2021,base,5266
27,2022,base,5154
27,2023,base,5269
27,2024,base,5718
28,2000,base,127
28,2000,extra,258
28,2001,base,118
28,2001,extra,272
28,2002,base,159
28,2002,extra,295
28,2003,base,162
28,2003,extra,319
28,2004,base,152
28,2004,extra,304
28,2005,base,198
28,2005,extra,187
28,2006,base,187
28,2006,extra,228
28,2007,base,204
28,2007,extra,221
28,2008,base,222
28,2008,extra,262
28,2009,base,194
28,2009,extra,263
28,2010,base,291
28,2010,extra,138
28,2011,base,255
28,2011,extra,143
28,2012,base,276
28,2012,extra,149
28,2013,base,306
28,2013,extra,168
28,2014,base,280
28,2014,extra,160
28,2015,base,340
28,2015,extra,95
28,2016,base,298
28,2016,extra,102
28,2017,base,301
28,2017,extra,113
28,2018,base,345
28,2018,extra,105
28,2019,base,356
28,2019,extra,111
28,2020,base,374
28,2020,extra,19
28,2021,base,395
28,2021,extra,20
28,2022,base,397
28,2022,extra,22
28,2023,base,411
28,2023,extra,29
28,2024,base,476
28,2024,extra,23
29,2000,base,32
29,2000,extra,367
29,2001,base,36
29,2001,extra,356
29,2002,base,32
29,2002,extra,393
29,2003,base,41
29,2003,extra,405
29,2004,base,41
29,2004,extra,463
29,2005,base,39
29,2005,extra,285
29,2006,base,49
29,2006,extra,348
29,2007,base,59
29,2007,extra,378
29,2008,base,71
29,2008,extra,396
29,2009,base,67
29,2009,extra,474
29,2010,base,83
29,2010,extra,313
29,2011,base,72
29,2011,extra,326
29,2012,base,100
29,2012,extra,348
29,2013,base,94
29,2013,extra,368
29,2014,base,104
29,2014,extra,358
29,2015,base,100
29,2015,extra,318
29,2016,base,99
29,2016,extra,338
29,2017,base,99
29,2017,extra,298
29,2018,base,90
29,2018,extra,335
29,2019,base,109
29,2019,extra,380
29,2020,base,132
29,2020,extra,288
29,2021,base,127
29,2021,extra,276
29,2022,base,124
29,2022,extra,291
29,2023,base,128
29,2023,extra,275
29,2024,base,149
29,2024,extra,376
30,2000,base,25
30,2000,extra,303
30,2001,base,34
30,2001,extra,385
30,2002,base,32
30,2002,extra,424
30,2003,base,22
30,2003,extra,410
30,2004,base,41
30,2004,extra,490
30,2005,base,34
30,2005,extra,288
30,2006,base,51
30,2006,extra,338
30,2007,base,57
30,2007,extra,365
30,2008,base,50
30,2008,extra,411
30,2009,base,80
30,2009,extra,492
30,2010,base,98
30,2010,extra,315
30,2011,base,91
30,2011,extra,351
30,2012,base,91
30,2012,extra,370
30,2013,base,91
30,2013,extra,368
30,2014,base,71
30,2014,extra,320
30,2015,base,77
30,2015,extra,376
30,2016,base,57
30,2016,extra,330
30,2017,base,80
30,2017,extra,343
30,2018,base,81
30,2018,extra,358
30,2019,base,81
30,2019,extra,383
30,2020,base,100
30,2020,extra,333
30,2021,base,86
30,2021,extra,305
30,2022,base,88
30,2022,extra,312
30,2023,base,89
30,2023,extra,371
30,2024,base,108
30,2024,extra,374
31,2000,base,347
31,2000,extra,8
31,2001,base,372
31,2001,extra,10
31,2002,base,491
31,2002,extra,13
31,2003,base,435
31,2003,extra,7
31,2004,base,471
31,2004,extra,12
31,2005,base,505
31,2006,base,583
31,2007,base,505
31,2008,base,545
31,2009,base,566
31,2010,base,618
31,2011,base,617
31,2012,base,631
31,2013,base,581
31,2014,base,647
31,2015,base,643
31,2016,base,662
31,2017,base,693
31,2018,base,685
31,2019,base,705
31,2020,base,755
31,2021,base,614
31,2022,base,677
31,2023,base,743
31,2024,base,681
32,2000,base,135
32,2000,extra,245
32,2001,base,162
32,2001,extra,248
32,2002,base,175
32,2002,extra,287
32,2003,base,168
32,2003,extra,239
32,2004,base,198
32,2004,extra,309
32,2005,base,208
32,2005,extra,133
32,2006,base,267
32,2006,extra,167
32,2007,base,268
32,2007,extra,144
32,2008,base,271
32,2008,extra,184
32,2009,base,328
32,2009,extra,196
32,2010,base,350
32,2010,extra,15
32,2011,base,406
32,2011,extra,14
32,2012,base,425
32,2012,extra,15
32,2013,base,473
32,2013,extra,16
32,2014,base,435
32,2014,extra,17
32,2015,base,475
32,2016,base,497
32,2017,base,490
32,2018,base,510
32,2019,base,605
32,2020,base,721
32,2021,base,810
32,2022,base,797
32,2023,base,799
32,2024,base,843
33,2000,base,421
33,2001,base,500
33,2002,base,567
33,2003,base,601
33,2004,base,687
33,2005,base,802
33,2006,base,899
33,2007,base,965
33,2008,base,1069
33,2009,base,1158
33,2010,base,1280
33,2011,base,1364
33,2012,base,1450
33,2013,base,1454
33,2014,base,1562
33,2015,base,1619
33,2016,base,1600
33,2017,base,1701
33,2018,base,1867
33,2019,base,2104
33,2020,base,2441
33,2021,base,2653
33,2022,base,2748
33,2023,base,2877
33,2024,base,3160
34,2000,base,12
34,2000,extra,354
34,2001,base,12
34,2001,extra,445
34,2002,base,7
34,2002,extra,455
34,2003,base,13
34,2003,extra,402
34,2004,base,14
34,2004,extra,452
34,2005,base,11
34,2005,extra,321
34,2006,base,23
34,2006,extra,393
34,2007,base,20
34,2007,extra,403
34,2008,base,19
34,2008,extra,439
34,2009,base,27
34,2009,extra,510
34,2010,base,18
34,2010,extra,366
34,2011,base,26
34,2011,extra,373
34,2012,base,23
34,2012,extra,398
34,2013,base,18
34,2013,extra,422
34,2014,base,22
34,2014,extra,499
34,2015,base,24
34,2015,extra,366
34,2016,base,32
34,2016,extra,361
34,2017,base,36
34,2017,extra,374
34,2018,base,35
34,2018,extra,429
34,2019,base,38
34,2019,extra,470
34,2020,base,24
34,2020,extra,361
34,2021,base,49
34,2021,extra,404
34,2022,base,45
34,2022,extra,381
34,2023,base,52
34,2023,extra,410
34,2024,base,42
34,2024,extra,397
35,2000,base,23
35,2000,extra,311
35,2001,base,27
35,2001,extra,326
35,2002,base,45
35,2002,extra,418
35,2003,base,29
35,2003,extra,429
35,2004,base,35
35,2004,extra,522
35,2005,base,35
35,2005,extra,301
35,2006,base,55
35,2006,extra,308
35,2007,base,51
35,2007,extra,394
35,2008,base,54
35,2008,extra,424
35,2009,base,65
35,2009,extra,478
35,2010,base,71
35,2010,extra,269
35,2011,base,81
35,2011,extra,319
35,2012,base,97
35,2012,extra,372
35,2013,base,91
35,2013,extra,371
35,2014,base,101
35,2014,extra,393
35,2015,base,102
35,2015,extra,293
35,2016,base,119
35,2016,extra,309
35,2017,base,103
35,2017,extra,315
35,2018,base,97
35,2018,extra,318
35,2019,base,123
35,2019,extra,386
35,2020,base,125
35,2020,extra,210
35,2021,base,160
35,2021,extra,276
35,2022,base,167
35,2022,extra,266
35,2023,base,184
35,2023,extra,274
35,2024,base,198
35,2024,extra,305
36,2000,base,99
36,2000,extra,287
36,2001,base,94
36,2001,extra,287
36,2002,base,126
36,2002,extra,319
36,2003,base,125
36,2003,extra,326
36,2004,base,145
36,2004,extra,357
36,2005,base,154
36,2005,extra,210
36,2006,base,171
36,2006,extra,232
36,2007,base,176
36,2007,extra,217
36,2008,base,211
36,2008,extra,267
36,2009,base,221
36,2009,extra,306
36,2010,base,248
36,2010,extra,119
36,2011,base,283
36,2011,extra,128
36,2012,base,322
36,2012,extra,130
36,2013,base,310
36,2013,extra,131
36,2014,base,341
36,2014,extra,153
36,2015,base,346
36,2015,extra,46
36,2016,base,314
36,2016,extra,63
36,2017,base,390
36,2017,extra,54
36,2018,base,373
36,2018,extra,62
36,2019,base,454
36,2019,extra,63
36,2020,base,511
36,2021,base,565
36,2022,base,596
36,2023,base,561
36,2024,base,600
