group,n,abstract_sha256,work_ids,action
246,2,d2653bd93ef0fecc160eda814dbd5f6db6a29605c6f5bf4816d4a6a6a2d75934,"W4400324519,W4401180356",exclude_template
247,2,d312e211100006ab9dd09db28deec5b9ced676670cf10a37204e4420db21e6a2,"W1883378634,W1956504556",record_specific_decisions
248,2,d343bb046f8b4a52a03bb3cc346da066844a5989126c48a5c4930d22fad12354,"W4244444237,W4235924047",exclude_template
249,2,d4bdb351f9f10d4bfdab9c3ba3e6443ae01385d141e535c45ce7f8775f751c52,"W2000144241,W2029462694",keep_flagged
250,2,d5596f2bc1877b0171df28d58502eb1d5865e298fb6365cdcfc9941b58fbe842,"W1753565795,W2962609101",exclude_template
251,2,d58ebd7264d6b97284477b7baebab36ff459d7bc8cbdc55727cc8cadddb2fe5c,"W2022607932,W2132284974",record_specific_decisions
252,2,d833e1350cd19cdd3a75a58d36a9043ea62d4a70e7229aab9011f82f081375f6,"W4233852121,W4241410828",record_specific_decisions
253,2,d8413eb0d9af4bd46ad8dd0c8c9bef2391271e1be6507a229becf7b2261a5e6c,"W2905843176,W4210749912",exclude_template
254,2,d8a07b4208a84cc072d49adc2f3c89cbad49bb43e5a40ba755284b7b48d6396d,"W4298125492,W3209326483",retain_duplicate_group
255,2,d98c35bf778e2752b3245fe1e6773e860ebf6bdf0073c468fe6c1dba802f9428,"W2972811593,W2973697449",exclude_template
256,2,da4bb326564e4713f18d967fcd3d96d08c10a83e786276fa696b9129bde85db2,"W1605478644,W4243112629",retain_duplicate_group
257,2,dae8fe2cfb0cd6b6f91154b672dfa5cdfe7062aab444c9caa02cc308d3147c8e,"W2141160900,W3141899746",retain_duplicate_group
258,2,dbd029a494fd522829e3cfcfe3dee553d67f19ebf5f36812fc3a93ab3417edcc,"W1969160456,W2117111125",record_specific_decisions
259,2,dbf7e82ffbd491f22d78425a0e63842359c00245ce9b1e9e34fdb6abe8989273,"W2465817487,W2953550577",exclude_template
