work_id,selection_order,cohort,field_id,period_start,title_language,title_score,abstract_language,abstract_score,text_sha256
W7210230728,296763,base,20,2015,en,0.9967490434646606,en,0.7724120616912842,f71417f0ec1e75d79f831287c3a0b0e16c6c2b419efc61bcb5028d951cd10890
W3124701309,296853,base,26,2020,en,0.8059714436531067,en,0.7532702684402466,cf998ea3d78a47b46f24b078966f241cfee9f557b2c54db162f9bc2071172193
W1980479994,296955,base,27,2005,en,0.8564963340759277,es,0.9654349088668823,04a1abd63b12ecc35e7af9ceb59de5d57e3e00fcf692841994a19eaf671c8b6c
W4293059615,296964,base,12,2020,id,0.7242006063461304,id,0.370498389005661,47aceb92d65fecf4ffe5e93db237bfd87cb037b16d55ccad65327beb4dc4c1ef
W4248931907,296969,base,33,2010,en,0.8596165180206299,ko,1.0000699758529663,893892d3c36c1c09d6af39acbcde826c76b0cc943124137b927bf0dece88ea61
W4389484451,297036,base,33,2020,en,0.7456203103065491,en,0.6632509231567383,254eaa2c335303dc5c74c0eb1e7704591b1b8c49618535ca131dd369e90d7fe9
W4401277564,297056,base,36,2020,id,0.5954214930534363,id,0.4177602529525757,7b417f346754800a998064bd156f7d4e75cc54d1b4e26083212332c4d2c6301f
W3011395059,297069,base,14,2020,en,0.885841429233551,ko,1.0000691413879395,3b71e1ae9c4c3cc1184fc5fe8409b398c0adc47940a1c2c7f96673df4eda1952
W2421154534,297107,base,27,2015,en,0.9229177236557007,es,0.966575026512146,6963b3bdbc87ce2dfe6ee715dbf0ce21294e4413d457a87b94bb16e50e19d9cd
W2354704934,297164,base,22,2010,en,0.5510713458061218,en,0.7860455513000488,e122df608d79c326036dfe3295ab477296aed8d6cd9b448b86c769ce8b490446
W4320072932,297182,base,27,2020,en,0.8210768699645996,ja,0.9962676763534546,31077990a4147022b588351344326915d851c139e98f5a5a560ec2e7033a09c9
W2170553062,297186,base,27,2010,en,0.7888332605361938,en,0.7741866707801819,e7695a1572135f20a67b4b8aceec46ef13042a87388b1e2cdaa22537f88e4f50
W4246161258,297222,base,13,2010,en,0.694957971572876,de,0.9943736791610718,bc4a0e872ec512df6593c04be55a20f4744c7d23255c558f671cfd9b31df8730
