outcome,field_id,model_a,model_b,mean,residual
cka_primary,17,specter,pubmedbert,0.49195636017848826,-0.018088111244867866
cka_primary,17,specter,biobert,0.49370227470345657,-0.0468247664500121
cka_primary,17,specter,simcse,0.5435055271915132,0.007029701031185831
cka_primary,17,specter2,scincl,0.8272569637537087,0.02825769802115985
cka_primary,17,specter2,scibert,0.6083511888479493,0.033105323623864424
cka_primary,17,specter2,bert,0.532318426640144,0.009066027734228044
cka_primary,17,specter2,mpnet,0.7549704497339249,0.005025596655463871
cka_primary,17,specter2,minilm,0.718009961861253,0.016618072923029636
cka_primary,17,specter2,pubmedbert,0.5250942627908589,0.024442033879560898
cka_primary,17,specter2,biobert,0.5257565868136774,-0.004167348192180231
cka_primary,17,specter2,simcse,0.5351290229947847,0.03777271680632577
cka_primary,17,scincl,scibert,0.5427023231490298,-0.009075960495495417
cka_primary,17,scincl,bert,0.5155376360637003,-0.022320040783666673
cka_primary,17,scincl,mpnet,0.7875733404548402,0.009658930290144419
cka_primary,17,scincl,minilm,0.7562426565021425,0.023048116477309533
cka_primary,17,scincl,pubmedbert,0.4922882367917124,-0.0011280421921716632
cka_primary,17,scincl,biobert,0.49168803564731167,-0.03098649926943864
cka_primary,17,scincl,simcse,0.538964775502861,0.020713075364897637
cka_primary,17,scibert,bert,0.6975626155575583,-0.03732265793860501
cka_primary,17,scibert,mpnet,0.5431340684278866,0.0011500020915292675
cka_primary,17,scibert,minilm,0.5237107559683503,-0.005881800541796767
cka_primary,17,scibert,pubmedbert,0.8080410122158979,-0.02589095758982174
cka_primary,17,scibert,biobert,0.7913340604036782,-0.03727057014718138
cka_primary,17,scibert,simcse,0.5876875434631722,-0.03515998406312293
cka_primary,17,bert,mpnet,0.5346550340058862,-0.018767542500808254
cka_primary,17,bert,minilm,0.5397888717028964,-0.022721266963530273
cka_primary,17,bert,pubmedbert,0.7660844825427323,0.02793888817928125
cka_primary,17,bert,biobert,0.7930371880874063,0.026686849478721242
cka_primary,17,bert,simcse,0.7906957886422827,0.015541872427030978
cka_primary,17,mpnet,minilm,0.8364615603247312,0.011933534029796133
cka_primary,17,mpnet,pubmedbert,0.5041117599839647,0.012006086822913709
cka_primary,17,mpnet,biobert,0.5094908987390991,-0.01834147049383772
cka_primary,17,mpnet,simcse,0.5604673133411632,0.0231462356399722
cka_primary,17,minilm,pubmedbert,0.5000204750009242,0.015306987291229146
cka_primary,17,minilm,biobert,0.506882826898372,-0.012305747944885925
cka_primary,17,minilm,simcse,0.5794266785670407,0.02084914912777358
cka_primary,17,pubmedbert,biobert,0.8634167621145453,0.011717407912834155
cka_primary,17,pubmedbert,simcse,0.6355300870300777,0.022218365579715238
cka_primary,17,biobert,simcse,0.6508982852127678,0.020215252227160252
cka_primary,18,specter,specter2,0.7447694002835166,0.004749883679048272
cka_primary,18,specter,scincl,0.787488307547996,-0.0117795620450597
cka_primary,18,specter,scibert,0.5173776132022786,-0.043585550542206364
cka_primary,18,specter,bert,0.5155242185153347,-0.04192261963773247
cka_primary,18,specter,mpnet,0.7578626269470969,-0.0036717550044772507
cka_primary,18,specter,minilm,0.7175614977422181,-0.0025847540024589444
cka_primary,18,specter,pubmedbert,0.4767281256657749,-0.03380641115454974
cka_primary,18,specter,biobert,0.49849713799590134,-0.04251996855453577
cka_primary,18,specter,simcse,0.5307352531034379,-0.006230638453857962
cka_primary,18,specter2,scincl,0.8278519430380186,0.0283626119085012
cka_primary,18,specter2,scibert,0.5919822731190727,0.016246342498019373
cka_primary,18,specter2,bert,0.5291409066836666,0.005398442380782242
cka_primary,18,specter2,mpnet,0.7729381658413962,0.02250324736596665
cka_primary,18,specter2,minilm,0.7202874807815265,0.01840552644633464
cka_primary,18,specter2,pubmedbert,0.515464361637245,0.01432206732897845
cka_primary,18,specter2,biobert,0.537479010571934,0.007065010169107877
cka_primary,18,specter2,simcse,0.5264514489498612,0.02860507736443374
cka_primary,18,scincl,scibert,0.542108751624959,-0.010159597416534716
