outcome,field_a,field_b,biomedical_models_in_pair,model_pairs,group_difference,weighted_contribution,total_difference
neighbors_2048_cls_k50,27,21,2,1,-0.04652539062499994,-0.0010338975694444432,-0.05157178819444443
neighbors_2048_cls_k50,27,31,0,28,-0.03431368582589286,-0.021350737847222225,-0.03759340277777778
neighbors_2048_cls_k50,27,31,1,16,-0.043708007812500005,-0.015540625000000002,-0.03759340277777778
neighbors_2048_cls_k50,27,31,2,1,-0.03159179687499997,-0.0007020399305555548,-0.03759340277777778
neighbors_2048_cls_k50,27,26,0,28,-0.01592403738839286,-0.009908289930555559,-0.01237552083333334
neighbors_2048_cls_k50,27,26,1,16,-0.008029907226562511,-0.002855078125000004,-0.01237552083333334
neighbors_2048_cls_k50,27,26,2,1,0.017453125000000014,0.00038784722222222253,-0.01237552083333334
neighbors_2048_sep_k10,27,21,0,28,-0.008518066406250016,-0.005300130208333343,-0.00035546875000001165
neighbors_2048_sep_k10,27,21,1,16,0.011127319335937497,0.003956380208333332,-0.00035546875000001165
neighbors_2048_sep_k10,27,21,2,1,0.044472656249999964,0.0009882812499999991,-0.00035546875000001165
neighbors_2048_sep_k10,27,31,0,28,-0.004286411830357157,-0.0026671006944444533,0.002947916666666655
neighbors_2048_sep_k10,27,31,1,16,0.012197875976562496,0.004337022569444443,0.002947916666666655
neighbors_2048_sep_k10,27,31,2,1,0.05750976562499993,0.0012779947916666651,0.002947916666666655
neighbors_2048_sep_k10,27,26,0,28,0.019976981026785707,0.012430121527777773,0.04042664930555554
neighbors_2048_sep_k10,27,26,1,16,0.06974243164062499,0.024797309027777777,0.04042664930555554
neighbors_2048_sep_k10,27,26,2,1,0.1439648437499999,0.003199218749999998,0.04042664930555554
neighbors_2048_sep_k25,27,21,0,28,-0.029727260044642847,-0.01849696180555555,-0.022629166666666662
neighbors_2048_sep_k25,27,21,1,16,-0.012591552734375006,-0.00447699652777778,-0.022629166666666662
neighbors_2048_sep_k25,27,21,2,1,0.015515625000000033,0.0003447916666666674,-0.022629166666666662
neighbors_2048_sep_k25,27,31,0,28,-0.020955078124999995,-0.013038715277777774,-0.014110243055555551
neighbors_2048_sep_k25,27,31,1,16,-0.004932128906249993,-0.0017536458333333308,-0.014110243055555551
neighbors_2048_sep_k25,27,31,2,1,0.03069531250000007,0.0006821180555555571,-0.014110243055555551
neighbors_2048_sep_k25,27,26,0,28,0.008011300223214281,0.004984809027777775,0.03000069444444445
neighbors_2048_sep_k25,27,26,1,16,0.06303417968750002,0.022412152777777788,0.03000069444444445
neighbors_2048_sep_k25,27,26,2,1,0.11716796875000002,0.0026037326388888894,0.03000069444444445
neighbors_2048_sep_k50,27,21,0,28,-0.051861328124999995,-0.03226927083333333,-0.046318229166666655
neighbors_2048_sep_k50,27,21,1,16,-0.03859399414062498,-0.013722309027777772,-0.046318229166666655
neighbors_2048_sep_k50,27,21,2,1,-0.01469921874999991,-0.00032664930555555355,-0.046318229166666655
neighbors_2048_sep_k50,27,31,0,28,-0.034259486607142856,-0.02131701388888889,-0.027897656249999993
neighbors_2048_sep_k50,27,31,1,16,-0.019044189453124978,-0.006771267361111104,-0.027897656249999993
