field_id,recipe,metric,model,input_condition,model_change_at_full,input_change_from_full,model_minus_input
11,cls,cka,scibert,title,0.5520341643360347,0.6435735386496935,-0.09153937431365877
11,cls,cka,scibert,abstract,0.5520341643360347,0.05398183628770048,0.4980523280483342
11,cls,cka,bert,title,0.5575137923549542,0.7146090503728532,-0.15709525801789892
11,cls,cka,bert,abstract,0.5575137923549542,0.09304412682971674,0.4644696655252375
11,cls,cka,mpnet,title,0.4243854714828675,0.16745567494660918,0.2569297965362583
11,cls,cka,mpnet,abstract,0.4243854714828675,0.026856601509236522,0.39752886997363096
11,cls,cka,minilm,title,0.4460844869220845,0.23523841275744228,0.21084607416464224
11,cls,cka,minilm,abstract,0.4460844869220845,0.037385846502761,0.4086986404193235
11,cls,cka,pubmedbert,title,0.5618541596363824,0.721313160189929,-0.15945900055354656
11,cls,cka,pubmedbert,abstract,0.5618541596363824,0.03592083086272113,0.5259333287736613
11,cls,cka,biobert,title,0.4747541725993563,0.7326757131743835,-0.2579215405750272
11,cls,cka,biobert,abstract,0.4747541725993563,0.03652551503797363,0.4382286575613827
11,cls,cka,simcse,title,0.4958481990344641,0.5220569941852973,-0.026208795150833186
11,cls,cka,simcse,abstract,0.4958481990344641,0.029342594423902857,0.46650560461056123
11,cls,neighbors10,specter,title,0.7213333333333333,0.5887,0.13263333333333327
11,cls,neighbors10,specter,abstract,0.7213333333333333,0.3325,0.38883333333333325
11,cls,neighbors10,specter2,title,0.7524555555555555,0.6099,0.14255555555555555
11,cls,neighbors10,specter2,abstract,0.7524555555555555,0.32630000000000003,0.4261555555555555
11,cls,neighbors10,scincl,title,0.7155111111111112,0.5679000000000001,0.14761111111111114
11,cls,neighbors10,scincl,abstract,0.7155111111111112,0.2612,0.4543111111111112
11,cls,neighbors10,scibert,title,0.8248555555555555,0.8947,-0.0698444444444446
11,cls,neighbors10,scibert,abstract,0.8248555555555555,0.3488,0.47605555555555545
11,cls,neighbors10,bert,title,0.837188888888889,0.9273,-0.09011111111111103
11,cls,neighbors10,bert,abstract,0.837188888888889,0.4707,0.366488888888889
11,cls,neighbors10,mpnet,title,0.7082,0.5105999999999999,0.1976000000000001
11,cls,neighbors10,mpnet,abstract,0.7082,0.1976000000000001,0.5105999999999999
11,cls,neighbors10,minilm,title,0.7325666666666666,0.5946,0.13796666666666657
11,cls,neighbors10,minilm,abstract,0.7325666666666666,0.24459999999999993,0.48796666666666666
11,cls,neighbors10,pubmedbert,title,0.8165333333333333,0.9045,-0.08796666666666664
11,cls,neighbors10,pubmedbert,abstract,0.8165333333333333,0.24740000000000006,0.5691333333333333
11,cls,neighbors10,biobert,title,0.7859999999999999,0.8792,-0.09320000000000006
11,cls,neighbors10,biobert,abstract,0.7859999999999999,0.26039999999999996,0.5256
11,cls,neighbors10,simcse,title,0.8059777777777777,0.8506,-0.04462222222222234
