field_id,period_start,model_a,model_b,k,all_candidates,fixed_queries,all_queries_all_candidates,fixed_queries_all_candidates,fixed_queries_2048_candidates,query_selection_change,candidate_change_same_queries
31,2015,specter2,pubmedbert,10,3388,2048,0.17219598583234946,0.169873046875,0.19287109375000003,-0.002322938957349474,0.02299804687500004
31,2015,specter2,pubmedbert,25,3388,2048,0.21906729634002362,0.2193359375,0.24652343750000005,0.0002686411599763794,0.02718750000000006
31,2015,specter2,pubmedbert,50,3388,2048,0.2604545454545455,0.259140625,0.290087890625,-0.0013139204545454808,0.030947265624999998
31,2015,specter2,biobert,10,3388,2048,0.17461629279811097,0.1736328125,0.19394531250000002,-0.0009834802981109614,0.02031250000000001
31,2015,specter2,biobert,25,3388,2048,0.21962219598583235,0.21845703125,0.24492187500000004,-0.0011651647358323636,0.02646484375000005
31,2015,specter2,biobert,50,3388,2048,0.2619185360094451,0.2608984375,0.2910546875,-0.0010200985094450665,0.030156249999999996
31,2015,specter2,simcse,10,3388,2048,0.13202479338842976,0.134375,0.151904296875,0.0023502066115702325,0.017529296875000017
31,2015,specter2,simcse,25,3388,2048,0.1664344746162928,0.16658203125,0.18521484375000002,0.00014755663370721872,0.018632812500000012
31,2015,specter2,simcse,50,3388,2048,0.1995749704840614,0.198388671875,0.2233203125,-0.001186298609061387,0.024931640625
31,2015,scincl,scibert,10,3388,2048,0.24043683589138137,0.2388671875,0.264892578125,-0.0015696483913813786,0.026025390625000006
31,2015,scincl,scibert,25,3388,2048,0.2977331759149941,0.2963671875,0.33222656250000004,-0.0013659884149940793,0.03585937500000003
31,2015,scincl,scibert,50,3388,2048,0.35053128689492324,0.35037109375,0.3884667968750001,-0.00016019314492327075,0.0380957031250001
31,2015,scincl,bert,10,3388,2048,0.168801652892562,0.166455078125,0.18886718750000003,-0.002346574767562004,0.022412109375000044
31,2015,scincl,bert,25,3388,2048,0.2153246753246753,0.2141015625,0.24427734375000004,-0.0012231128246752987,0.030175781250000033
31,2015,scincl,bert,50,3388,2048,0.2577508854781582,0.2576953125,0.291611328125,-5.557297815822482e-05,0.03391601562500002
31,2015,scincl,mpnet,10,3388,2048,0.4538370720188902,0.45224609375,0.477490234375,-0.001590978268890153,0.025244140624999967
31,2015,scincl,mpnet,25,3388,2048,0.5015230224321133,0.49865234375,0.5246484375,-0.0028706786821133257,0.025996093750000004
31,2015,scincl,mpnet,50,3388,2048,0.5367591499409682,0.535712890625,0.559462890625,-0.0010462593159681344,0.023749999999999938
31,2015,scincl,minilm,10,3388,2048,0.4047815820543093,0.40107421875,0.42778320312499996,-0.003707363304309319,0.026708984374999967
31,2015,scincl,minilm,25,3388,2048,0.4549940968122786,0.452890625,0.4751953125,-0.002103471812278601,0.02230468750000003
31,2015,scincl,minilm,50,3388,2048,0.48644037780401417,0.486005859375,0.5071484374999999,-0.0004345184290141524,0.021142578124999922
31,2015,scincl,pubmedbert,10,3388,2048,0.1844746162927981,0.183935546875,0.206591796875,-0.0005390694177981048,0.022656250000000017
31,2015,scincl,pubmedbert,25,3388,2048,0.23223140495867767,0.23240234375,0.2603515625,0.0001709387913223226,0.027949218750000032
31,2015,scincl,pubmedbert,50,3388,2048,0.27691263282172374,0.277607421875,0.309501953125,0.0006947890532762457,0.031894531250000024
31,2015,scincl,biobert,10,3388,2048,0.1863931523022432,0.184765625,0.20346679687500002,-0.0016275273022432202,0.018701171875000033
31,2015,scincl,biobert,25,3388,2048,0.23493506493506494,0.23345703125,0.2601171875,-0.001478033685064939,0.02666015625000001
31,2015,scincl,biobert,50,3388,2048,0.27791027154663517,0.27748046875,0.310810546875,-0.0004298027966351814,0.033330078124999996
31,2015,scincl,simcse,10,3388,2048,0.14701889020070838,0.146484375,0.164599609375,-0.0005345152007083798,0.01811523437500001
31,2015,scincl,simcse,25,3388,2048,0.18557260920897284,0.186171875,0.208671875,0.0005992657910271482,0.02250000000000002
31,2015,scincl,simcse,50,3388,2048,0.222012987012987,0.222685546875,0.250703125,0.0006725598620130058,0.028017578125000026
31,2015,scibert,bert,10,3388,2048,0.3239374262101535,0.322509765625,0.34775390625,-0.0014276605851534785,0.025244140625000022
31,2015,scibert,bert,25,3388,2048,0.37399055489964583,0.373828125,0.40855468750000007,-0.00016242989964582177,0.03472656250000006
31,2015,scibert,bert,50,3388,2048,0.41935064935064936,0.42076171875,0.45378906250000006,0.0014110693993506507,0.03302734375000005
31,2015,scibert,mpnet,10,3388,2048,0.23420897284533648,0.23369140625,0.257568359375,-0.0005175665953364716,0.02387695312499999
31,2015,scibert,mpnet,25,3388,2048,0.2871192443919717,0.28599609375,0.3251953125,-0.0011231506419716597,0.03919921874999999
31,2015,scibert,mpnet,50,3388,2048,0.3396103896103896,0.33982421875,0.38017578125,0.00021382913961043304,0.04035156249999999
