field_id,recipe,k,model_a,input_a,model_b,input_b,kind,mean_overlap
11,mean,25,bert,title,bert,abstract,input,0.20007999999999998
11,mean,25,bert,title,bert,title_abstract,input,0.2298
11,mean,25,mpnet,title,minilm,title,model,0.50964
11,mean,25,mpnet,title,pubmedbert,title,model,0.28292
11,mean,25,mpnet,title,biobert,title,model,0.21644
11,mean,25,mpnet,title,simcse,title,model,0.24276
11,mean,25,mpnet,title,mpnet,abstract,input,0.46724
11,mean,25,mpnet,title,mpnet,title_abstract,input,0.53916
11,mean,25,minilm,title,pubmedbert,title,model,0.25572
11,mean,25,minilm,title,biobert,title,model,0.1974
11,mean,25,minilm,title,simcse,title,model,0.24528
11,mean,25,minilm,title,minilm,abstract,input,0.38264000000000004
11,mean,25,minilm,title,minilm,title_abstract,input,0.45640000000000003
11,mean,25,pubmedbert,title,biobert,title,model,0.32108
11,mean,25,pubmedbert,title,simcse,title,model,0.22648
11,mean,25,pubmedbert,title,pubmedbert,abstract,input,0.21396
11,mean,25,pubmedbert,title,pubmedbert,title_abstract,input,0.24251999999999999
11,mean,25,biobert,title,simcse,title,model,0.18724
11,mean,25,biobert,title,biobert,abstract,input,0.17187999999999998
11,mean,25,biobert,title,biobert,title_abstract,input,0.21164000000000002
11,mean,25,simcse,title,simcse,abstract,input,0.17620000000000002
11,mean,25,simcse,title,simcse,title_abstract,input,0.20264
11,mean,25,specter,abstract,specter2,abstract,model,0.41052
11,mean,25,specter,abstract,scincl,abstract,model,0.5233599999999999
11,mean,25,specter,abstract,scibert,abstract,model,0.31648
11,mean,25,specter,abstract,bert,abstract,model,0.28912
11,mean,25,specter,abstract,mpnet,abstract,model,0.46848
11,mean,25,specter,abstract,minilm,abstract,model,0.42292
11,mean,25,specter,abstract,pubmedbert,abstract,model,0.29896
11,mean,25,specter,abstract,biobert,abstract,model,0.3118
11,mean,25,specter,abstract,simcse,abstract,model,0.26136
11,mean,25,specter,abstract,specter,title_abstract,input,0.72944
11,mean,25,specter2,abstract,scincl,abstract,model,0.44772
11,mean,25,specter2,abstract,scibert,abstract,model,0.26908
11,mean,25,specter2,abstract,bert,abstract,model,0.22712
11,mean,25,specter2,abstract,mpnet,abstract,model,0.42656
11,mean,25,specter2,abstract,minilm,abstract,model,0.373
11,mean,25,specter2,abstract,pubmedbert,abstract,model,0.24684
11,mean,25,specter2,abstract,biobert,abstract,model,0.252
11,mean,25,specter2,abstract,simcse,abstract,model,0.2138
11,mean,25,specter2,abstract,specter2,title_abstract,input,0.7128
11,mean,25,scincl,abstract,scibert,abstract,model,0.29368
11,mean,25,scincl,abstract,bert,abstract,model,0.2662
11,mean,25,scincl,abstract,mpnet,abstract,model,0.5065999999999999
11,mean,25,scincl,abstract,minilm,abstract,model,0.44351999999999997
11,mean,25,scincl,abstract,pubmedbert,abstract,model,0.2728
11,mean,25,scincl,abstract,biobert,abstract,model,0.2818
11,mean,25,scincl,abstract,simcse,abstract,model,0.24603999999999998
11,mean,25,scincl,abstract,scincl,title_abstract,input,0.78264
11,mean,25,scibert,abstract,bert,abstract,model,0.44212
11,mean,25,scibert,abstract,mpnet,abstract,model,0.29008
11,mean,25,scibert,abstract,minilm,abstract,model,0.28296
11,mean,25,scibert,abstract,pubmedbert,abstract,model,0.5845600000000001
11,mean,25,scibert,abstract,biobert,abstract,model,0.5867600000000001
11,mean,25,scibert,abstract,simcse,abstract,model,0.30428
11,mean,25,scibert,abstract,scibert,title_abstract,input,0.8620399999999999
11,mean,25,bert,abstract,mpnet,abstract,model,0.29612
11,mean,25,bert,abstract,minilm,abstract,model,0.2954
11,mean,25,bert,abstract,pubmedbert,abstract,model,0.43524
11,mean,25,bert,abstract,biobert,abstract,model,0.47476
11,mean,25,bert,abstract,simcse,abstract,model,0.42963999999999997
11,mean,25,bert,abstract,bert,title_abstract,input,0.8478
11,mean,25,mpnet,abstract,minilm,abstract,model,0.5528
11,mean,25,mpnet,abstract,pubmedbert,abstract,model,0.28448
11,mean,25,mpnet,abstract,biobert,abstract,model,0.29528
11,mean,25,mpnet,abstract,simcse,abstract,model,0.27104
11,mean,25,mpnet,abstract,mpnet,title_abstract,input,0.83428
11,mean,25,minilm,abstract,pubmedbert,abstract,model,0.2734
11,mean,25,minilm,abstract,biobert,abstract,model,0.28524
11,mean,25,minilm,abstract,simcse,abstract,model,0.2774
11,mean,25,minilm,abstract,minilm,title_abstract,input,0.78664
11,mean,25,pubmedbert,abstract,biobert,abstract,model,0.60288
11,mean,25,pubmedbert,abstract,simcse,abstract,model,0.29975999999999997
11,mean,25,pubmedbert,abstract,pubmedbert,title_abstract,input,0.85524
11,mean,25,biobert,abstract,simcse,abstract,model,0.32248
11,mean,25,biobert,abstract,biobert,title_abstract,input,0.83844
11,mean,25,simcse,abstract,simcse,title_abstract,input,0.76764
11,mean,25,specter,title_abstract,specter2,title_abstract,model,0.42100000000000004
11,mean,25,specter,title_abstract,scincl,title_abstract,model,0.54704
11,mean,25,specter,title_abstract,scibert,title_abstract,model,0.33404000000000006
11,mean,25,specter,title_abstract,bert,title_abstract,model,0.29908
11,mean,25,specter,title_abstract,mpnet,title_abstract,model,0.49636
11,mean,25,specter,title_abstract,minilm,title_abstract,model,0.43292
11,mean,25,specter,title_abstract,pubmedbert,title_abstract,model,0.31052
11,mean,25,specter,title_abstract,biobert,title_abstract,model,0.32072
11,mean,25,specter,title_abstract,simcse,title_abstract,model,0.2698
11,mean,25,specter2,title_abstract,scincl,title_abstract,model,0.46228
11,mean,25,specter2,title_abstract,scibert,title_abstract,model,0.28888
11,mean,25,specter2,title_abstract,bert,title_abstract,model,0.24187999999999998
11,mean,25,specter2,title_abstract,mpnet,title_abstract,model,0.44132
11,mean,25,specter2,title_abstract,minilm,title_abstract,model,0.38904000000000005
11,mean,25,specter2,title_abstract,pubmedbert,title_abstract,model,0.25976
11,mean,25,specter2,title_abstract,biobert,title_abstract,model,0.26344
11,mean,25,specter2,title_abstract,simcse,title_abstract,model,0.2288
11,mean,25,scincl,title_abstract,scibert,title_abstract,model,0.30908
11,mean,25,scincl,title_abstract,bert,title_abstract,model,0.275
11,mean,25,scincl,title_abstract,mpnet,title_abstract,model,0.52128
11,mean,25,scincl,title_abstract,minilm,title_abstract,model,0.45399999999999996
11,mean,25,scincl,title_abstract,pubmedbert,title_abstract,model,0.278
11,mean,25,scincl,title_abstract,biobert,title_abstract,model,0.28524
11,mean,25,scincl,title_abstract,simcse,title_abstract,model,0.25844
11,mean,25,scibert,title_abstract,bert,title_abstract,model,0.4484
11,mean,25,scibert,title_abstract,mpnet,title_abstract,model,0.30284
11,mean,25,scibert,title_abstract,minilm,title_abstract,model,0.28996
11,mean,25,scibert,title_abstract,pubmedbert,title_abstract,model,0.58272
11,mean,25,scibert,title_abstract,biobert,title_abstract,model,0.5736
11,mean,25,scibert,title_abstract,simcse,title_abstract,model,0.31184
11,mean,25,bert,title_abstract,mpnet,title_abstract,model,0.30147999999999997
11,mean,25,bert,title_abstract,minilm,title_abstract,model,0.29612
11,mean,25,bert,title_abstract,pubmedbert,title_abstract,model,0.43784
11,mean,25,bert,title_abstract,biobert,title_abstract,model,0.47576
11,mean,25,bert,title_abstract,simcse,title_abstract,model,0.42468000000000006
11,mean,25,mpnet,title_abstract,minilm,title_abstract,model,0.5646800000000001
11,mean,25,mpnet,title_abstract,pubmedbert,title_abstract,model,0.2894
11,mean,25,mpnet,title_abstract,biobert,title_abstract,model,0.29847999999999997
11,mean,25,mpnet,title_abstract,simcse,title_abstract,model,0.27716
11,mean,25,minilm,title_abstract,pubmedbert,title_abstract,model,0.27536
11,mean,25,minilm,title_abstract,biobert,title_abstract,model,0.28552
11,mean,25,minilm,title_abstract,simcse,title_abstract,model,0.27884
11,mean,25,pubmedbert,title_abstract,biobert,title_abstract,model,0.5894400000000001
11,mean,25,pubmedbert,title_abstract,simcse,title_abstract,model,0.30476
11,mean,25,biobert,title_abstract,simcse,title_abstract,model,0.32244
11,mean,50,specter,title,specter2,title,model,0.4153
11,mean,50,specter,title,scincl,title,model,0.4869
11,mean,50,specter,title,scibert,title,model,0.29002
11,mean,50,specter,title,bert,title,model,0.29109999999999997
11,mean,50,specter,title,mpnet,title,model,0.43168
11,mean,50,specter,title,minilm,title,model,0.38406
11,mean,50,specter,title,pubmedbert,title,model,0.34604
11,mean,50,specter,title,biobert,title,model,0.25668
11,mean,50,specter,title,simcse,title,model,0.26558
11,mean,50,specter,title,specter,abstract,input,0.44520000000000004
11,mean,50,specter,title,specter,title_abstract,input,0.54604
11,mean,50,specter2,title,scincl,title,model,0.47946
11,mean,50,specter2,title,scibert,title,model,0.27264
11,mean,50,specter2,title,bert,title,model,0.26432
11,mean,50,specter2,title,mpnet,title,model,0.43498
11,mean,50,specter2,title,minilm,title,model,0.3818
11,mean,50,specter2,title,pubmedbert,title,model,0.31388
11,mean,50,specter2,title,biobert,title,model,0.23262
11,mean,50,specter2,title,simcse,title,model,0.24508
11,mean,50,specter2,title,specter2,abstract,input,0.4108
11,mean,50,specter2,title,specter2,title_abstract,input,0.51644
11,mean,50,scincl,title,scibert,title,model,0.30469999999999997
11,mean,50,scincl,title,bert,title,model,0.29516
11,mean,50,scincl,title,mpnet,title,model,0.4474
11,mean,50,scincl,title,minilm,title,model,0.40238
11,mean,50,scincl,title,pubmedbert,title,model,0.34908
11,mean,50,scincl,title,biobert,title,model,0.25764
11,mean,50,scincl,title,simcse,title,model,0.26358
11,mean,50,scincl,title,scincl,abstract,input,0.46684
11,mean,50,scincl,title,scincl,title_abstract,input,0.54878
11,mean,50,scibert,title,bert,title,model,0.33515999999999996
11,mean,50,scibert,title,mpnet,title,model,0.2681
11,mean,50,scibert,title,minilm,title,model,0.2515
11,mean,50,scibert,title,pubmedbert,title,model,0.42548
11,mean,50,scibert,title,biobert,title,model,0.30122
11,mean,50,scibert,title,simcse,title,model,0.23192000000000002
11,mean,50,scibert,title,scibert,abstract,input,0.2249
11,mean,50,scibert,title,scibert,title_abstract,input,0.24916
11,mean,50,bert,title,mpnet,title,model,0.31676
11,mean,50,bert,title,minilm,title,model,0.30802
11,mean,50,bert,title,pubmedbert,title,model,0.38795999999999997
11,mean,50,bert,title,biobert,title,model,0.29956
11,mean,50,bert,title,simcse,title,model,0.37854
11,mean,50,bert,title,bert,abstract,input,0.2583
11,mean,50,bert,title,bert,title_abstract,input,0.28865999999999997
11,mean,50,mpnet,title,minilm,title,model,0.53998
11,mean,50,mpnet,title,pubmedbert,title,model,0.33436
11,mean,50,mpnet,title,biobert,title,model,0.2554
11,mean,50,mpnet,title,simcse,title,model,0.28818
11,mean,50,mpnet,title,mpnet,abstract,input,0.52234
11,mean,50,mpnet,title,mpnet,title_abstract,input,0.59012
11,mean,50,minilm,title,pubmedbert,title,model,0.30552
11,mean,50,minilm,title,biobert,title,model,0.23892
11,mean,50,minilm,title,simcse,title,model,0.29302
11,mean,50,minilm,title,minilm,abstract,input,0.43223999999999996
11,mean,50,minilm,title,minilm,title_abstract,input,0.50182
11,mean,50,pubmedbert,title,biobert,title,model,0.35442
11,mean,50,pubmedbert,title,simcse,title,model,0.26898
11,mean,50,pubmedbert,title,pubmedbert,abstract,input,0.26038
11,mean,50,pubmedbert,title,pubmedbert,title_abstract,input,0.29086
11,mean,50,biobert,title,simcse,title,model,0.22082000000000002
11,mean,50,biobert,title,biobert,abstract,input,0.21524000000000001
11,mean,50,biobert,title,biobert,title_abstract,input,0.25792000000000004
11,mean,50,simcse,title,simcse,abstract,input,0.23079999999999998
11,mean,50,simcse,title,simcse,title_abstract,input,0.26086
11,mean,50,specter,abstract,specter2,abstract,model,0.46258000000000005
11,mean,50,specter,abstract,scincl,abstract,model,0.58084
11,mean,50,specter,abstract,scibert,abstract,model,0.36356
11,mean,50,specter,abstract,bert,abstract,model,0.3397
11,mean,50,specter,abstract,mpnet,abstract,model,0.52872
11,mean,50,specter,abstract,minilm,abstract,model,0.47682
11,mean,50,specter,abstract,pubmedbert,abstract,model,0.3421
11,mean,50,specter,abstract,biobert,abstract,model,0.3608
11,mean,50,specter,abstract,simcse,abstract,model,0.3114
11,mean,50,specter,abstract,specter,title_abstract,input,0.7732800000000001
11,mean,50,specter2,abstract,scincl,abstract,model,0.49914000000000003
11,mean,50,specter2,abstract,scibert,abstract,model,0.31418
11,mean,50,specter2,abstract,bert,abstract,model,0.27356
11,mean,50,specter2,abstract,mpnet,abstract,model,0.47714
