metric,field_id,input_condition,model_change_at_full,input_change_from_full,model_minus_input
rsa,35,title,0.4419641894309102,0.4163802707414524,0.025583918689457735
rsa,35,abstract,0.4419641894309102,0.029800981994051533,0.4121632074368587
rsa,36,title,0.520109430274407,0.42127146802397897,0.098837962250428
rsa,36,abstract,0.520109430274407,0.027724106265761196,0.4923853240086459
neighbors25,11,title,0.6373502222222223,0.648008,-0.010657777777777822
neighbors25,11,abstract,0.6373502222222223,0.19830399999999998,0.4390462222222222
neighbors25,12,title,0.7112711111111111,0.766084,-0.054812888888888876
neighbors25,12,abstract,0.7112711111111111,0.241316,0.4699551111111111
neighbors25,13,title,0.6525075555555555,0.631956,0.020551555555555566
neighbors25,13,abstract,0.6525075555555555,0.182448,0.4700595555555556
neighbors25,14,title,0.6841724444444444,0.701244,-0.017071555555555572
neighbors25,14,abstract,0.6841724444444444,0.21532,0.4688524444444444
neighbors25,15,title,0.6223484444444446,0.6539759999999999,-0.03162755555555552
neighbors25,15,abstract,0.6223484444444446,0.21412400000000004,0.4082244444444445
neighbors25,16,title,0.6691217777777778,0.669176,-5.4222222222222174e-05
neighbors25,16,abstract,0.6691217777777778,0.255996,0.4131257777777778
neighbors25,17,title,0.6459893333333333,0.676908,-0.03091866666666666
neighbors25,17,abstract,0.6459893333333333,0.1795,0.46648933333333337
neighbors25,18,title,0.647440888888889,0.68762,-0.040179111111111096
neighbors25,18,abstract,0.647440888888889,0.195032,0.45240888888888897
neighbors25,19,title,0.6175608888888888,0.666272,-0.04871111111111111
neighbors25,19,abstract,0.6175608888888888,0.19280399999999998,0.4247568888888889
neighbors25,20,title,0.6769555555555555,0.716496,-0.03954044444444442
neighbors25,20,abstract,0.6769555555555555,0.21665599999999996,0.4602995555555555
neighbors25,21,title,0.6073599999999999,0.6383120000000002,-0.030952000000000014
neighbors25,21,abstract,0.6073599999999999,0.203532,0.403828
neighbors25,22,title,0.6382017777777779,0.647608,-0.009406222222222238
neighbors25,22,abstract,0.6382017777777779,0.18693199999999996,0.4512697777777778
neighbors25,23,title,0.620784,0.64628,-0.025495999999999984
neighbors25,23,abstract,0.620784,0.18194399999999997,0.43884
neighbors25,24,title,0.6667253333333333,0.64308,0.02364533333333334
neighbors25,24,abstract,0.6667253333333333,0.185036,0.4816893333333333
neighbors25,25,title,0.670208888888889,0.670512,-0.00030311111111109846
neighbors25,25,abstract,0.670208888888889,0.216628,0.4535808888888889
neighbors25,26,title,0.6629066666666666,0.6999799999999999,-0.037073333333333305
neighbors25,26,abstract,0.6629066666666666,0.223108,0.4397986666666667
neighbors25,27,title,0.6786328888888888,0.6340799999999999,0.044552888888888885
neighbors25,27,abstract,0.6786328888888888,0.17210399999999998,0.5065288888888888
neighbors25,28,title,0.6128346666666666,0.6392840000000001,-0.026449333333333335
neighbors25,28,abstract,0.6128346666666666,0.16071600000000003,0.4521186666666666
neighbors25,29,title,0.6099804444444443,0.6068999999999999,0.00308044444444443
neighbors25,29,abstract,0.6099804444444443,0.172168,0.43781244444444434
neighbors25,30,title,0.6217422222222222,0.622456,-0.0007137777777777244
neighbors25,30,abstract,0.6217422222222222,0.19266000000000003,0.42908222222222225
neighbors25,31,title,0.6323173333333334,0.687616,-0.05529866666666665
neighbors25,31,abstract,0.6323173333333334,0.19598400000000002,0.43633333333333335
neighbors25,32,title,0.6602942222222222,0.674948,-0.014653777777777821
neighbors25,32,abstract,0.6602942222222222,0.18054399999999998,0.47975022222222224
neighbors25,33,title,0.6789635555555555,0.7219599999999999,-0.042996444444444434
neighbors25,33,abstract,0.6789635555555555,0.22993199999999997,0.44903155555555563
neighbors25,34,title,0.6343022222222222,0.629348,0.004954222222222249
neighbors25,34,abstract,0.6343022222222222,0.183244,0.45105822222222225
neighbors25,35,title,0.6458702222222222,0.6625159999999999,-0.01664577777777777
neighbors25,35,abstract,0.6458702222222222,0.193648,0.4522222222222222
neighbors25,36,title,0.6740133333333332,0.683624,-0.009610666666666667
neighbors25,36,abstract,0.6740133333333332,0.19127999999999998,0.48273333333333335
