recipe,metric,model,input_condition,model_change_at_full,input_change_from_full,model_minus_input
mean,neighbors25,mpnet,title,0.6199023931623933,0.4826092307692307,0.13729316239316242
mean,neighbors25,mpnet,abstract,0.6199023931623933,0.15964461538461538,0.4602577777777777
mean,neighbors25,minilm,title,0.632991282051282,0.5461184615384616,0.08687282051282048
mean,neighbors25,minilm,abstract,0.632991282051282,0.19506307692307695,0.43792820512820513
mean,neighbors25,pubmedbert,title,0.647123418803419,0.7891292307692308,-0.14200581196581197
mean,neighbors25,pubmedbert,abstract,0.647123418803419,0.14527230769230767,0.5018511111111111
mean,neighbors25,biobert,title,0.6382499145299145,0.797716923076923,-0.15946700854700854
mean,neighbors25,biobert,abstract,0.6382499145299145,0.17123999999999995,0.4670099145299146
mean,neighbors25,simcse,title,0.7072694017094018,0.7951353846153846,-0.08786598290598291
mean,neighbors25,simcse,abstract,0.7072694017094018,0.23319846153846158,0.47407094017094015
mean,neighbors25,mean_of_ten_fixed_models,title,0.6492252307692308,0.666394,-0.017168769230769227
mean,neighbors25,mean_of_ten_fixed_models,abstract,0.6492252307692308,0.19849846153846154,0.45072676923076926
mean,neighbors50,specter,title,0.596589829059829,0.5072107692307692,0.0893790598290598
mean,neighbors50,specter,abstract,0.596589829059829,0.24045307692307688,0.3561367521367521
mean,neighbors50,specter2,title,0.6234400854700854,0.5131392307692308,0.1103008547008547
mean,neighbors50,specter2,abstract,0.6234400854700854,0.2509246153846154,0.3725154700854701
mean,neighbors50,scincl,title,0.5945501709401709,0.4813930769230769,0.113157094017094
mean,neighbors50,scincl,abstract,0.5945501709401709,0.18527384615384615,0.40927632478632475
mean,neighbors50,scibert,title,0.5857398290598291,0.747759230769231,-0.16201940170940168
mean,neighbors50,scibert,abstract,0.5857398290598291,0.12127999999999999,0.4644598290598291
mean,neighbors50,bert,title,0.606832905982906,0.7228292307692308,-0.11599632478632478
mean,neighbors50,bert,abstract,0.606832905982906,0.13287923076923078,0.47395367521367515
mean,neighbors50,mpnet,title,0.5732794017094017,0.43723000000000006,0.13604940170940172
mean,neighbors50,mpnet,abstract,0.5732794017094017,0.13869615384615386,0.43458324786324787
mean,neighbors50,minilm,title,0.5860522222222222,0.49898846153846155,0.08706376068376069
mean,neighbors50,minilm,abstract,0.5860522222222222,0.1714653846153846,0.4145868376068376
mean,neighbors50,pubmedbert,title,0.5974809401709402,0.7340661538461538,-0.13658521367521367
mean,neighbors50,pubmedbert,abstract,0.5974809401709402,0.12445999999999999,0.4730209401709402
mean,neighbors50,biobert,title,0.5878004273504274,0.7503738461538461,-0.16257341880341875
mean,neighbors50,biobert,abstract,0.5878004273504274,0.14662846153846157,0.4411719658119658
mean,neighbors50,simcse,title,0.6548384615384616,0.7351261538461539,-0.0802876923076923
mean,neighbors50,simcse,abstract,0.6548384615384616,0.19916615384615383,0.45567230769230765
mean,neighbors50,mean_of_ten_fixed_models,title,0.6006604273504274,0.6128116153846154,-0.012151188034188035
mean,neighbors50,mean_of_ten_fixed_models,abstract,0.6006604273504274,0.1711226923076923,0.429537735042735
cls,cka,specter,title,0.42668992982608517,0.2075151304597385,0.2191747993663467
