outcome,period_start,comparisons,mean,median,min,max,q05,q95
cka_equal2048,2010,1170,0.6326297248314239,0.6047591118000978,0.34637478498190516,0.9197481626448267,0.43868470825971184,0.8519515511438911
cka_equal2048,2015,1170,0.641816253990328,0.6134176501819044,0.3602211766658405,0.9198504413113608,0.44638101516417894,0.8506163060261314
cka_equal2048,2020,1170,0.6489036530845299,0.6224848208562797,0.3543951062929464,0.9190092933634009,0.4520994480750808,0.8565599232624113
neighbors_all_k10,2000,1170,0.26547187030093755,0.21881348107109883,0.09088103254769922,0.575207756232687,0.1294921514312096,0.4981688609819187
neighbors_all_k10,2005,1170,0.26475751554246024,0.21563146529305474,0.08863511785126987,0.5707294552169898,0.12745614035087718,0.4953678858017778
neighbors_all_k10,2010,1170,0.2630945285709011,0.21156820216450825,0.08464269862405682,0.5746075715604801,0.1266810022351674,0.4948152424942263
neighbors_all_k10,2015,1170,0.25881320985346934,0.20618651892890122,0.0784529497020774,0.5657433056325023,0.12536748514269383,0.4874075304373805
neighbors_all_k10,2020,1170,0.2560020217455803,0.20402575262719164,0.07562511929757587,0.5707294552169898,0.12075491506012598,0.4807505925610793
neighbors_all_k25,2000,1170,0.30657697219983504,0.2649478194824122,0.10261503928170596,0.6202770083102493,0.16107408446573857,0.541346931263981
neighbors_all_k25,2005,1170,0.30595343808088615,0.2619382911392405,0.10106705645898047,0.6195383194829178,0.15782793987621574,0.5431237303785781
neighbors_all_k25,2010,1170,0.3034632367739435,0.25759002770083106,0.09589246084585633,0.6138688827331487,0.154515611814346,0.5386426966292135
neighbors_all_k25,2015,1170,0.30038562320185075,0.25201406143485955,0.0899865800633421,0.6072945521698985,0.1524963718587869,0.5330944072305966
neighbors_all_k25,2020,1170,0.29788478484615294,0.2510249307479224,0.0873571292231342,0.6080517082179132,0.14657882125490657,0.5283499538319483
neighbors_all_k50,2000,1170,0.34299781086762016,0.30528624192059095,0.11390572390572391,0.6543490304709141,0.1906872417657192,0.5731223453370268
neighbors_all_k50,2005,1170,0.3421372171386602,0.3033887349953832,0.11344052621962361,0.6556694367497692,0.18420801436552428,0.5734445983379501
neighbors_all_k50,2010,1170,0.3389449623849729,0.300370747062942,0.10702808953141843,0.6482825484764543,0.17968333303594053,0.5705897152169448
neighbors_all_k50,2015,1170,0.3373327508398692,0.2981117266851339,0.10036394868216222,0.6386703601108034,0.17731832897792507,0.5651970109576159
neighbors_all_k50,2020,1170,0.3349407441140185,0.29579870729455215,0.09814392059553351,0.6459187442289935,0.17048473471923895,0.564713758079409
neighbors_2048_mean_k10,2000,1170,0.2714748180422009,0.22353515625000003,0.10766601562500001,0.58837890625,0.13649169921875,0.5049951171875
neighbors_2048_mean_k10,2005,1170,0.2744002487313034,0.22360839843750002,0.1044921875,0.5921875,0.13890625000000004,0.5072021484375
neighbors_2048_mean_k10,2010,1170,0.27604496360844016,0.223193359375,0.10839843750000001,0.5892578125,0.14163574218750002,0.5092333984375
neighbors_2048_mean_k10,2015,1170,0.27391405415331205,0.21906738281250002,0.10380859375000001,0.58515625,0.14304199218750002,0.49988037109375
neighbors_2048_mean_k10,2020,1170,0.27649985810630345,0.21962890625000003,0.110498046875,0.5833496093749999,0.14924072265625002,0.5045825195312499
neighbors_2048_mean_k25,2000,1170,0.314068342681624,0.269755859375,0.12681640625,0.6222460937500001,0.17066503906250002,0.5464179687499999
neighbors_2048_mean_k25,2005,1170,0.3176731103098291,0.269892578125,0.13505859375,0.62126953125,0.1731552734375,0.5494541015625
neighbors_2048_mean_k25,2010,1170,0.3192083500267094,0.2691015625,0.13416015625000002,0.6190429687500001,0.17706445312500002,0.551939453125
neighbors_2048_mean_k25,2015,1170,0.3188464543269231,0.26771484375,0.134921875,0.61958984375,0.17919726562500002,0.54662109375
neighbors_2048_mean_k25,2020,1170,0.32318307625534193,0.26907226562500003,0.14041015625000003,0.61349609375,0.1884150390625,0.5491279296874999
