field_id,recipe,model_a,input_a,model_b,input_b,kind,cka_debiased
11,sep,specter,title,bert,title,model,0.327963387890521
11,sep,specter,title,mpnet,title,model,0.666426898667159
11,sep,specter,title,minilm,title,model,0.6138630943281637
11,sep,specter,title,pubmedbert,title,model,0.6291291443477193
11,sep,specter,title,biobert,title,model,0.49217444749187905
11,sep,specter,title,simcse,title,model,0.47133570217357795
11,sep,specter,title,specter,abstract,input,0.728902441964843
11,sep,specter,title,specter,title_abstract,input,0.8223097509415274
11,sep,specter2,title,scincl,title,model,0.7798579227522489
11,sep,specter2,title,scibert,title,model,0.4098296292991627
11,sep,specter2,title,bert,title,model,0.3226031264057023
11,sep,specter2,title,mpnet,title,model,0.6863591271093221
11,sep,specter2,title,minilm,title,model,0.6293841822596403
11,sep,specter2,title,pubmedbert,title,model,0.5961080254340422
11,sep,specter2,title,biobert,title,model,0.44641708655051904
11,sep,specter2,title,simcse,title,model,0.43514489702861525
11,sep,specter2,title,specter2,abstract,input,0.7139017860004094
11,sep,specter2,title,specter2,title_abstract,input,0.8146842129888694
11,sep,scincl,title,scibert,title,model,0.4250901310247657
11,sep,scincl,title,bert,title,model,0.33799023265727385
11,sep,scincl,title,mpnet,title,model,0.6761126084870793
11,sep,scincl,title,minilm,title,model,0.624289866431201
11,sep,scincl,title,pubmedbert,title,model,0.6175763969958635
11,sep,scincl,title,biobert,title,model,0.4760129426734056
11,sep,scincl,title,simcse,title,model,0.45664964312079653
11,sep,scincl,title,scincl,abstract,input,0.7404000706361827
11,sep,scincl,title,scincl,title_abstract,input,0.8158053542456849
11,sep,scibert,title,bert,title,model,0.3496573616301888
11,sep,scibert,title,mpnet,title,model,0.36364467387554095
11,sep,scibert,title,minilm,title,model,0.3468163969035146
11,sep,scibert,title,pubmedbert,title,model,0.5641671624634692
11,sep,scibert,title,biobert,title,model,0.403609848384775
11,sep,scibert,title,simcse,title,model,0.3645061533572415
11,sep,scibert,title,scibert,abstract,input,0.31943193445578383
11,sep,scibert,title,scibert,title_abstract,input,0.3426572934377153
11,sep,bert,title,mpnet,title,model,0.33027853508402194
11,sep,bert,title,minilm,title,model,0.3292176896220792
11,sep,bert,title,pubmedbert,title,model,0.38227102073760916
11,sep,bert,title,biobert,title,model,0.3061670147406498
11,sep,bert,title,simcse,title,model,0.3929826883684283
11,sep,bert,title,bert,abstract,input,0.11800382718644106
11,sep,bert,title,bert,title_abstract,input,0.09452269556107694
11,sep,mpnet,title,minilm,title,model,0.7505083888545061
11,sep,mpnet,title,pubmedbert,title,model,0.5827211985929089
11,sep,mpnet,title,biobert,title,model,0.44692088822026566
11,sep,mpnet,title,simcse,title,model,0.480578173256011
11,sep,mpnet,title,mpnet,abstract,input,0.7705540017775279
11,sep,mpnet,title,mpnet,title_abstract,input,0.8325443250533908
11,sep,minilm,title,pubmedbert,title,model,0.5370939212455176
11,sep,minilm,title,biobert,title,model,0.4202725606239532
11,sep,minilm,title,simcse,title,model,0.48944419231867814
11,sep,minilm,title,minilm,abstract,input,0.6841899941191488
11,sep,minilm,title,minilm,title_abstract,input,0.7647615872425577
11,sep,pubmedbert,title,biobert,title,model,0.518564833818984
11,sep,pubmedbert,title,simcse,title,model,0.47202190097339564
11,sep,pubmedbert,title,pubmedbert,abstract,input,0.565741685923914
11,sep,pubmedbert,title,pubmedbert,title_abstract,input,0.6088515930731193
11,sep,biobert,title,simcse,title,model,0.3587888614574397
11,sep,biobert,title,biobert,abstract,input,0.4501754896867675
11,sep,biobert,title,biobert,title_abstract,input,0.518277426602562
11,sep,simcse,title,simcse,abstract,input,0.4215384204330171
11,sep,simcse,title,simcse,title_abstract,input,0.4779430058147027
11,sep,specter,abstract,specter2,abstract,model,0.7296784832328872
