outcome,field_id,model_a,model_b,first,last,endpoint_change,slope_per_five_years,increasing_steps,decreasing_steps
neighbors_2048_cls_k10,33,scincl,biobert,0.088134765625,0.09594726562500001,0.007812500000000014,0.0018847656249999984,3,1
neighbors_2048_cls_k10,33,scincl,simcse,0.15781250000000002,0.16660156250000002,0.0087890625,0.0017431640625000023,3,1
neighbors_2048_cls_k10,33,scibert,bert,0.17431640625,0.144091796875,-0.03022460937499999,-0.007597656249999996,0,4
neighbors_2048_cls_k10,33,scibert,mpnet,0.071142578125,0.06528320312500001,-0.005859374999999986,-0.0014941406249999983,2,2
neighbors_2048_cls_k10,33,scibert,minilm,0.07177734375,0.063134765625,-0.008642578124999994,-0.002167968749999999,2,2
neighbors_2048_cls_k10,33,scibert,pubmedbert,0.28466796875,0.253759765625,-0.030908203124999978,-0.006547851562499996,1,3
neighbors_2048_cls_k10,33,scibert,biobert,0.26513671875,0.220458984375,-0.044677734375,-0.010683593749999998,1,3
neighbors_2048_cls_k10,33,scibert,simcse,0.1263671875,0.107080078125,-0.019287109375,-0.004658203124999999,1,3
neighbors_2048_cls_k10,33,bert,mpnet,0.09677734375,0.10507812500000001,0.008300781250000014,0.0018115234374999982,3,1
neighbors_2048_cls_k10,33,bert,minilm,0.09628906250000001,0.10312500000000001,0.0068359375,0.0016455078124999994,2,2
neighbors_2048_cls_k10,33,bert,pubmedbert,0.17412109375,0.1498046875,-0.024316406250000006,-0.006396484375000006,0,4
neighbors_2048_cls_k10,33,bert,biobert,0.18574218750000002,0.16352539062500002,-0.022216796875,-0.004868164062499997,0,4
neighbors_2048_cls_k10,33,bert,simcse,0.20229492187500003,0.19150390625000002,-0.010791015625000011,-0.003500976562500002,2,2
neighbors_2048_cls_k10,33,mpnet,minilm,0.5076171875,0.5137695312499999,0.006152343749999956,0.0012011718749999956,2,2
neighbors_2048_cls_k10,33,mpnet,pubmedbert,0.08793945312500001,0.08466796875,-0.0032714843750000083,-0.000620117187500005,2,2
neighbors_2048_cls_k10,33,mpnet,biobert,0.10244140625,0.11508789062500001,0.012646484375000003,0.003852539062499999,3,1
neighbors_2048_cls_k10,33,mpnet,simcse,0.20712890625000002,0.218701171875,0.011572265624999967,0.002465820312499989,2,2
neighbors_2048_cls_k10,33,minilm,pubmedbert,0.09003906250000002,0.08139648437500001,-0.008642578125000008,-0.0020263671875000028,2,2
neighbors_2048_cls_k10,33,minilm,biobert,0.107373046875,0.111083984375,0.0037109374999999972,0.001650390624999995,2,2
neighbors_2048_cls_k10,33,minilm,simcse,0.21811523437500002,0.225537109375,0.007421874999999967,0.0019238281249999933,2,2
neighbors_2048_cls_k10,33,pubmedbert,biobert,0.29960937499999996,0.25810546875,-0.041503906249999944,-0.010019531249999991,1,3
neighbors_2048_cls_k10,33,pubmedbert,simcse,0.148681640625,0.12211914062500001,-0.02656249999999999,-0.007099609374999999,0,4
neighbors_2048_cls_k10,33,biobert,simcse,0.16796875,0.15463867187500002,-0.013330078124999978,-0.0028613281249999954,1,3
neighbors_2048_cls_k10,34,specter,specter2,0.39541015625000003,0.401806640625,0.006396484374999956,0.0033984374999999844,2,2
neighbors_2048_cls_k10,34,specter,scincl,0.48886718749999997,0.4828125,-0.006054687499999989,-0.00026367187499999335,2,2
neighbors_2048_cls_k10,34,specter,scibert,0.109521484375,0.09472656250000001,-0.014794921874999992,-0.0034814453124999978,1,3
neighbors_2048_cls_k10,34,specter,bert,0.12089843750000001,0.10332031250000001,-0.017578125,-0.0033544921874999996,2,2
neighbors_2048_cls_k10,34,specter,mpnet,0.452783203125,0.4525390625,-0.000244140625,-2.929687499999556e-05,2,2
neighbors_2048_cls_k10,34,specter,minilm,0.41376953125,0.40244140625,-0.011328124999999967,-0.002661132812499989,1,3
neighbors_2048_cls_k10,34,specter,pubmedbert,0.13642578125000002,0.113671875,-0.02275390625000001,-0.005117187500000004,1,3
neighbors_2048_cls_k10,34,specter,biobert,0.18051757812500002,0.16318359375,-0.017333984375000028,-0.003745117187500002,1,3
neighbors_2048_cls_k10,34,specter,simcse,0.202294921875,0.19101562500000002,-0.011279296874999983,-0.003315429687499988,1,3
neighbors_2048_cls_k10,34,specter2,scincl,0.43876953124999996,0.45517578124999997,0.01640625000000001,0.005356445312499991,3,1
neighbors_2048_cls_k10,34,specter2,scibert,0.08847656250000001,0.077490234375,-0.010986328125000014,-0.002490234375000003,2,2
neighbors_2048_cls_k10,34,specter2,bert,0.10361328125000002,0.0935546875,-0.010058593750000025,-0.0015283203125000088,2,2
neighbors_2048_cls_k10,34,specter2,mpnet,0.424609375,0.4509765625,0.0263671875,0.007939453125000006,3,1
neighbors_2048_cls_k10,34,specter2,minilm,0.389501953125,0.40361328124999996,0.014111328124999933,0.005673828124999991,2,2
neighbors_2048_cls_k10,34,specter2,pubmedbert,0.11474609375000001,0.097412109375,-0.017333984375000014,-0.003950195312500002,1,3
