outcome,field_id,model,mean_agreement_other_nine,pair_and_field_adjusted_residual
rsa_spearman_primary,16,biobert,0.5541946307755202,-0.048733784997646544
rsa_spearman_primary,16,simcse,0.5601562659747904,0.020286177221668644
rsa_spearman_primary,17,specter,0.46078509052972916,-0.04066412965210228
rsa_spearman_primary,17,specter2,0.4487855814841304,0.020351637631077377
rsa_spearman_primary,17,scincl,0.40164449561714416,-0.07720546060309841
rsa_spearman_primary,17,scibert,0.5404631209745911,0.011980464217868518
rsa_spearman_primary,17,bert,0.5564337992798509,0.010441968189219017
rsa_spearman_primary,17,mpnet,0.5230465757438499,-0.010445107895050364
rsa_spearman_primary,17,minilm,0.5346224361088561,0.0027874487963320447
rsa_spearman_primary,17,pubmedbert,0.5465499824961422,0.021634028678048263
rsa_spearman_primary,17,biobert,0.5486399849913007,0.023354211364507056
rsa_spearman_primary,17,simcse,0.4999923858799477,0.037764939273199155
rsa_spearman_primary,18,specter,0.44849009381189187,-0.06691438014472101
rsa_spearman_primary,18,specter2,0.479502196044189,0.037112998416354466
rsa_spearman_primary,18,scincl,0.4629742893000356,-0.02983092069498863
rsa_spearman_primary,18,scibert,0.5432657397884313,0.0008278292569271484
rsa_spearman_primary,18,bert,0.5684954069337051,0.008548322068291765
rsa_spearman_primary,18,mpnet,0.5609854072654638,0.013538469851781816
rsa_spearman_primary,18,minilm,0.5471537441807509,0.0013635030934453383
rsa_spearman_primary,18,pubmedbert,0.545452201203164,0.006580993610288608
rsa_spearman_primary,18,biobert,0.5467193194610648,0.00747829205948959
rsa_spearman_primary,18,simcse,0.4974775928646612,0.021294892483131014
rsa_spearman_primary,19,specter,0.603606480292516,0.026824268963218816
rsa_spearman_primary,19,specter2,0.46854945782807333,-0.035217477172445416
rsa_spearman_primary,19,scincl,0.5617960072350558,0.007613059867347517
rsa_spearman_primary,19,scibert,0.5976122248136645,-0.006203423090524056
rsa_spearman_primary,19,bert,0.6215319225974965,0.0002071003593988103
