outcome,omitted_model,feature,coefficient,r_squared,design_rank,coefficients_identified
neighbors_2048_mean_k25,simcse,same_objective,0.23345669648360454,0.550689324368975,4,True
neighbors_2048_mean_k25,simcse,same_broad_domain,-0.010344874876725911,0.550689324368975,4,True
neighbors_2048_mean_k25,simcse,same_primary_pooling,-0.059255723901832646,0.550689324368975,4,True
neighbors_2048_cls_k25,specter,intercept,0.22060613288330555,0.20508873188936205,4,True
neighbors_2048_cls_k25,specter,same_objective,0.12688615894414862,0.20508873188936205,4,True
neighbors_2048_cls_k25,specter,same_broad_domain,0.0013622508089526028,0.20508873188936205,4,True
neighbors_2048_cls_k25,specter,same_primary_pooling,-0.04524434065048997,0.20508873188936205,4,True
neighbors_2048_cls_k25,specter2,intercept,0.22311459281094229,0.19557256766934072,4,True
neighbors_2048_cls_k25,specter2,same_objective,0.12695672205130568,0.19557256766934072,4,True
neighbors_2048_cls_k25,specter2,same_broad_domain,0.0026450908788376638,0.19557256766934072,4,True
neighbors_2048_cls_k25,specter2,same_primary_pooling,-0.04378275882059309,0.19557256766934072,4,True
neighbors_2048_cls_k25,scincl,intercept,0.21528200418902937,0.21286766775136468,4,True
neighbors_2048_cls_k25,scincl,same_objective,0.12259237252357827,0.21286766775136468,4,True
neighbors_2048_cls_k25,scincl,same_broad_domain,0.0005567555068964861,0.21286766775136468,4,True
neighbors_2048_cls_k25,scincl,same_primary_pooling,-0.03906327631574283,0.21286766775136468,4,True
neighbors_2048_cls_k25,scibert,intercept,0.262191675707681,0.2369642673352299,4,True
neighbors_2048_cls_k25,scibert,same_objective,0.13832996688506932,0.2369642673352299,4,True
neighbors_2048_cls_k25,scibert,same_broad_domain,0.006632450859428236,0.2369642673352299,4,True
neighbors_2048_cls_k25,scibert,same_primary_pooling,-0.07423406654186515,0.2369642673352299,4,True
neighbors_2048_cls_k25,bert,intercept,0.2591006171008985,0.31703718410276693,4,True
neighbors_2048_cls_k25,bert,same_objective,0.19424136019377736,0.31703718410276693,4,True
neighbors_2048_cls_k25,bert,same_broad_domain,-0.032720394443336416,0.31703718410276693,4,True
neighbors_2048_cls_k25,bert,same_primary_pooling,-0.06668207396025787,0.31703718410276693,4,True
neighbors_2048_cls_k25,mpnet,intercept,0.2334590511158363,0.3668202825671002,4,True
neighbors_2048_cls_k25,mpnet,same_objective,0.1400457071235698,0.3668202825671002,4,True
neighbors_2048_cls_k25,mpnet,same_broad_domain,0.017795539330639404,0.3668202825671002,4,True
neighbors_2048_cls_k25,mpnet,same_primary_pooling,-0.0707446791088834,0.3668202825671002,4,True
neighbors_2048_cls_k25,minilm,intercept,0.2507058875413971,0.3315233905173758,4,True
neighbors_2048_cls_k25,minilm,same_objective,0.13799921469262746,0.3315233905173758,4,True
neighbors_2048_cls_k25,minilm,same_broad_domain,0.012533888762136836,0.3315233905173758,4,True
neighbors_2048_cls_k25,minilm,same_primary_pooling,-0.08583038566206912,0.3315233905173758,4,True
neighbors_2048_cls_k25,pubmedbert,intercept,0.2666811758272696,0.23688121117441363,4,True
neighbors_2048_cls_k25,pubmedbert,same_objective,0.15167048114821566,0.23688121117441363,4,True
neighbors_2048_cls_k25,pubmedbert,same_broad_domain,-0.022278550681089623,0.23688121117441363,4,True
neighbors_2048_cls_k25,pubmedbert,same_primary_pooling,-0.0767003232198545,0.23688121117441363,4,True
neighbors_2048_cls_k25,biobert,intercept,0.2590078045142499,0.2452416409199064,4,True
neighbors_2048_cls_k25,biobert,same_objective,0.15806063783134103,0.2452416409199064,4,True
neighbors_2048_cls_k25,biobert,same_broad_domain,-0.01639916866987162,0.2452416409199064,4,True
neighbors_2048_cls_k25,biobert,same_primary_pooling,-0.07880195677949592,0.2452416409199064,4,True
neighbors_2048_cls_k25,simcse,intercept,0.2631487844639824,0.36493440610411254,4,True
neighbors_2048_cls_k25,simcse,same_objective,0.20904490306036624,0.36493440610411254,4,True
neighbors_2048_cls_k25,simcse,same_broad_domain,0.02709703038674025,0.36493440610411254,4,True
neighbors_2048_cls_k25,simcse,same_primary_pooling,-0.1337276294004109,0.36493440610411254,4,True
neighbors_2048_sep_k25,specter,intercept,0.25232008153343877,0.04482083023258754,4,True
neighbors_2048_sep_k25,specter,same_objective,0.050420162259615355,0.04482083023258754,4,True
neighbors_2048_sep_k25,specter,same_broad_domain,-0.006760972481343311,0.04482083023258754,4,True
neighbors_2048_sep_k25,specter,same_primary_pooling,0.00783316814365666,0.04482083023258754,4,True
neighbors_2048_sep_k25,specter2,intercept,0.2565896228742109,0.04245140812199433,4,True
