field_id,model_a,input_a,model_b,input_b,kind,rows,cka_debiased,rsa_spearman
11,scibert,title_abstract,minilm,title_abstract,model,1000,0.527226521214699,0.4408475740571179
11,scibert,title_abstract,pubmedbert,title_abstract,model,1000,0.8250601604414642,0.8455904763634775
11,scibert,title_abstract,biobert,title_abstract,model,1000,0.8206018133409431,0.8308778847281929
11,scibert,title_abstract,simcse,title_abstract,model,1000,0.6013189210362045,0.5473552765833872
11,bert,title_abstract,mpnet,title_abstract,model,1000,0.5634238826046397,0.48338333283845847
11,bert,title_abstract,minilm,title_abstract,model,1000,0.5849429866761768,0.5273879851859701
11,bert,title_abstract,pubmedbert,title_abstract,model,1000,0.6986656445174972,0.7859574347488932
11,bert,title_abstract,biobert,title_abstract,model,1000,0.7372504289979646,0.7985101079322738
11,bert,title_abstract,simcse,title_abstract,model,1000,0.7458766164145337,0.7988124120740311
11,mpnet,title_abstract,minilm,title_abstract,model,1000,0.8124618829355388,0.8205869242644681
11,mpnet,title_abstract,pubmedbert,title_abstract,model,1000,0.4705056191444121,0.401331263422328
11,mpnet,title_abstract,biobert,title_abstract,model,1000,0.511358319608359,0.4176940284572347
11,mpnet,title_abstract,simcse,title_abstract,model,1000,0.5153698003367557,0.44307759553719406
11,minilm,title_abstract,pubmedbert,title_abstract,model,1000,0.46348776734377095,0.4224848197787122
11,minilm,title_abstract,biobert,title_abstract,model,1000,0.5030955216749128,0.43422749034556885
11,minilm,title_abstract,simcse,title_abstract,model,1000,0.536917826455026,0.49149289684223246
11,pubmedbert,title_abstract,biobert,title_abstract,model,1000,0.83748342899961,0.8658403046686004
11,pubmedbert,title_abstract,simcse,title_abstract,model,1000,0.5636081945771302,0.6163630899709087
11,biobert,title_abstract,simcse,title_abstract,model,1000,0.5851919345046518,0.6243967290594923
12,specter,title,specter2,title,model,1000,0.6091081911376607,0.6051816657834542
12,specter,title,scincl,title,model,1000,0.6017027172351767,0.6471308576213264
12,specter,title,scibert,title,model,1000,0.44224560358439297,0.360405857716015
12,specter,title,bert,title,model,1000,0.3941573856202194,0.22073115901782772
12,specter,title,mpnet,title,model,1000,0.4882257812793088,0.5683936509754848
12,specter,title,minilm,title,model,1000,0.4903429548163585,0.56506823370267
12,specter,title,pubmedbert,title,model,1000,0.40066499544077033,0.2541201998633007
12,specter,title,biobert,title,model,1000,0.26593084457099525,0.19313271299683107
12,specter,title,simcse,title,model,1000,0.3728015946619893,0.22020408018450985
12,specter,title,specter,abstract,input,1000,0.5118604114965679,0.6518262359375661
12,specter,title,specter,title_abstract,input,1000,0.6433676510615803,0.7392337974795881
12,specter2,title,scincl,title,model,1000,0.7344944404810935,0.7234645246331606
12,specter2,title,scibert,title,model,1000,0.49467797270439096,0.3003174937327937
12,specter2,title,bert,title,model,1000,0.4348626258466185,0.18896129303840317
12,specter2,title,mpnet,title,model,1000,0.5475362051275164,0.5621703816044258
12,specter2,title,minilm,title,model,1000,0.5357090310524157,0.5380258899580642
12,specter2,title,pubmedbert,title,model,1000,0.4194026161337176,0.22329272046623178
12,specter2,title,biobert,title,model,1000,0.2696844610748666,0.13212924603632303
12,specter2,title,simcse,title,model,1000,0.4126469088542447,0.23636868147892112
12,specter2,title,specter2,abstract,input,1000,0.518528908465431,0.5894186495990472
12,specter2,title,specter2,title_abstract,input,1000,0.6938278854409693,0.7298884989037242
12,scincl,title,scibert,title,model,1000,0.4638515339754843,0.32490988017377476
12,scincl,title,bert,title,model,1000,0.4075018793156423,0.16034419873086048
12,scincl,title,mpnet,title,model,1000,0.5131929594376248,0.5438270476925683
12,scincl,title,minilm,title,model,1000,0.5093581949519722,0.5360620891221554
12,scincl,title,pubmedbert,title,model,1000,0.39409119715863994,0.21344609129061531
12,scincl,title,biobert,title,model,1000,0.24964010505004022,0.13550291925875718
12,scincl,title,simcse,title,model,1000,0.38989703698001005,0.18330849636827143
12,scincl,title,scincl,abstract,input,1000,0.5084712044320486,0.6602212584935551
12,scincl,title,scincl,title_abstract,input,1000,0.6069989120075383,0.7205531331193824
12,scibert,title,bert,title,model,1000,0.5353576039355894,0.5723291267908223
12,scibert,title,mpnet,title,model,1000,0.3994158456830448,0.38657132450142767
12,scibert,title,minilm,title,model,1000,0.3921141341198989,0.37959298170848205
12,scibert,title,pubmedbert,title,model,1000,0.5980070350390744,0.671716938773293
12,scibert,title,biobert,title,model,1000,0.41883541679444874,0.5375703304709258
12,scibert,title,simcse,title,model,1000,0.3875446149089388,0.2980921055307292
12,scibert,title,scibert,abstract,input,1000,0.2991258869208855,0.3068393634890967
12,scibert,title,scibert,title_abstract,input,1000,0.3431741117522929,0.33984735719161896
12,bert,title,mpnet,title,model,1000,0.5087070630945657,0.4020741512686856
12,bert,title,minilm,title,model,1000,0.47943721826837,0.39282071366055193
12,bert,title,pubmedbert,title,model,1000,0.5634543285080198,0.6940306922245766
12,bert,title,biobert,title,model,1000,0.4254940226718561,0.5771930139404802
12,bert,title,simcse,title,model,1000,0.5617852597030472,0.5391701427519245
12,bert,title,bert,abstract,input,1000,0.3735224558382385,0.35424289820910626
12,bert,title,bert,title_abstract,input,1000,0.41984665063077214,0.3986322185405805
12,mpnet,title,minilm,title,model,1000,0.7465041470192875,0.7882095959665233
12,mpnet,title,pubmedbert,title,model,1000,0.3831242362713707,0.33779683648349235
12,mpnet,title,biobert,title,model,1000,0.26870471157271353,0.2658824520632048
12,mpnet,title,simcse,title,model,1000,0.5013758580078186,0.39437224920643277
12,mpnet,title,mpnet,abstract,input,1000,0.6458900286034464,0.6680882061232258
12,mpnet,title,mpnet,title_abstract,input,1000,0.7228002242625463,0.7155618306219073
12,minilm,title,pubmedbert,title,model,1000,0.3936629623472582,0.34642721100056745
12,minilm,title,biobert,title,model,1000,0.276938749710797,0.28410073123875274
12,minilm,title,simcse,title,model,1000,0.49269007572193635,0.4147496389833713
12,minilm,title,minilm,abstract,input,1000,0.567379881763306,0.6284134181525313
12,minilm,title,minilm,title_abstract,input,1000,0.6629789607322903,0.6967433910708587
12,pubmedbert,title,biobert,title,model,1000,0.47217542879140817,0.6406719495491826
12,pubmedbert,title,simcse,title,model,1000,0.40217347823485156,0.3782060427710152
12,pubmedbert,title,pubmedbert,abstract,input,1000,0.2785502338587095,0.30218808130896896
12,pubmedbert,title,pubmedbert,title_abstract,input,1000,0.32777673161870424,0.341535135238836
12,biobert,title,simcse,title,model,1000,0.29171655103411775,0.3324015770550038
