field_id,metric,model,input_condition,model_change_at_full,input_change_from_full,model_minus_input
12,neighbors25,pubmedbert,abstract,0.695231111111111,0.17855999999999994,0.5166711111111111
12,neighbors25,biobert,title,0.6846933333333333,0.86304,-0.17834666666666676
12,neighbors25,biobert,abstract,0.6846933333333333,0.18656000000000006,0.4981333333333332
12,neighbors25,simcse,title,0.7114444444444445,0.81368,-0.10223555555555541
12,neighbors25,simcse,abstract,0.7114444444444445,0.19924000000000008,0.5122044444444445
13,cka,specter,title,0.3856432788872373,0.17310557868213905,0.21253770020509827
13,cka,specter,abstract,0.3856432788872373,0.04072179782294694,0.3449214810642904
13,cka,specter2,title,0.4313879481802684,0.19478267632537138,0.236605271854897
13,cka,specter2,abstract,0.4313879481802684,0.04295056319594881,0.38843738498431957
13,cka,scincl,title,0.3776492261715269,0.16642490021222844,0.21122432595929846
13,cka,scincl,abstract,0.3776492261715269,0.02648803807914113,0.3511611880923858
13,cka,scibert,title,0.3781633600322249,0.5267719172753289,-0.148608557243104
13,cka,scibert,abstract,0.3781633600322249,0.013598118275182536,0.36456524175704236
13,cka,bert,title,0.3994914938671104,0.35394890454280215,0.04554258932430827
13,cka,bert,abstract,0.3994914938671104,0.010489793731863206,0.3890017001352472
13,cka,mpnet,title,0.3880488106725368,0.19466311907608846,0.19338569159644836
13,cka,mpnet,abstract,0.3880488106725368,0.02054777150533793,0.3675010391671989
13,cka,minilm,title,0.40345086326356744,0.2493699266323407,0.15408093663122674
13,cka,minilm,abstract,0.40345086326356744,0.03386522009892601,0.36958564316464143
13,cka,pubmedbert,title,0.4074695993087078,0.4713718382438793,-0.0639022389351715
13,cka,pubmedbert,abstract,0.4074695993087078,0.012151083396929607,0.3953185159117782
13,cka,biobert,title,0.37073315251700145,0.6097138235130888,-0.23898067099608733
13,cka,biobert,abstract,0.37073315251700145,0.016797726653184353,0.3539354258638171
13,cka,simcse,title,0.46695895127493714,0.4841836660752795,-0.017224714800342378
13,cka,simcse,abstract,0.46695895127493714,0.032692161193032976,0.43426679008190416
13,rsa,specter,title,0.49753939350051557,0.21487720954969614,0.28266218395081943
13,rsa,specter,abstract,0.49753939350051557,0.04864670359211598,0.4488926899083996
13,rsa,specter2,title,0.5658384629929301,0.23017717890544587,0.3356612840874842
13,rsa,specter2,abstract,0.5658384629929301,0.05388348872220583,0.5119549742707242
13,rsa,scincl,title,0.4987973671414933,0.2019030589462617,0.2968943081952316
13,rsa,scincl,abstract,0.4987973671414933,0.030780102102448414,0.4680172650390449
13,rsa,scibert,title,0.44085889314364757,0.6359388243523466,-0.19507993120869904
13,rsa,scibert,abstract,0.44085889314364757,0.012528797491322519,0.42833009565232505
13,rsa,bert,title,0.4269927943913152,0.3354485574571213,0.09154423693419389
13,rsa,bert,abstract,0.4269927943913152,0.008242161812609505,0.4187506325787057
13,rsa,mpnet,title,0.44724795763428676,0.20513965944284418,0.24210829819144258
13,rsa,mpnet,abstract,0.44724795763428676,0.020134411899834004,0.42711354573445276
13,rsa,minilm,title,0.4447513196002117,0.25252209203380505,0.19222922756640665
