field_id,model,input_condition,effect_full1000,median_effect500,absolute_median_change,central95_width500,passes_operational_screen
19,scibert,title,-0.14850357974587064,-0.14783569091674154,0.0006678888291291041,0.03111552518036098,True
19,scibert,abstract,0.29955285289018524,0.3010547584055212,0.0015019055153359662,0.03225923124381158,True
19,bert,title,-0.07231074735992593,-0.07140421001373337,0.0009065373461925597,0.028550138095847576,True
19,bert,abstract,0.27474132660934303,0.2732088549021505,0.0015324717071925065,0.027307654421639516,True
19,mpnet,title,0.1398553650915747,0.14430871704490028,0.004453351953325579,0.022542234043712084,True
19,mpnet,abstract,0.29920450181929004,0.3006572406146052,0.001452738795315156,0.02300901527284621,True
19,minilm,title,0.08208394331620111,0.08538271494984401,0.003298771633642894,0.025061265624709395,True
19,minilm,abstract,0.29668492512078853,0.298324432600498,0.0016395074797094789,0.02492016752992915,True
19,pubmedbert,title,-0.11621652233460705,-0.11193195764312533,0.004284564691481724,0.0358739897049901,True
19,pubmedbert,abstract,0.2995665856138325,0.2969511852906186,0.00261540032321389,0.037402197538781434,True
19,biobert,title,-0.3030873167208959,-0.3013541305363015,0.001733186184594393,0.024585726875830216,True
19,biobert,abstract,0.30156991209722733,0.30055952090637683,0.0010103911908505014,0.05098701150410123,False
19,simcse,title,-0.09480758686940566,-0.09441693195628084,0.00039065491312481604,0.022569497538803773,True
19,simcse,abstract,0.3427000412962415,0.3435268204156014,0.0008267791193599106,0.025133226018226984,True
19,mean_of_ten_fixed_models,title,-0.01760873231733674,-0.014882748801522332,0.0027259835158144063,0.015630199285304326,True
19,mean_of_ten_fixed_models,abstract,0.29550409117620535,0.2967110287398652,0.00120693756365986,0.028890998759595832,True
20,specter,title,0.14342462397506006,0.13820879290084387,0.005215831074216193,0.0302692247594063,True
20,specter,abstract,0.3766575762762563,0.37473531616020594,0.001922260116050345,0.02490449213325635,True
20,specter2,title,0.14008892451692712,0.13952327232943493,0.0005656521874921883,0.03251008590646709,True
20,specter2,abstract,0.3344540218933254,0.3313280463915461,0.003125975501779288,0.02659279818666288,True
20,scincl,title,0.11536977078688837,0.11235760753164781,0.003012163255240563,0.036310560897419075,True
20,scincl,abstract,0.36585375238999174,0.36668409055279844,0.0008303381628066986,0.020178939068178137,True
20,scibert,title,-0.20542057778598988,-0.20402880199281337,0.0013917757931765085,0.03361079598791489,True
20,scibert,abstract,0.3784227268402428,0.3798056322253034,0.0013829053850605844,0.022322659940216094,True
20,bert,title,-0.18330221626152526,-0.1839150914839985,0.000612875222473247,0.032181431126931864,True
