field_id,k,model_a,input_a,model_b,input_b,kind,mean_overlap,chance_adjusted
11,25,scibert,title,pubmedbert,title,model,0.37892000000000003,0.362978521560575
11,25,scibert,title,biobert,title,model,0.25920000000000004,0.2401856262833676
11,25,scibert,title,simcse,title,model,0.18996,0.16916841889117043
11,25,scibert,title,scibert,abstract,input,0.17956,0.15850147843942505
11,25,scibert,title,scibert,title_abstract,input,0.2014,0.18090205338809034
11,25,bert,title,mpnet,title,model,0.25952000000000003,0.240513839835729
11,25,bert,title,minilm,title,model,0.25204,0.23284184804928132
11,25,bert,title,pubmedbert,title,model,0.33804,0.3210492402464066
11,25,bert,title,biobert,title,model,0.26252,0.24359084188911703
11,25,bert,title,simcse,title,model,0.32604,0.3087412320328542
11,25,bert,title,bert,abstract,input,0.20007999999999998,0.1795481724845996
11,25,bert,title,bert,title_abstract,input,0.2298,0.2100310061601643
11,25,mpnet,title,minilm,title,model,0.50964,0.4970537577002053
11,25,mpnet,title,pubmedbert,title,model,0.28292,0.26451445585215605
11,25,mpnet,title,biobert,title,model,0.21644,0.19632809034907597
11,25,mpnet,title,simcse,title,model,0.24276,0.22332365503080084
11,25,mpnet,title,mpnet,abstract,input,0.46724,0.45356546201232034
11,25,mpnet,title,mpnet,title_abstract,input,0.53916,0.5273314579055441
11,25,minilm,title,pubmedbert,title,model,0.25572,0.23661630390143737
11,25,minilm,title,biobert,title,model,0.1974,0.1767993839835729
11,25,minilm,title,simcse,title,model,0.24528,0.2259083367556468
11,25,minilm,title,minilm,abstract,input,0.38264000000000004,0.3667940041067762
11,25,minilm,title,minilm,title_abstract,input,0.45640000000000003,0.44244722792607805
11,25,pubmedbert,title,biobert,title,model,0.32108,0.30365392197125257
11,25,pubmedbert,title,simcse,title,model,0.22648,0.20662579055441477
11,25,pubmedbert,title,pubmedbert,abstract,input,0.21396,0.19378443531827516
11,25,pubmedbert,title,pubmedbert,title_abstract,input,0.24251999999999999,0.22307749486652978
11,25,biobert,title,simcse,title,model,0.18724,0.16637860369609855
11,25,biobert,title,biobert,abstract,input,0.17187999999999998,0.15062435318275152
11,25,biobert,title,biobert,title_abstract,input,0.21164000000000002,0.19140488706365505
11,25,simcse,title,simcse,abstract,input,0.17620000000000002,0.15505523613963043
11,25,simcse,title,simcse,title_abstract,input,0.20264,0.18217388090349076
11,25,specter,abstract,specter2,abstract,model,0.41052,0.3953896098562628
11,25,specter,abstract,scincl,abstract,model,0.5233599999999999,0.5111259137577001
11,25,specter,abstract,scibert,abstract,model,0.31648,0.2989358521560575
11,25,specter,abstract,bert,abstract,model,0.28912,0.2708735934291581
11,25,specter,abstract,mpnet,abstract,model,0.46848,0.45483728952772073
11,25,specter,abstract,minilm,abstract,model,0.42292,0.40810788501026696
11,25,specter,abstract,pubmedbert,abstract,model,0.29896,0.28096616016427106
11,25,specter,abstract,biobert,abstract,model,0.3118,0.2941357289527721
11,25,specter,abstract,simcse,abstract,model,0.26136,0.24240106776180698
11,25,specter,abstract,specter,title_abstract,input,0.72944,0.7224954414784394
11,25,specter2,abstract,scincl,abstract,model,0.44772,0.4335444353182752
11,25,specter2,abstract,scibert,abstract,model,0.26908,0.2503192197125257
