outcome,field_id,biomedical_models_in_pair,model_pairs,mean
procrustes_similarity_primary,33,1,16,0.6291981012985288
procrustes_similarity_primary,33,2,1,0.811433463675051
procrustes_similarity_primary,34,0,28,0.6774366565721176
procrustes_similarity_primary,34,1,16,0.6748370661181429
procrustes_similarity_primary,34,2,1,0.8389819143524401
procrustes_similarity_primary,35,0,28,0.6717513469356771
procrustes_similarity_primary,35,1,16,0.6719151827081948
procrustes_similarity_primary,35,2,1,0.8386966708236452
procrustes_similarity_primary,36,0,28,0.6735801323609898
procrustes_similarity_primary,36,1,16,0.6652015871520663
procrustes_similarity_primary,36,2,1,0.8433747140479422
cka_raw,11,0,28,0.6181078393397517
cka_raw,11,1,16,0.5685269146027041
cka_raw,11,2,1,0.8354483792464279
cka_raw,12,0,28,0.5858013938749151
cka_raw,12,1,16,0.5294288600315976
cka_raw,12,2,1,0.8150273184507941
cka_raw,13,0,28,0.6005785059488119
cka_raw,13,1,16,0.584718900410666
cka_raw,13,2,1,0.8426992024296908
cka_raw,14,0,28,0.5936586018184231
cka_raw,14,1,16,0.5147452949288794
cka_raw,14,2,1,0.814889875474719
cka_raw,15,0,28,0.7024883623185666
cka_raw,15,1,16,0.6731469862596025
cka_raw,15,2,1,0.872058612274645
cka_raw,16,0,28,0.6593893215914625
cka_raw,16,1,16,0.6676052466865802
cka_raw,16,2,1,0.8855285658547725
cka_raw,17,0,28,0.6266316534451418
cka_raw,17,1,16,0.5854793337659283
cka_raw,17,2,1,0.8583102806815315
cka_raw,18,0,28,0.6277716173379307
cka_raw,18,1,16,0.5877976197284875
cka_raw,18,2,1,0.844777802340087
cka_raw,19,0,28,0.6721638421091173
cka_raw,19,1,16,0.636387812539021
cka_raw,19,2,1,0.8529670539288647
cka_raw,20,0,28,0.6141515893824393
cka_raw,20,1,16,0.513818773534459
cka_raw,20,2,1,0.8124850581211606
cka_raw,21,0,28,0.777984767808673
cka_raw,21,1,16,0.7616540743454565
cka_raw,21,2,1,0.9082431707235056
cka_raw,22,0,28,0.6185298474454176
cka_raw,22,1,16,0.5915545340619496
cka_raw,22,2,1,0.846093296922432
cka_raw,23,0,28,0.6475453232141605
cka_raw,23,1,16,0.5947061678866007
cka_raw,23,2,1,0.8362863916947332
cka_raw,24,0,28,0.6349980967391344
cka_raw,24,1,16,0.6169147890339445
cka_raw,24,2,1,0.8553536725060056
cka_raw,25,0,28,0.6156705617811206
cka_raw,25,1,16,0.6163081756452229
cka_raw,25,2,1,0.848664874535306
cka_raw,26,0,28,0.6780793656118448
cka_raw,26,1,16,0.6119396864517421
cka_raw,26,2,1,0.8829489393851053
cka_raw,27,0,28,0.5602506857725112
cka_raw,27,1,16,0.4971918424802865
cka_raw,27,2,1,0.8219299955623096
cka_raw,28,0,28,0.6458855353463957
cka_raw,28,1,16,0.6343811052216515
cka_raw,28,2,1,0.8554420013146136
cka_raw,29,0,28,0.6702894873877675
cka_raw,29,1,16,0.6175906022629635
cka_raw,29,2,1,0.8548189128843748
cka_raw,30,0,28,0.6389367836619625
cka_raw,30,1,16,0.6187575555193767
cka_raw,30,2,1,0.8605635712674106
cka_raw,31,0,28,0.6568776678519335
cka_raw,31,1,16,0.643126602139465
cka_raw,31,2,1,0.8744700950977432
cka_raw,32,0,28,0.6132453702072821
cka_raw,32,1,16,0.5579141795617877
cka_raw,32,2,1,0.8525768596783367
cka_raw,33,0,28,0.6051928522037554
cka_raw,33,1,16,0.5573521392896161
cka_raw,33,2,1,0.8282583759890413
cka_raw,34,0,28,0.6273117071320325
cka_raw,34,1,16,0.5729871165362435
cka_raw,34,2,1,0.844457860204988
cka_raw,35,0,28,0.6337477190531994
cka_raw,35,1,16,0.5899083525883042
cka_raw,35,2,1,0.8473702455831
cka_raw,36,0,28,0.5843510193195739
cka_raw,36,1,16,0.5322579728015868
cka_raw,36,2,1,0.8501767622870103
cka_cls,11,0,28,0.5516688524898489
cka_cls,11,1,16,0.4742049990208468
cka_cls,11,2,1,0.6871384869457271
cka_cls,12,0,28,0.5256343340352585
cka_cls,12,1,16,0.46961052978153384
cka_cls,12,2,1,0.7013052326134686
cka_cls,13,0,28,0.5315557179950197
cka_cls,13,1,16,0.47099747983589885
cka_cls,13,2,1,0.6978799485918368
cka_cls,14,0,28,0.525638257633679
cka_cls,14,1,16,0.4269434999427666
cka_cls,14,2,1,0.69489234736295
cka_cls,15,0,28,0.6131315497222755
cka_cls,15,1,16,0.5101548511085736
cka_cls,15,2,1,0.7136766593942662
cka_cls,16,0,28,0.600504601130392
cka_cls,16,1,16,0.5765548429371958
cka_cls,16,2,1,0.7602218613019354
cka_cls,17,0,28,0.5605166190310136
cka_cls,17,1,16,0.4923687073319878
cka_cls,17,2,1,0.7706981230519525
cka_cls,18,0,28,0.5633879142357076
cka_cls,18,1,16,0.48878024173041673
cka_cls,18,2,1,0.7299522672465801
cka_cls,19,0,28,0.5926553166103388
cka_cls,19,1,16,0.5275818752158863
cka_cls,19,2,1,0.7154799610107226
cka_cls,20,0,28,0.5493334222880725
cka_cls,20,1,16,0.4563456193416184
cka_cls,20,2,1,0.71010553396606
cka_cls,21,0,28,0.7076872849473644
cka_cls,21,1,16,0.6582370047938044
cka_cls,21,2,1,0.8129858615525423
cka_cls,22,0,28,0.5378220797390225
cka_cls,22,1,16,0.4742330704007961
cka_cls,22,2,1,0.7356189187782377
cka_cls,23,0,28,0.578159860703581
cka_cls,23,1,16,0.5110241106507092
cka_cls,23,2,1,0.7168248218165896
cka_cls,24,0,28,0.5510175686033902
cka_cls,24,1,16,0.4761565268345791
cka_cls,24,2,1,0.6884072801606427
cka_cls,25,0,28,0.5340408936779416
cka_cls,25,1,16,0.4758675455011215
cka_cls,25,2,1,0.7106314367856731
cka_cls,26,0,28,0.6338657176265138
cka_cls,26,1,16,0.5526354832815507
cka_cls,26,2,1,0.7633136275243464
cka_cls,27,0,28,0.48719715578134837
cka_cls,27,1,16,0.40585862457340904
cka_cls,27,2,1,0.6646080743538483
cka_cls,28,0,28,0.5605523378663089
cka_cls,28,1,16,0.49987141560131254
cka_cls,28,2,1,0.6832109956153836
cka_cls,29,0,28,0.6006678363930767
cka_cls,29,1,16,0.505332796077461
cka_cls,29,2,1,0.6829558504825322
cka_cls,30,0,28,0.5755934657393101
cka_cls,30,1,16,0.5189600590879843
cka_cls,30,2,1,0.7392122015866059
cka_cls,31,0,28,0.5785579932093159
cka_cls,31,1,16,0.542173970265743
cka_cls,31,2,1,0.7506971919730523
cka_cls,32,0,28,0.5415730045495296
cka_cls,32,1,16,0.46301528715872114
cka_cls,32,2,1,0.703725108042289
cka_cls,33,0,28,0.5435369398137786
cka_cls,33,1,16,0.48818854087220265
cka_cls,33,2,1,0.7136648967584405
cka_cls,34,0,28,0.5394343635534463
cka_cls,34,1,16,0.4571795073225997
cka_cls,34,2,1,0.6749365081927489
cka_cls,35,0,28,0.532378293843188
cka_cls,35,1,16,0.4430753431135907
cka_cls,35,2,1,0.6835864352764257
cka_cls,36,0,28,0.5154291672581036
cka_cls,36,1,16,0.4441203554683517
