outcome,field_id,period_start,mean,median
rsa_spearman_primary,34,2005,0.5036375361484277,0.40655919304589755
rsa_spearman_primary,34,2010,0.5097229563113053,0.4161320926139555
rsa_spearman_primary,34,2015,0.504711622481713,0.40305504857514085
rsa_spearman_primary,34,2020,0.5379454225510306,0.45533364276433785
rsa_spearman_primary,35,2000,0.5704797718645993,0.5048475072321174
rsa_spearman_primary,35,2005,0.5781709031979946,0.5143526687328797
rsa_spearman_primary,35,2010,0.5470190747664809,0.4585712450524301
rsa_spearman_primary,35,2015,0.5570656869021159,0.46726014901685475
rsa_spearman_primary,35,2020,0.564626033295932,0.49132461017530915
rsa_spearman_primary,36,2000,0.4781160262707907,0.4037037596157622
rsa_spearman_primary,36,2005,0.483512392255414,0.39394966686537386
rsa_spearman_primary,36,2010,0.4903492823721065,0.39965236675363297
rsa_spearman_primary,36,2015,0.4970185384674793,0.4220037155075089
rsa_spearman_primary,36,2020,0.5238426406324399,0.4478932496842319
procrustes_similarity_primary,11,2000,0.6678320629100772,0.6494907746937169
procrustes_similarity_primary,11,2005,0.6634312874151286,0.6460550697087684
procrustes_similarity_primary,11,2010,0.6487040635632277,0.6302869863854761
procrustes_similarity_primary,11,2015,0.658824037268508,0.645482939527632
procrustes_similarity_primary,11,2020,0.6518178081336294,0.6358681293768725
procrustes_similarity_primary,12,2000,0.6355371361364534,0.6015898256251168
procrustes_similarity_primary,12,2005,0.6403355460938835,0.6084237401575204
procrustes_similarity_primary,12,2010,0.6458825913978884,0.6110083163765377
procrustes_similarity_primary,12,2015,0.6383974526106567,0.603627505811151
procrustes_similarity_primary,12,2020,0.6426503244979731,0.6101229426455849
procrustes_similarity_primary,13,2000,0.6545023296595527,0.6470107582268358
procrustes_similarity_primary,13,2005,0.6432710574740576,0.6371705198732045
procrustes_similarity_primary,13,2010,0.6426303180678037,0.6315456564378046
procrustes_similarity_primary,13,2015,0.6457044750634611,0.6307362506874679
procrustes_similarity_primary,13,2020,0.6482181019202115,0.6383353270277684
procrustes_similarity_primary,14,2000,0.6654001415927735,0.6373935061240198
procrustes_similarity_primary,14,2005,0.6656168436919133,0.6362667350059273
procrustes_similarity_primary,14,2010,0.6643844318690907,0.6369527552089943
procrustes_similarity_primary,14,2015,0.659873428329295,0.6284903341903513
procrustes_similarity_primary,14,2020,0.6523110203419431,0.6194477987032838
procrustes_similarity_primary,15,2000,0.6810312481325642,0.660958699398234
procrustes_similarity_primary,15,2005,0.6843859582825054,0.6637513516882654
procrustes_similarity_primary,15,2010,0.6862241200501651,0.667193527552596
procrustes_similarity_primary,15,2015,0.6922079117839701,0.6752270044765571
procrustes_similarity_primary,15,2020,0.6917881465261386,0.6762103860873732
procrustes_similarity_primary,16,2000,0.65535986572881,0.6304996869229114
procrustes_similarity_primary,16,2005,0.6628598270817414,0.6393898918110612
procrustes_similarity_primary,16,2010,0.6641831709780714,0.6440333781422157
procrustes_similarity_primary,16,2015,0.6637387671509603,0.6423514871154947
procrustes_similarity_primary,16,2020,0.6723116853283357,0.6545088951442335
procrustes_similarity_primary,17,2000,0.6545471857554807,0.6367748142840176
procrustes_similarity_primary,17,2005,0.6439126067277171,0.6262006131977724
procrustes_similarity_primary,17,2010,0.6393810562967078,0.6201973357910154
procrustes_similarity_primary,17,2015,0.6421635571220689,0.6184643471698509
procrustes_similarity_primary,17,2020,0.6434971745219207,0.6154231214223718
procrustes_similarity_primary,18,2000,0.6751402632945973,0.6337984268808008
procrustes_similarity_primary,18,2005,0.6733673912983488,0.6336408587402893
procrustes_similarity_primary,18,2010,0.6735428830720783,0.6354464455774586
procrustes_similarity_primary,18,2015,0.6775578121273312,0.6418990200713571
procrustes_similarity_primary,18,2020,0.6807199092300016,0.6458048868423583
procrustes_similarity_primary,19,2000,0.6813307156100359,0.664008165943759
procrustes_similarity_primary,19,2005,0.6857973856087761,0.6691060136757909
procrustes_similarity_primary,19,2010,0.6868495040246817,0.6692138402861622
procrustes_similarity_primary,19,2015,0.6881109553027216,0.6739386230985204
procrustes_similarity_primary,19,2020,0.6944652833427502,0.6825199737281978
procrustes_similarity_primary,20,2000,0.6686202922887081,0.637477832199462
procrustes_similarity_primary,20,2005,0.670710787351815,0.639748439447503
procrustes_similarity_primary,20,2010,0.6718080896237935,0.642452880493846
procrustes_similarity_primary,20,2015,0.6703144303140451,0.6439916488510037
procrustes_similarity_primary,20,2020,0.6668943368544163,0.640395338784471
procrustes_similarity_primary,21,2000,0.6970212704446348,0.6742712694030041
procrustes_similarity_primary,21,2005,0.7046061475400602,0.6815694236166264
procrustes_similarity_primary,21,2010,0.708096122590124,0.6887393688320906
procrustes_similarity_primary,21,2015,0.7123279079128202,0.6935433179544
procrustes_similarity_primary,21,2020,0.7120299928674061,0.6958717777964744
procrustes_similarity_primary,22,2000,0.6333550578186765,0.5981581720760218
procrustes_similarity_primary,22,2005,0.6288898619072247,0.5942992913346881
procrustes_similarity_primary,22,2010,0.6285463365995774,0.598118216609014
procrustes_similarity_primary,22,2015,0.6363337655302215,0.614755439082286
procrustes_similarity_primary,22,2020,0.6425825289568167,0.6256691773644731
procrustes_similarity_primary,23,2000,0.6815097525514864,0.6568819412148564
procrustes_similarity_primary,23,2005,0.6763017684872973,0.6503943061565052
procrustes_similarity_primary,23,2010,0.6679534776061994,0.6373406411231579
procrustes_similarity_primary,23,2015,0.6695064760573122,0.6432594693495037
procrustes_similarity_primary,23,2020,0.6653226507836596,0.6439764377289007
procrustes_similarity_primary,24,2000,0.6660073898398569,0.6487862136482875
procrustes_similarity_primary,24,2005,0.6659262950911206,0.6489795632934192
procrustes_similarity_primary,24,2010,0.6698920919504061,0.6534061957914817
procrustes_similarity_primary,24,2015,0.6737012547742472,0.6587598701900341
procrustes_similarity_primary,24,2020,0.6765092663539732,0.6620452671441998
