metric,model,field_a,field_b,field_a_name,field_b_name,value_a,value_b,raw_difference_b_minus_a,relative_difference_primary,relative_min,relative_max,relative_q05,relative_q95,half_min,half_max,external_min,external_max,positive_repetitions,negative_repetitions,direction,direction_and_alternatives,direction_minimum_0,direction_minimum_0.01,direction_minimum_0.05,direction_minimum_0.1
angle_p50,bert,19,32,Earth and Planetary Sciences,Psychology,34.02511858525433,32.5403900391658,-1.484728546088533,-0.04460954559712769,-0.057213475789302456,-0.03614732950280502,-0.05446525554312781,-0.037216817710484476,-0.057213475789302456,-0.03614732950280502,-0.050796980380533305,-0.03682315122147906,0,25,-1,-1,-1,-1,0,0
angle_p50,mpnet,19,32,Earth and Planetary Sciences,Psychology,81.56436340424379,82.15803961680409,0.5936762125602968,0.0072522294030093705,0.004027237470594272,0.013277171625300262,0.00429393859137209,0.010848948405258914,0.004027237470594272,0.013277171625300262,0.004277718079917843,0.006868544866631739,25,0,1,0,1,0,0,0
angle_p50,minilm,19,32,Earth and Planetary Sciences,Psychology,81.92059660954315,83.23905092263203,1.3184543130888784,0.01596581650287219,0.011639692813304963,0.020451375803181418,0.012072475745664803,0.018493212794947783,0.011639692813304963,0.020451375803181418,0.01201990664726033,0.015381663039959196,25,0,1,0,1,1,0,0
angle_p50,pubmedbert,19,32,Earth and Planetary Sciences,Psychology,9.876489559974075,10.102934497493456,0.22644493751938022,0.02266781433419187,0.012491390795478634,0.02974250556962299,0.015791516598870136,0.02703132726743506,0.012491390795478634,0.02974250556962299,0.01649023035825254,0.02469330113800301,25,0,1,1,1,1,0,0
angle_p50,biobert,19,32,Earth and Planetary Sciences,Psychology,22.71279333364785,23.490383915662992,0.7775905820151436,0.033659615130764285,0.020815313143187106,0.044018519440197454,0.024158834875284523,0.038649547500362556,0.020815313143187106,0.044018519440197454,0.024098559881743743,0.0345768669292032,25,0,1,0,1,1,0,0
angle_p50,simcse,19,32,Earth and Planetary Sciences,Psychology,54.75655598129473,55.23197114687129,0.47541516557655683,0.00864481374539312,-0.002266886588596012,0.01488288588242113,-0.0005712518941222891,0.01444066358624876,-0.002266886588596012,0.01488288588242113,0.007627998192791679,0.01438466695616691,23,2,0,0,0,0,0,0
angle_p50,specter,19,33,Earth and Planetary Sciences,Social Sciences,51.83272783277276,52.32361602302752,0.4908881902547577,0.009425987358664779,0.0038210180540987518,0.016940945526091968,0.004738642941329422,0.015753631859355913,0.0038210180540987518,0.016940945526091968,0.004546448714880078,0.009805350833396478,25,0,1,1,1,0,0,0
angle_p50,specter2,19,33,Earth and Planetary Sciences,Social Sciences,35.535676368443816,34.23525298026452,-1.300423388179297,-0.037276940419695634,-0.04011341622346406,-0.03251502790699408,-0.03916451399329203,-0.03295693972216449,-0.04011341622346406,-0.032939829715987516,-0.03588981858447462,-0.03251502790699408,0,25,-1,-1,-1,-1,0,0
angle_p50,scincl,19,33,Earth and Planetary Sciences,Social Sciences,40.04006257472259,42.2077990111278,2.1677364364052067,0.05271228685119118,0.04814912480840264,0.059181771721538295,0.04918566763542043,0.05745504835152677,0.048926713582764694,0.059181771721538295,0.04814912480840264,0.05545289162006726,25,0,1,1,1,1,0,0
angle_p50,scibert,19,33,Earth and Planetary Sciences,Social Sciences,34.52336928266875,35.13069695578315,0.6073276731143977,0.01743839824182807,0.009170033235428945,0.024819391550022888,0.009982171836157596,0.02085326028080403,0.01052596965330717,0.024819391550022888,0.009170033235428945,0.014159070593131364,25,0,1,1,1,0,0,0
