metric,field_a,field_b,field_a_name,field_b_name,class,positive_count,negative_count,unresolved_count,positive_models,negative_models,unresolved_models,opposing_model_pairs,total_model_pairs,primary_point_class,minimum5pct_class,all_alternatives_class,median_absolute_primary_relative_difference,minimum_primary_relative_difference,maximum_primary_relative_difference
angle_p50,14,20,"Business, Management and Accounting","Economics, Econometrics and Finance",contradiction,8,1,1,specter2|scibert|bert|mpnet|minilm|pubmedbert|biobert|simcse,scincl,specter,8,45,contradiction,unresolved,contradiction,0.02159488678407144,-0.0303598055693202,0.037369140011197816
angle_p50,14,21,"Business, Management and Accounting",Energy,contradiction,7,1,2,specter|specter2|scibert|bert|mpnet|minilm|pubmedbert,simcse,scincl|biobert,7,45,contradiction,unresolved,unresolved,0.026605520124246863,-0.01481943797319681,0.05484930531903307
angle_p50,14,22,"Business, Management and Accounting",Engineering,contradiction,7,1,2,specter|specter2|scincl|scibert|mpnet|minilm|pubmedbert,simcse,bert|biobert,7,45,contradiction,unresolved,contradiction,0.04590931470353883,-0.025159762643070238,0.1041319922757963
angle_p50,14,23,"Business, Management and Accounting",Environmental Science,unresolved,8,0,2,specter|specter2|scibert|bert|mpnet|minilm|pubmedbert|simcse,,scincl|biobert,0,45,contradiction,unresolved,unresolved,0.029385409258174067,-0.004358079352364439,0.05916078149950691
angle_p50,14,24,"Business, Management and Accounting",Immunology and Microbiology,contradiction,3,5,2,specter|specter2|scibert,scincl|bert|minilm|biobert|simcse,mpnet|pubmedbert,15,45,contradiction,contradiction,contradiction,0.02490719818409768,-0.12708348642987896,0.056612056950047944
angle_p50,14,25,"Business, Management and Accounting",Materials Science,contradiction,3,6,1,specter2|mpnet|minilm,specter|scincl|scibert|bert|biobert|simcse,pubmedbert,18,45,contradiction,unresolved,contradiction,0.03935585967560058,-0.11775161175348021,0.04736485794798445
angle_p50,14,26,"Business, Management and Accounting",Mathematics,contradiction,8,2,0,specter2|scincl|scibert|bert|mpnet|minilm|pubmedbert|biobert,specter|simcse,,16,45,contradiction,contradiction,contradiction,0.04984258944738386,-0.07294519223344097,0.07442811762733993
angle_p50,14,27,"Business, Management and Accounting",Medicine,contradiction,7,3,0,specter|specter2|scincl|scibert|mpnet|minilm|pubmedbert,bert|biobert|simcse,,21,45,contradiction,contradiction,contradiction,0.05650928634427152,-0.09462939668425215,0.11529892482187482
angle_p50,14,28,"Business, Management and Accounting",Neuroscience,contradiction,7,3,0,specter|specter2|scincl|scibert|mpnet|minilm|pubmedbert,bert|biobert|simcse,,21,45,contradiction,contradiction,contradiction,0.03812606756181692,-0.08446430165977518,0.0678308685889033
angle_p50,14,29,"Business, Management and Accounting",Nursing,contradiction,6,2,2,specter|specter2|scibert|mpnet|minilm|pubmedbert,biobert|simcse,scincl|bert,12,45,contradiction,unresolved,unresolved,0.02076195303065269,-0.048092988598129105,0.07682279888991388
angle_p50,14,30,"Business, Management and Accounting","Pharmacology, Toxicology and Pharmaceutics",contradiction,4,5,1,specter|specter2|scibert|pubmedbert,scincl|bert|mpnet|minilm|simcse,biobert,20,45,contradiction,contradiction,contradiction,0.032809610938843936,-0.08012452912483235,0.06820715159064533
angle_p50,14,31,"Business, Management and Accounting",Physics and Astronomy,contradiction,5,3,2,specter2|scibert|mpnet|minilm|pubmedbert,scincl|bert|simcse,specter|biobert,15,45,contradiction,contradiction,contradiction,0.028378803153456436,-0.08706652580879522,0.09671502865794744
angle_p50,14,32,"Business, Management and Accounting",Psychology,contradiction,7,3,0,specter2|scincl|scibert|mpnet|minilm|pubmedbert|biobert,specter|bert|simcse,,21,45,contradiction,unresolved,unresolved,0.02086385760807462,-0.01981554029442665,0.05588114945638089
angle_p50,14,33,"Business, Management and Accounting",Social Sciences,unresolved,8,0,2,specter2|scibert|bert|mpnet|minilm|pubmedbert|biobert|simcse,,specter|scincl,0,45,contradiction,unresolved,unresolved,0.032488423811022085,-0.008579279988606634,0.09326087759103871
angle_p50,14,34,"Business, Management and Accounting",Veterinary,contradiction,2,6,2,specter|scibert,scincl|bert|mpnet|minilm|biobert|simcse,specter2|pubmedbert,12,45,contradiction,unresolved,contradiction,0.04317769853700962,-0.09785805472346282,0.04382396807115514
angle_p50,14,35,"Business, Management and Accounting",Dentistry,unanimous,0,10,0,,specter|specter2|scincl|scibert|bert|mpnet|minilm|pubmedbert|biobert|simcse,,0,45,unanimous,unresolved,unanimous,0.11862150205425132,-0.1664010451568567,-0.034065474017352326
angle_p50,14,36,"Business, Management and Accounting",Health Professions,unanimous,10,0,0,specter|specter2|scincl|scibert|bert|mpnet|minilm|pubmedbert|biobert|simcse,,,0,45,unanimous,unresolved,unresolved,0.025775307010313275,0.009546246515967452,0.05117709314156338
angle_p50,15,16,Chemical Engineering,Chemistry,contradiction,4,4,2,scibert|bert|pubmedbert|biobert,scincl|mpnet|minilm|simcse,specter|specter2,16,45,contradiction,unresolved,contradiction,0.030045521596547137,-0.05769732222737156,0.09042640930070892
angle_p50,15,17,Chemical Engineering,Computer Science,unanimous,10,0,0,specter|specter2|scincl|scibert|bert|mpnet|minilm|pubmedbert|biobert|simcse,,,0,45,unanimous,unresolved,unanimous,0.05632508310777285,0.0317328635258285,0.2107126904713195
angle_p50,15,18,Chemical Engineering,Decision Sciences,unresolved,8,0,2,scincl|scibert|bert|mpnet|minilm|pubmedbert|biobert|simcse,,specter|specter2,0,45,contradiction,unresolved,unresolved,0.04128967560092632,-0.0038893620507102883,0.12924954475680253
angle_p50,15,19,Chemical Engineering,Earth and Planetary Sciences,contradiction,7,2,1,specter2|scibert|bert|mpnet|pubmedbert|biobert|simcse,specter|minilm,scincl,14,45,contradiction,unresolved,unresolved,0.027740572732875817,-0.019995737892932342,0.08616498111098278
angle_p50,15,20,Chemical Engineering,"Economics, Econometrics and Finance",contradiction,8,2,0,scincl|scibert|bert|mpnet|minilm|pubmedbert|biobert|simcse,specter|specter2,,16,45,contradiction,unresolved,contradiction,0.03607720765754814,-0.02650721600361107,0.11249429400243983
