source,level,group,selection,recipe,metric_a,metric_b,pairs,spearman
field_period_native,field_period_native,19,2000,mean,procrustes_similarity,rsa_spearman,45,0.8231884057971014
field_period_native,field_period_native,19,2005,mean,cka_debiased,procrustes_similarity,45,0.9039525691699604
field_period_native,field_period_native,19,2005,mean,cka_debiased,rsa_spearman,45,0.8669301712779974
field_period_native,field_period_native,19,2005,mean,procrustes_similarity,rsa_spearman,45,0.7770750988142292
field_period_native,field_period_native,19,2010,mean,cka_debiased,procrustes_similarity,45,0.9028985507246375
field_period_native,field_period_native,19,2010,mean,cka_debiased,rsa_spearman,45,0.861528326745718
field_period_native,field_period_native,19,2010,mean,procrustes_similarity,rsa_spearman,45,0.7910408432147562
field_period_native,field_period_native,19,2015,mean,cka_debiased,procrustes_similarity,45,0.9119894598155466
field_period_native,field_period_native,19,2015,mean,cka_debiased,rsa_spearman,45,0.8877470355731225
field_period_native,field_period_native,19,2015,mean,procrustes_similarity,rsa_spearman,45,0.7868247694334649
field_period_native,field_period_native,19,2020,mean,cka_debiased,procrustes_similarity,45,0.9048748353096179
field_period_native,field_period_native,19,2020,mean,cka_debiased,rsa_spearman,45,0.8455862977602107
field_period_native,field_period_native,19,2020,mean,procrustes_similarity,rsa_spearman,45,0.8005270092226614
field_period_native,field_period_native,20,2000,mean,cka_debiased,procrustes_similarity,45,0.9451910408432147
field_period_native,field_period_native,20,2000,mean,cka_debiased,rsa_spearman,45,0.8565217391304346
field_period_native,field_period_native,20,2000,mean,procrustes_similarity,rsa_spearman,45,0.8372859025032937
field_period_native,field_period_native,20,2005,mean,cka_debiased,procrustes_similarity,45,0.9403162055335967
field_period_native,field_period_native,20,2005,mean,cka_debiased,rsa_spearman,45,0.8297760210803689
field_period_native,field_period_native,20,2005,mean,procrustes_similarity,rsa_spearman,45,0.8130434782608694
field_period_native,field_period_native,20,2010,mean,cka_debiased,procrustes_similarity,45,0.9508563899868246
field_period_native,field_period_native,20,2010,mean,cka_debiased,rsa_spearman,45,0.8602108036890646
field_period_native,field_period_native,20,2010,mean,procrustes_similarity,rsa_spearman,45,0.8334650856389986
field_period_native,field_period_native,20,2015,mean,cka_debiased,procrustes_similarity,45,0.9519104084321475
field_period_native,field_period_native,20,2015,mean,cka_debiased,rsa_spearman,45,0.9025032938076416
field_period_native,field_period_native,20,2015,mean,procrustes_similarity,rsa_spearman,45,0.8606060606060606
field_period_native,field_period_native,20,2020,mean,cka_debiased,procrustes_similarity,45,0.9434782608695651
field_period_native,field_period_native,20,2020,mean,cka_debiased,rsa_spearman,45,0.9021080368906454
field_period_native,field_period_native,20,2020,mean,procrustes_similarity,rsa_spearman,45,0.8570487483530961
field_period_native,field_period_native,21,2000,mean,cka_debiased,procrustes_similarity,45,0.8777338603425558
field_period_native,field_period_native,21,2000,mean,cka_debiased,rsa_spearman,45,0.8748353096179182
field_period_native,field_period_native,21,2000,mean,procrustes_similarity,rsa_spearman,45,0.7999999999999998
field_period_native,field_period_native,21,2005,mean,cka_debiased,procrustes_similarity,45,0.8662714097496705
field_period_native,field_period_native,21,2005,mean,cka_debiased,rsa_spearman,45,0.8974967061923582
field_period_native,field_period_native,21,2005,mean,procrustes_similarity,rsa_spearman,45,0.7840579710144926
field_period_native,field_period_native,21,2010,mean,cka_debiased,procrustes_similarity,45,0.8843214756258234
field_period_native,field_period_native,21,2010,mean,cka_debiased,rsa_spearman,45,0.9152832674571805
field_period_native,field_period_native,21,2010,mean,procrustes_similarity,rsa_spearman,45,0.8061923583662712
field_period_native,field_period_native,21,2015,mean,cka_debiased,procrustes_similarity,45,0.8691699604743083
field_period_native,field_period_native,21,2015,mean,cka_debiased,rsa_spearman,45,0.9065876152832675
field_period_native,field_period_native,21,2015,mean,procrustes_similarity,rsa_spearman,45,0.8143610013175229
field_period_native,field_period_native,21,2020,mean,cka_debiased,procrustes_similarity,45,0.8704874835309617
field_period_native,field_period_native,21,2020,mean,cka_debiased,rsa_spearman,45,0.9148880105401842
field_period_native,field_period_native,21,2020,mean,procrustes_similarity,rsa_spearman,45,0.8296442687747034
field_period_native,field_period_native,22,2000,mean,cka_debiased,procrustes_similarity,45,0.9036890645586297
field_period_native,field_period_native,22,2000,mean,cka_debiased,rsa_spearman,45,0.8696969696969696
field_period_native,field_period_native,22,2000,mean,procrustes_similarity,rsa_spearman,45,0.7938076416337286
field_period_native,field_period_native,22,2005,mean,cka_debiased,procrustes_similarity,45,0.8644268774703557
field_period_native,field_period_native,22,2005,mean,cka_debiased,rsa_spearman,45,0.8607378129117259
field_period_native,field_period_native,22,2005,mean,procrustes_similarity,rsa_spearman,45,0.8144927536231883
field_period_native,field_period_native,22,2010,mean,cka_debiased,procrustes_similarity,45,0.8457180500658761
field_period_native,field_period_native,22,2010,mean,cka_debiased,rsa_spearman,45,0.8486166007905138
field_period_native,field_period_native,22,2010,mean,procrustes_similarity,rsa_spearman,45,0.7988142292490118
field_period_native,field_period_native,22,2015,mean,cka_debiased,procrustes_similarity,45,0.909090909090909
field_period_native,field_period_native,22,2015,mean,cka_debiased,rsa_spearman,45,0.8707509881422923
field_period_native,field_period_native,22,2015,mean,procrustes_similarity,rsa_spearman,45,0.8140974967061924
field_period_native,field_period_native,22,2020,mean,cka_debiased,procrustes_similarity,45,0.8768115942028983
field_period_native,field_period_native,22,2020,mean,cka_debiased,rsa_spearman,45,0.8102766798418972
field_period_native,field_period_native,22,2020,mean,procrustes_similarity,rsa_spearman,45,0.7880105401844532
field_period_native,field_period_native,23,2000,mean,cka_debiased,procrustes_similarity,45,0.8555994729907772
field_period_native,field_period_native,23,2000,mean,cka_debiased,rsa_spearman,45,0.8512516469038207
field_period_native,field_period_native,23,2000,mean,procrustes_similarity,rsa_spearman,45,0.7699604743083003
field_period_native,field_period_native,23,2005,mean,cka_debiased,procrustes_similarity,45,0.8205533596837944
field_period_native,field_period_native,23,2005,mean,cka_debiased,rsa_spearman,45,0.8313570487483529
field_period_native,field_period_native,23,2005,mean,procrustes_similarity,rsa_spearman,45,0.7695652173913042
field_period_native,field_period_native,23,2010,mean,cka_debiased,procrustes_similarity,45,0.8372859025032937
field_period_native,field_period_native,23,2010,mean,cka_debiased,rsa_spearman,45,0.8432147562582345
field_period_native,field_period_native,23,2010,mean,procrustes_similarity,rsa_spearman,45,0.770223978919631
field_period_native,field_period_native,23,2015,mean,cka_debiased,procrustes_similarity,45,0.8835309617918313
field_period_native,field_period_native,23,2015,mean,cka_debiased,rsa_spearman,45,0.8617918313570486
field_period_native,field_period_native,23,2015,mean,procrustes_similarity,rsa_spearman,45,0.7936758893280632
field_period_native,field_period_native,23,2020,mean,cka_debiased,procrustes_similarity,45,0.8765480895915678
field_period_native,field_period_native,23,2020,mean,cka_debiased,rsa_spearman,45,0.8787878787878787
field_period_native,field_period_native,23,2020,mean,procrustes_similarity,rsa_spearman,45,0.7895915678524373
field_period_native,field_period_native,24,2000,mean,cka_debiased,procrustes_similarity,45,0.9247694334650857
field_period_native,field_period_native,24,2000,mean,cka_debiased,rsa_spearman,45,0.8868247694334649
field_period_native,field_period_native,24,2000,mean,procrustes_similarity,rsa_spearman,45,0.7810276679841895
field_period_native,field_period_native,24,2005,mean,cka_debiased,procrustes_similarity,45,0.9071146245059287
field_period_native,field_period_native,24,2005,mean,cka_debiased,rsa_spearman,45,0.9194993412384717
field_period_native,field_period_native,24,2005,mean,procrustes_similarity,rsa_spearman,45,0.8015810276679841
field_period_native,field_period_native,24,2010,mean,cka_debiased,procrustes_similarity,45,0.898550724637681
field_period_native,field_period_native,24,2010,mean,cka_debiased,rsa_spearman,45,0.9242424242424241
field_period_native,field_period_native,24,2010,mean,procrustes_similarity,rsa_spearman,45,0.8163372859025032
field_period_native,field_period_native,24,2015,mean,cka_debiased,procrustes_similarity,45,0.8886693017127799
field_period_native,field_period_native,24,2015,mean,cka_debiased,rsa_spearman,45,0.9470355731225295
field_period_native,field_period_native,24,2015,mean,procrustes_similarity,rsa_spearman,45,0.8172595520421605
field_period_native,field_period_native,24,2020,mean,cka_debiased,procrustes_similarity,45,0.8774703557312252
field_period_native,field_period_native,24,2020,mean,cka_debiased,rsa_spearman,45,0.9484848484848485
field_period_native,field_period_native,24,2020,mean,procrustes_similarity,rsa_spearman,45,0.8349143610013176
field_period_native,field_period_native,25,2000,mean,cka_debiased,procrustes_similarity,45,0.9496706192358365
field_period_native,field_period_native,25,2000,mean,cka_debiased,rsa_spearman,45,0.8603425559947298
field_period_native,field_period_native,25,2000,mean,procrustes_similarity,rsa_spearman,45,0.7865612648221343
field_period_native,field_period_native,25,2005,mean,cka_debiased,procrustes_similarity,45,0.9472990777338602
field_period_native,field_period_native,25,2005,mean,cka_debiased,rsa_spearman,45,0.8503293807641633
field_period_native,field_period_native,25,2005,mean,procrustes_similarity,rsa_spearman,45,0.793280632411067
field_period_native,field_period_native,25,2010,mean,cka_debiased,procrustes_similarity,45,0.9559947299077733
field_period_native,field_period_native,25,2010,mean,cka_debiased,rsa_spearman,45,0.8586297760210803
field_period_native,field_period_native,25,2010,mean,procrustes_similarity,rsa_spearman,45,0.8189723320158102
field_period_native,field_period_native,25,2015,mean,cka_debiased,procrustes_similarity,45,0.9472990777338602
field_period_native,field_period_native,25,2015,mean,cka_debiased,rsa_spearman,45,0.840052700922266
field_period_native,field_period_native,25,2015,mean,procrustes_similarity,rsa_spearman,45,0.8010540184453228
field_period_native,field_period_native,25,2020,mean,cka_debiased,procrustes_similarity,45,0.930171277997365
field_period_native,field_period_native,25,2020,mean,cka_debiased,rsa_spearman,45,0.8499341238471673
field_period_native,field_period_native,25,2020,mean,procrustes_similarity,rsa_spearman,45,0.7703557312252963
field_period_native,field_period_native,26,2000,mean,cka_debiased,procrustes_similarity,45,0.9494071146245058
field_period_native,field_period_native,26,2000,mean,cka_debiased,rsa_spearman,45,0.9117259552042161
field_period_native,field_period_native,26,2000,mean,procrustes_similarity,rsa_spearman,45,0.8296442687747034
field_period_native,field_period_native,26,2005,mean,cka_debiased,procrustes_similarity,45,0.9492753623188405
field_period_native,field_period_native,26,2005,mean,cka_debiased,rsa_spearman,45,0.9168642951251645
