recipe,metric,input_condition,measure,n,mean,median,min,max,p025,p975,positive_count,negative_count
mean,neighbors25,abstract,model_change_at_full,260,0.6875885128205128,0.6823566666666667,0.6169066666666666,0.7975377777777778,0.6351347777777778,0.7724271111111112,260,0
mean,neighbors25,abstract,input_change_from_full,260,0.22117515384615385,0.20618999999999998,0.12012,0.46843999999999997,0.13178149999999994,0.360333,260,0
mean,neighbors25,abstract,model_minus_input,260,0.4664133589743589,0.4762844444444444,0.2936000000000001,0.587811111111111,0.3445705555555555,0.5535775000000001,260,0
mean,neighbors50,title,model_change_at_full,260,0.6481315726495727,0.6474394444444445,0.5774355555555556,0.7603133333333334,0.5898421666666668,0.7322565277777778,260,0
mean,neighbors50,title,input_change_from_full,260,0.6637594615384614,0.73212,0.38929,0.8677,0.44701375000000004,0.84885225,260,0
mean,neighbors50,title,model_minus_input,260,-0.015627888888888893,-0.03957111111111117,-0.19454111111111116,0.21697,-0.17896997222222222,0.18159108333333343,129,131
mean,neighbors50,abstract,model_change_at_full,260,0.6481315726495727,0.6474394444444445,0.5774355555555556,0.7603133333333334,0.5898421666666668,0.7322565277777778,260,0
mean,neighbors50,abstract,input_change_from_full,260,0.19526369230769233,0.18126999999999993,0.10745000000000005,0.43100000000000005,0.117011,0.319554,260,0
mean,neighbors50,abstract,model_minus_input,260,0.4528678803418803,0.46186444444444447,0.2936911111111111,0.5691966666666667,0.3427361944444445,0.5380706944444443,260,0
cls,cka,title,model_change_at_full,260,0.46775429255280226,0.4626228723008139,0.2671801678802064,0.6173534216852448,0.34098864268899,0.5926380190208588,260,0
cls,cka,title,input_change_from_full,260,0.43144625347608406,0.38522551390715015,0.10451727767167973,0.8161383747782276,0.13349337699098263,0.7859625891803926,260,0
cls,cka,title,model_minus_input,260,0.0363080390767182,0.05399019625740695,-0.29203868994858967,0.34367659026708053,-0.26465927432511405,0.29495279226568455,136,124
cls,cka,abstract,model_change_at_full,260,0.46775429255280226,0.4626228723008139,0.2671801678802064,0.6173534216852448,0.34098864268899,0.5926380190208588,260,0
cls,cka,abstract,input_change_from_full,260,0.037765760492509244,0.03259889360285301,0.014019943453607242,0.1058333238677146,0.01791212461808564,0.08865916930250516,260,0
cls,cka,abstract,model_minus_input,260,0.429988532060293,0.4294647136697474,0.23694888726643426,0.5829938596840535,0.30314240324487046,0.5385721968720594,260,0
cls,neighbors10,title,model_change_at_full,260,0.8065681623931623,0.81685,0.7127222222222221,0.9057555555555555,0.7224738888888889,0.8848573611111112,260,0
cls,neighbors10,title,input_change_from_full,260,0.7781761538461539,0.846775,0.48575,0.96625,0.54091375,0.9620912500000001,260,0
cls,neighbors10,title,model_minus_input,260,0.028392008547008546,-0.011883333333333301,-0.10827222222222233,0.2523888888888888,-0.10450069444444449,0.19977500000000004,129,131
cls,neighbors10,abstract,model_change_at_full,260,0.8065681623931623,0.81685,0.7127222222222221,0.9057555555555555,0.7224738888888889,0.8848573611111112,260,0
cls,neighbors10,abstract,input_change_from_full,260,0.3181275,0.30524999999999997,0.16965000000000008,0.58585,0.18872124999999998,0.51586,260,0
cls,neighbors10,abstract,model_minus_input,260,0.48844066239316236,0.5060416666666667,0.31624444444444444,0.6116388888888888,0.34886055555555545,0.5828841666666666,260,0
cls,neighbors25,title,model_change_at_full,260,0.7659723589743589,0.7722977777777777,0.6690422222222223,0.8697844444444445,0.6817576111111111,0.8472357222222223,260,0
cls,neighbors25,title,input_change_from_full,260,0.7356005384615385,0.8017399999999999,0.44084,0.94238,0.49318199999999995,0.938412,260,0
cls,neighbors25,title,model_minus_input,260,0.030371820512820513,-0.00797444444444434,-0.12693777777777782,0.25586,-0.11991211111111108,0.2182855555555556,129,131
cls,neighbors25,abstract,model_change_at_full,260,0.7659723589743589,0.7722977777777777,0.6690422222222223,0.8697844444444445,0.6817576111111111,0.8472357222222223,260,0
