model_group,field_id,n,mean,median,min,max,p025,p975
both_biomedical,22,15,0.8488891936944998,0.8588249039933743,0.7437979438556632,0.9038889678874422,0.7661500066391362,0.8986330911393432
both_biomedical,23,11,0.8609718070392919,0.852980959317933,0.7940176460954096,0.9420208500096331,0.8054200145839121,0.929821595386733
both_biomedical,24,5,0.8603884741202201,0.852609951369836,0.8458757517579202,0.8902198417808562,0.846292874402848,0.8875168423512996
both_biomedical,25,6,0.85595323550061,0.852013758857013,0.8155638741350306,0.8933576225496531,0.8192941827361064,0.8913584266886106
both_biomedical,26,8,0.870411672357283,0.8639965380073958,0.8146755644428652,0.9313146135629251,0.8198395952015205,0.9280041220131621
both_biomedical,27,37,0.8572595947512032,0.862088833885159,0.7644477267773571,0.8979341453547169,0.794614861971837,0.8965443291794868
both_biomedical,28,7,0.859651506308255,0.8592016867995933,0.813825473211561,0.9079302501368238,0.8196809191280248,0.9022016958188008
both_biomedical,29,4,0.8829176089903613,0.8752983175688049,0.8703465471509811,0.9107272536728542,0.87066054256433,0.9081274708330385
both_biomedical,30,3,0.8928512370677165,0.883295218284442,0.8641639943159449,0.9310944986027626,0.8651205555143697,0.9287045345868465
both_biomedical,31,6,0.8907951488024023,0.8917574692125181,0.8689977060875416,0.9077426043730538,0.8716230140190104,0.9060892131251083
both_biomedical,32,5,0.8723862832212881,0.87671782479764,0.8460881176866789,0.8862982175812105,0.8482876075554524,0.8861428197897392
both_biomedical,33,18,0.8351353474140917,0.840460039150742,0.7837420475379736,0.8746995216368719,0.7901282875760405,0.8706418213265653
both_biomedical,34,2,0.8382259952152183,0.8382259952152183,0.825297383458867,0.8511546069715696,0.8259438140466846,0.8505081763837521
both_biomedical,35,4,0.8551806279739319,0.8564553370810071,0.8416849282520721,0.8661269094816417,0.8426569656238526,0.8655372848419837
both_biomedical,36,8,0.8662024022672461,0.8705055900220735,0.847075309897178,0.8842794573956092,0.8479888405981943,0.8829045597554235
