outcome,omitted_model,feature,rank,columns,identified,coefficient,r_squared
cka_equal2048,scincl,same_final_corpus_group,7,7,True,-0.060937100468205836,0.732966560458669
cka_equal2048,scincl,same_objective,7,7,True,0.32817045486765106,0.732966560458669
cka_equal2048,scincl,same_domain,7,7,True,-0.009528193649564245,0.732966560458669
cka_equal2048,scincl,same_pooling,7,7,True,-0.11503276881177671,0.732966560458669
cka_equal2048,scibert,intercept,7,7,True,0.6793362267203729,0.7208174258971647
cka_equal2048,scibert,same_architecture,7,7,True,-0.1094214880322662,0.7208174258971647
cka_equal2048,scibert,same_lineage,7,7,True,0.09228580175025625,0.7208174258971647
cka_equal2048,scibert,same_final_corpus_group,7,7,True,-0.0572592136827032,0.7208174258971647
cka_equal2048,scibert,same_objective,7,7,True,0.30677120558325555,0.7208174258971647
cka_equal2048,scibert,same_domain,7,7,True,-0.005197907894721522,0.7208174258971647
cka_equal2048,scibert,same_pooling,7,7,True,-0.11190545593775916,0.7208174258971647
cka_equal2048,bert,intercept,7,7,True,0.6949061270389538,0.8291128920421015
cka_equal2048,bert,same_architecture,7,7,True,-0.11550100718356257,0.8291128920421015
cka_equal2048,bert,same_lineage,7,7,True,0.07584362963390227,0.8291128920421015
cka_equal2048,bert,same_final_corpus_group,7,7,True,-0.07261575665964284,0.8291128920421015
cka_equal2048,bert,same_objective,7,7,True,0.4289841561137658,0.8291128920421015
cka_equal2048,bert,same_domain,7,7,True,-0.0911147970470717,0.8291128920421015
cka_equal2048,bert,same_pooling,7,7,True,-0.13152360620682288,0.8291128920421015
cka_equal2048,mpnet,intercept,7,7,True,0.6511282686131733,0.767468764207724
cka_equal2048,mpnet,same_architecture,7,7,True,-0.08385741349823754,0.767468764207724
cka_equal2048,mpnet,same_lineage,7,7,True,0.04236324079600684,0.767468764207724
cka_equal2048,mpnet,same_final_corpus_group,7,7,True,-0.05414340746698147,0.767468764207724
cka_equal2048,mpnet,same_objective,7,7,True,0.3117290048777358,0.767468764207724
cka_equal2048,mpnet,same_domain,7,7,True,0.00682153725978958,0.767468764207724
cka_equal2048,mpnet,same_pooling,7,7,True,-0.0865093867052421,0.767468764207724
cka_equal2048,minilm,intercept,7,7,True,0.6776608085405815,0.7331139132410354
cka_equal2048,minilm,same_architecture,7,7,True,-0.10724589822061954,0.7331139132410354
cka_equal2048,minilm,same_lineage,7,7,True,0.05100257196429332,0.7331139132410354
cka_equal2048,minilm,same_final_corpus_group,7,7,True,-0.046969725214436764,0.7331139132410354
cka_equal2048,minilm,same_objective,7,7,True,0.32133392120707577,0.7331139132410354
cka_equal2048,minilm,same_domain,7,7,True,-0.01042621261155035,0.7331139132410354
cka_equal2048,minilm,same_pooling,7,7,True,-0.09782362178909962,0.7331139132410354
cka_equal2048,pubmedbert,intercept,7,7,True,0.6990547220467906,0.737620690144156
cka_equal2048,pubmedbert,same_architecture,7,7,True,-0.11363642183199472,0.737620690144156
cka_equal2048,pubmedbert,same_lineage,7,7,True,0.07698174417200236,0.737620690144156
cka_equal2048,pubmedbert,same_final_corpus_group,7,7,True,0.014538923329385727,0.737620690144156
cka_equal2048,pubmedbert,same_objective,7,7,True,0.28120130029117923,0.737620690144156
cka_equal2048,pubmedbert,same_domain,7,7,True,-0.06115770231543934,0.737620690144156
cka_equal2048,pubmedbert,same_pooling,7,7,True,-0.10725314502998486,0.737620690144156
