field_id,recipe,metric,model,input_condition,is_word_bert,mean_effect,alternative_effect,effect_change,input_change_difference,model_change_difference,sign_changed
11,sep,neighbors25,minilm,abstract,False,0.43765333333333345,0.4463044444444444,0.008651111111110943,0.0,0.008651111111110943,False
11,sep,neighbors25,pubmedbert,title,True,-0.1341622222222223,-0.08141333333333334,0.052748888888888956,-0.05020000000000002,0.002548888888888934,False
11,sep,neighbors25,pubmedbert,abstract,True,0.5105977777777777,0.5099066666666666,-0.0006911111111110868,0.0032400000000000206,0.002548888888888934,False
11,sep,neighbors25,biobert,title,True,-0.15922888888888875,-0.07569111111111104,0.08353777777777771,-0.054359999999999964,0.029177777777777747,False
11,sep,neighbors25,biobert,abstract,True,0.4730711111111112,0.5282888888888889,0.0552177777777777,-0.026039999999999952,0.029177777777777747,False
11,sep,neighbors25,simcse,title,False,-0.09792666666666672,-0.07270888888888893,0.025217777777777783,0.0,0.025217777777777783,False
11,sep,neighbors25,simcse,abstract,False,0.4808333333333332,0.506051111111111,0.025217777777777783,0.0,0.025217777777777783,False
11,sep,neighbors50,specter,title,False,0.10386111111111107,0.11145222222222217,0.007591111111111104,0.0,0.007591111111111104,False
11,sep,neighbors50,specter,abstract,False,0.3476811111111111,0.3552722222222222,0.007591111111111104,0.0,0.007591111111111104,False
11,sep,neighbors50,specter2,title,False,0.12976999999999994,0.13586555555555546,0.006095555555555521,0.0,0.006095555555555521,False
11,sep,neighbors50,specter2,abstract,False,0.38354,0.3896355555555555,0.006095555555555521,0.0,0.006095555555555521,False
11,sep,neighbors50,scincl,title,False,0.1227866666666666,0.12865111111111105,0.00586444444444445,0.0,0.00586444444444445,False
11,sep,neighbors50,scincl,abstract,False,0.4060866666666667,0.41195111111111116,0.00586444444444445,0.0,0.00586444444444445,False
11,sep,neighbors50,scibert,title,True,-0.1775122222222223,-0.08967111111111115,0.08784111111111115,0.06930999999999998,0.15715111111111113,False
11,sep,neighbors50,scibert,abstract,True,0.4791577777777777,0.4759588888888888,-0.0031988888888888622,0.16035,0.15715111111111113,False
11,sep,neighbors50,bert,title,True,-0.1275711111111112,-0.07932777777777789,0.048243333333333305,0.10236,0.1506033333333333,False
11,sep,neighbors50,bert,abstract,True,0.49185888888888885,0.43994222222222223,-0.05191666666666661,0.20251999999999992,0.1506033333333333,False
11,sep,neighbors50,mpnet,title,False,0.15338333333333332,0.16001555555555547,0.0066322222222221505,0.0,0.0066322222222221505,False
11,sep,neighbors50,mpnet,abstract,False,0.4429333333333333,0.44956555555555544,0.0066322222222221505,0.0,0.0066322222222221505,False
11,sep,neighbors50,minilm,title,False,0.09684999999999999,0.10595333333333334,0.009103333333333352,0.0,0.009103333333333352,False
11,sep,neighbors50,minilm,abstract,False,0.41933,0.42843333333333333,0.009103333333333352,0.0,0.009103333333333352,False
11,sep,neighbors50,pubmedbert,title,True,-0.13004111111111116,-0.0727377777777779,0.05730333333333326,-0.05828999999999995,-0.0009866666666666912,False
11,sep,neighbors50,pubmedbert,abstract,True,0.4885288888888889,0.4845622222222221,-0.003966666666666785,0.0029800000000000937,-0.0009866666666666912,False
11,sep,neighbors50,biobert,title,True,-0.1599988888888889,-0.07472777777777773,0.08527111111111119,-0.06328999999999996,0.02198111111111123,False
11,sep,neighbors50,biobert,abstract,True,0.451851111111111,0.5010622222222222,0.049211111111111205,-0.027229999999999976,0.02198111111111123,False
11,sep,neighbors50,simcse,title,False,-0.09330777777777777,-0.06775444444444445,0.025553333333333317,0.0,0.025553333333333317,False
11,sep,neighbors50,simcse,abstract,False,0.46936222222222224,0.49491555555555555,0.025553333333333317,0.0,0.025553333333333317,False
12,cls,cka,specter,title,False,0.0856756912163012,0.12713344986212932,0.041457758645828124,0.0,0.041457758645828124,False
12,cls,cka,specter,abstract,False,0.38921418398597446,0.4306719426318026,0.041457758645828124,0.0,0.041457758645828124,False
12,cls,cka,specter2,title,False,0.13187401021560868,0.1747629191847948,0.042888908969186124,0.0,0.042888908969186124,False
12,cls,cka,specter2,abstract,False,0.3455833637353554,0.38847227270454154,0.042888908969186124,0.0,0.042888908969186124,False
12,cls,cka,scincl,title,False,0.010677774532678597,0.057762168436231,0.0470843939035524,0.0,0.0470843939035524,False
12,cls,cka,scincl,abstract,False,0.378147756335914,0.4252321502394664,0.0470843939035524,0.0,0.0470843939035524,False
12,cls,cka,scibert,title,True,-0.2736535083404025,-0.19152373716254512,0.08212977117785736,0.07273448400994642,0.15486425518780378,False
12,cls,cka,scibert,abstract,True,0.3729960036805934,0.5123406797114031,0.1393446760308097,0.01551957915699409,0.15486425518780378,False
12,cls,cka,bert,title,True,-0.20390892354594425,-0.2021740160551131,0.0017349074908311612,0.17214765936359144,0.1738825668544226,False
12,cls,cka,bert,abstract,True,0.3608463962355616,0.4837828431059954,0.12293644687043381,0.05094611998398879,0.1738825668544226,False
12,cls,cka,mpnet,title,False,0.16168139726257358,0.20373355183198943,0.042052154569415856,0.0,0.042052154569415856,False
12,cls,cka,mpnet,abstract,False,0.40656267842822846,0.4486148329976443,0.042052154569415856,0.0,0.042052154569415856,False
12,cls,cka,minilm,title,False,0.09836935676233943,0.1439118946593665,0.04554253789702706,0.0,0.04554253789702706,False
12,cls,cka,minilm,abstract,False,0.4011575885244653,0.44670012642149237,0.04554253789702706,0.0,0.04554253789702706,False
12,cls,cka,pubmedbert,title,True,-0.2341330628921251,-0.24619896341328296,-0.012065900521157857,0.09521236855302329,0.08314646803186543,False
12,cls,cka,pubmedbert,abstract,True,0.42158891893268924,0.49806629116226675,0.07647737222957751,0.0066690958022879165,0.08314646803186543,False
12,cls,cka,biobert,title,True,-0.2966418672267501,-0.25210501376579575,0.04453685346095437,0.028382303061412206,0.07291915652236658,False
12,cls,cka,biobert,abstract,True,0.41199655663162116,0.4730745274190786,0.06107797078745747,0.01184118573490911,0.07291915652236658,False
12,cls,cka,simcse,title,False,-0.18109260824108814,-0.12851028288504218,0.052582325356045956,0.0,0.052582325356045956,False
12,cls,cka,simcse,abstract,False,0.3953830494982193,0.44796537485426524,0.052582325356045956,0.0,0.052582325356045956,False
12,cls,neighbors10,specter,title,False,-0.005838888888888838,0.012177777777777732,0.01801666666666657,0.0,0.01801666666666657,True
12,cls,neighbors10,specter,abstract,False,0.36736111111111114,0.3853777777777777,0.01801666666666657,0.0,0.01801666666666657,False
12,cls,neighbors10,specter2,title,False,0.03788333333333338,0.05552222222222225,0.01763888888888887,0.0,0.01763888888888887,False
12,cls,neighbors10,specter2,abstract,False,0.30843333333333345,0.3260722222222223,0.01763888888888887,0.0,0.01763888888888887,False
12,cls,neighbors10,scincl,title,False,-0.02155555555555555,-0.0023222222222222255,0.019233333333333325,0.0,0.019233333333333325,False
12,cls,neighbors10,scincl,abstract,False,0.4606444444444444,0.47987777777777774,0.019233333333333325,0.0,0.019233333333333325,False
12,cls,neighbors10,scibert,title,True,-0.16049444444444438,-0.07767222222222225,0.08282222222222213,0.01869999999999994,0.10152222222222207,False
12,cls,neighbors10,scibert,abstract,True,0.5515555555555557,0.5219777777777778,-0.029577777777777925,0.1311,0.10152222222222207,False
12,cls,neighbors10,bert,title,True,-0.1195666666666666,-0.07685000000000008,0.042716666666666514,0.06800000000000006,0.11071666666666657,False
12,cls,neighbors10,bert,abstract,True,0.5659333333333334,0.45809999999999995,-0.10783333333333345,0.21855000000000002,0.11071666666666657,False
12,cls,neighbors10,mpnet,title,False,0.10320000000000007,0.12832222222222223,0.025122222222222157,0.0,0.025122222222222157,False
12,cls,neighbors10,mpnet,abstract,False,0.5111,0.5362222222222222,0.025122222222222157,0.0,0.025122222222222157,False
12,cls,neighbors10,minilm,title,False,0.045527777777777834,0.07146666666666668,0.025938888888888845,0.0,0.025938888888888845,False
12,cls,neighbors10,minilm,abstract,False,0.4934277777777779,0.5193666666666668,0.025938888888888845,0.0,0.025938888888888845,False
12,cls,neighbors10,pubmedbert,title,True,-0.15618333333333323,-0.10181666666666678,0.05436666666666645,0.029100000000000015,0.08346666666666647,False
12,cls,neighbors10,pubmedbert,abstract,True,0.5418666666666667,0.5321333333333332,-0.009733333333333483,0.09319999999999995,0.08346666666666647,False
12,cls,neighbors10,biobert,title,True,-0.15593333333333337,-0.10057777777777765,0.05535555555555571,0.024900000000000033,0.08025555555555575,False
12,cls,neighbors10,biobert,abstract,True,0.5290666666666666,0.5389222222222224,0.00985555555555584,0.07039999999999991,0.08025555555555575,False
12,cls,neighbors10,simcse,title,False,-0.09598888888888901,-0.05184444444444436,0.04414444444444465,0.0,0.04414444444444465,False
12,cls,neighbors10,simcse,abstract,False,0.5335611111111109,0.5777055555555556,0.04414444444444465,0.0,0.04414444444444465,False
12,cls,neighbors25,specter,title,False,-0.0011400000000000299,0.019175555555555612,0.020315555555555642,0.0,0.020315555555555642,True
12,cls,neighbors25,specter,abstract,False,0.37883999999999995,0.3991555555555556,0.020315555555555642,0.0,0.020315555555555642,False
12,cls,neighbors25,specter2,title,False,0.042848888888888825,0.06282222222222211,0.019973333333333287,0.0,0.019973333333333287,False
12,cls,neighbors25,specter2,abstract,False,0.32272888888888884,0.34270222222222213,0.019973333333333287,0.0,0.019973333333333287,False
12,cls,neighbors25,scincl,title,False,-0.021948888888888796,-0.0002533333333332166,0.02169555555555558,0.0,0.02169555555555558,False
12,cls,neighbors25,scincl,abstract,False,0.4638311111111112,0.4855266666666668,0.02169555555555558,0.0,0.02169555555555558,False
12,cls,neighbors25,scibert,title,True,-0.17325777777777762,-0.09197777777777782,0.0812799999999998,0.024940000000000073,0.10621999999999987,False
12,cls,neighbors25,scibert,abstract,True,0.5385822222222224,0.5327222222222221,-0.005860000000000309,0.11208000000000018,0.10621999999999987,False
12,cls,neighbors25,bert,title,True,-0.12179333333333342,-0.09106888888888887,0.030724444444444554,0.08609999999999995,0.11682444444444451,False
12,cls,neighbors25,bert,abstract,True,0.5546066666666667,0.4749111111111112,-0.07969555555555552,0.19652000000000003,0.11682444444444451,False
12,cls,neighbors25,mpnet,title,False,0.10940444444444442,0.13723777777777768,0.027833333333333266,0.0,0.027833333333333266,False
