field_id,repeat,condition,metric,model_group,medicine,comparison_field,medicine_minus_other
21,0,observed_eligible_composition,rsa_spearman,all,0.4502067298134501,0.692444113257743,-0.2422373834442929
21,0,observed_eligible_composition,rsa_spearman,without_biomedical,0.4475151983776096,0.6975376070677365,-0.2500224086901269
21,0,observed_eligible_composition,rsa_spearman,one_biomedical,0.42947370166759047,0.6710144322721605,-0.24154073060457004
21,0,observed_eligible_composition,rsa_spearman,both_biomedical,0.857298060350742,0.8927011823472453,-0.035403121996503306
21,1,equal_subfield_composition,cka_debiased,all,0.5415450447308903,0.7751667753571649,-0.23362173062627467
21,1,equal_subfield_composition,cka_debiased,without_biomedical,0.5630438527439999,0.7783891448926072,-0.21534529214860731
21,1,equal_subfield_composition,cka_debiased,one_biomedical,0.4864337951564055,0.7613223818425761,-0.27488858668617056
21,1,equal_subfield_composition,cka_debiased,both_biomedical,0.8213584135555798,0.9064507245981946,-0.08509231104261483
21,1,equal_subfield_composition,neighbors_k10,all,0.25710286458333337,0.27261176215277777,-0.015508897569444402
21,1,equal_subfield_composition,neighbors_k10,without_biomedical,0.26517857142857143,0.27299281529017855,-0.007814243861607117
21,1,equal_subfield_composition,neighbors_k10,one_biomedical,0.2278594970703125,0.2584136962890625,-0.030554199218750022
21,1,equal_subfield_composition,neighbors_k10,both_biomedical,0.498876953125,0.489111328125,0.009765625
21,1,equal_subfield_composition,neighbors_k25,all,0.2921423611111111,0.33305121527777776,-0.040908854166666675
21,1,equal_subfield_composition,neighbors_k25,without_biomedical,0.30058942522321425,0.33289411272321434,-0.032304687500000095
21,1,equal_subfield_composition,neighbors_k25,one_biomedical,0.26217285156250003,0.31982666015625,-0.05765380859374997
21,1,equal_subfield_composition,neighbors_k25,both_biomedical,0.53513671875,0.54904296875,-0.013906250000000009
21,1,equal_subfield_composition,neighbors_k50,all,0.3225290798611111,0.39018728298611105,-0.06765820312499993
21,1,equal_subfield_composition,neighbors_k50,without_biomedical,0.3301443917410714,0.3902427455357143,-0.0600983537946429
21,1,equal_subfield_composition,neighbors_k50,one_biomedical,0.29386108398437505,0.3770343017578125,-0.08317321777343745
21,1,equal_subfield_composition,neighbors_k50,both_biomedical,0.56798828125,0.59908203125,-0.03109375000000003
21,1,equal_subfield_composition,rsa_spearman,all,0.46070519286622963,0.7001532516733164,-0.2394480588070868
21,1,equal_subfield_composition,rsa_spearman,without_biomedical,0.4598686628713682,0.7057259318602968,-0.24585726898892857
