field_id,k,n,mean,median,min,max,p025,p975
28,10,70,-0.017724444444444442,-0.012333333333333307,-0.08168888888888887,0.026577777777777756,-0.07285666666666667,0.025193333333333335
28,25,70,-0.01160330158730158,-0.009662222222222155,-0.08346666666666658,0.042328888888888805,-0.07616444444444448,0.03789466666666661
28,50,70,-0.012591619047619062,-0.008337777777777777,-0.08208888888888888,0.029253333333333353,-0.08171511111111114,0.025996444444444385
29,10,40,-0.07400444444444446,-0.09160000000000001,-0.1216888888888889,0.023777777777777787,-0.1137588888888888,0.011991111111111011
29,25,40,-0.10040666666666667,-0.1197244444444445,-0.1756266666666666,0.01889777777777779,-0.1746386666666666,0.010907111111111156
29,50,40,-0.12347088888888887,-0.1350755555555555,-0.2275822222222224,0.011084444444444452,-0.22556288888888884,0.008441111111111118
30,10,30,-0.02329481481481481,-0.01142222222222214,-0.09435555555555547,0.019022222222222163,-0.08282,0.012706666666666673
30,25,30,-0.027727407407407402,-0.005866666666666659,-0.10250666666666663,0.02618666666666669,-0.10057333333333335,0.02540044444444451
30,50,30,-0.008537185185185177,-0.003782222222222187,-0.07160888888888894,0.0474311111111112,-0.06959177777777782,0.04538822222222213
31,10,60,-0.03481259259259259,-0.0334888888888889,-0.0975555555555555,0.016488888888888997,-0.09098222222222221,0.01231222222222214
31,25,60,-0.03142014814814817,-0.02733333333333335,-0.07740444444444439,0.010631111111111091,-0.075612,0.00873955555555556
31,50,60,-0.010929481481481483,-0.001848888888889011,-0.08479111111111115,0.028026666666666422,-0.08055244444444437,0.019670666666666673
32,10,50,0.0030524444444444423,-0.0002444444444443805,-0.03022222222222226,0.05893333333333328,-0.028268888888888875,0.04232444444444443
32,25,50,0.010337066666666646,0.013537777777777704,-0.029102222222222196,0.05168000000000006,-0.02115599999999996,0.04440177777777779
32,50,50,0.011684799999999985,0.012933333333333352,-0.023173333333333324,0.042915555555555596,-0.02028800000000004,0.038580222222222266
33,10,180,-0.022752592592592588,-0.017311111111111194,-0.13862222222222226,0.04822222222222222,-0.1313177777777777,0.028277777777777745
33,25,180,-0.02114192592592593,-0.012960000000000055,-0.1994844444444444,0.05827555555555558,-0.18807022222222222,0.048224888888888914
33,50,180,-0.016773679012345683,-0.008031111111111155,-0.20958222222222228,0.06785777777777768,-0.1940633333333332,0.061405333333333305
34,10,20,-0.001219999999999996,0.0024222222222221867,-0.03395555555555546,0.043155555555555614,-0.032857777777777715,0.033106666666666625
34,25,20,-0.008102222222222191,-0.00856888888888882,-0.044266666666666676,0.0209955555555556,-0.03972355555555552,0.01985555555555559
34,50,20,-0.010466222222222193,-0.006751111111111041,-0.037075555555555306,0.014524444444444451,-0.03622266666666658,0.013498444444444424
35,10,40,-0.01328777777777777,-0.012155555555555558,-0.0447111111111112,0.006488888888888988,-0.04423444444444439,0.004452222222222182
35,25,40,-0.009667111111111102,-0.007982222222222224,-0.054435555555555626,0.015128888888888803,-0.03495288888888884,0.01455688888888879
35,50,40,-0.0070899999999999965,-0.005071111111111137,-0.04651555555555553,0.014488888888888884,-0.03413955555555553,0.010796888888888832
36,10,80,-0.004448333333333337,0.0072444444444444145,-0.07955555555555549,0.060933333333333284,-0.07028666666666669,0.05711111111111105
36,25,80,0.018890888888888895,0.023457777777777772,-0.058951111111111176,0.08943999999999996,-0.05442755555555549,0.07115066666666667
36,50,80,0.034060222222222214,0.04405777777777778,-0.018702222222222176,0.08283555555555566,-0.01508355555555565,0.08019333333333327
