outcome,model_a,model_b,intercept,same_architecture,same_lineage,same_final_corpus_group,same_objective,same_domain,same_pooling
cka_sep,specter2,scibert,1.0,1.0,1.0,0.0,0.0,1.0,0.0
cka_sep,specter2,bert,1.0,1.0,0.0,0.0,0.0,0.0,0.0
cka_sep,specter2,mpnet,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cka_sep,specter2,minilm,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cka_sep,specter2,pubmedbert,1.0,1.0,0.0,0.0,0.0,0.0,0.0
cka_sep,specter2,biobert,1.0,1.0,0.0,0.0,0.0,0.0,0.0
cka_sep,specter2,simcse,1.0,1.0,0.0,0.0,0.0,0.0,1.0
cka_sep,scincl,scibert,1.0,1.0,1.0,0.0,0.0,1.0,0.0
cka_sep,scincl,bert,1.0,1.0,0.0,0.0,0.0,0.0,0.0
cka_sep,scincl,mpnet,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cka_sep,scincl,minilm,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cka_sep,scincl,pubmedbert,1.0,1.0,0.0,0.0,0.0,0.0,0.0
cka_sep,scincl,biobert,1.0,1.0,0.0,0.0,0.0,0.0,0.0
cka_sep,scincl,simcse,1.0,1.0,0.0,0.0,0.0,0.0,1.0
cka_sep,scibert,bert,1.0,1.0,0.0,0.0,1.0,0.0,1.0
cka_sep,scibert,mpnet,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cka_sep,scibert,minilm,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cka_sep,scibert,pubmedbert,1.0,1.0,0.0,0.0,1.0,0.0,1.0
cka_sep,scibert,biobert,1.0,1.0,0.0,0.0,1.0,0.0,1.0
cka_sep,scibert,simcse,1.0,1.0,0.0,0.0,0.0,0.0,0.0
cka_sep,bert,mpnet,1.0,0.0,0.0,0.0,0.0,1.0,0.0
cka_sep,bert,minilm,1.0,0.0,0.0,0.0,0.0,1.0,0.0
cka_sep,bert,pubmedbert,1.0,1.0,0.0,0.0,1.0,0.0,1.0
cka_sep,bert,biobert,1.0,1.0,1.0,0.0,1.0,0.0,1.0
cka_sep,bert,simcse,1.0,1.0,1.0,0.0,0.0,1.0,0.0
cka_sep,mpnet,minilm,1.0,0.0,0.0,1.0,1.0,1.0,1.0
cka_sep,mpnet,pubmedbert,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cka_sep,mpnet,biobert,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cka_sep,mpnet,simcse,1.0,0.0,0.0,0.0,0.0,1.0,0.0
cka_sep,minilm,pubmedbert,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cka_sep,minilm,biobert,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cka_sep,minilm,simcse,1.0,0.0,0.0,0.0,0.0,1.0,0.0
cka_sep,pubmedbert,biobert,1.0,1.0,0.0,0.0,1.0,1.0,1.0
cka_sep,pubmedbert,simcse,1.0,1.0,0.0,0.0,0.0,0.0,0.0
cka_sep,biobert,simcse,1.0,1.0,1.0,0.0,0.0,0.0,0.0
neighbors_2048_mean_k25,specter,specter2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
neighbors_2048_mean_k25,specter,scincl,1.0,1.0,1.0,1.0,1.0,1.0,1.0
neighbors_2048_mean_k25,specter,scibert,1.0,1.0,1.0,0.0,0.0,1.0,0.0
neighbors_2048_mean_k25,specter,bert,1.0,1.0,0.0,0.0,0.0,0.0,0.0
neighbors_2048_mean_k25,specter,mpnet,1.0,0.0,0.0,0.0,0.0,0.0,0.0
neighbors_2048_mean_k25,specter,minilm,1.0,0.0,0.0,0.0,0.0,0.0,0.0
neighbors_2048_mean_k25,specter,pubmedbert,1.0,1.0,0.0,0.0,0.0,0.0,0.0
neighbors_2048_mean_k25,specter,biobert,1.0,1.0,0.0,0.0,0.0,0.0,0.0
neighbors_2048_mean_k25,specter,simcse,1.0,1.0,0.0,0.0,0.0,0.0,1.0
neighbors_2048_mean_k25,specter2,scincl,1.0,1.0,1.0,1.0,1.0,1.0,1.0
neighbors_2048_mean_k25,specter2,scibert,1.0,1.0,1.0,0.0,0.0,1.0,0.0
neighbors_2048_mean_k25,specter2,bert,1.0,1.0,0.0,0.0,0.0,0.0,0.0
neighbors_2048_mean_k25,specter2,mpnet,1.0,0.0,0.0,0.0,0.0,0.0,0.0
neighbors_2048_mean_k25,specter2,minilm,1.0,0.0,0.0,0.0,0.0,0.0,0.0
neighbors_2048_mean_k25,specter2,pubmedbert,1.0,1.0,0.0,0.0,0.0,0.0,0.0
