field_id,repeat,condition,represented_subfields,effective_subfields_entropy,largest_subfield_share
22,5,equal_subfield_composition,14,13.99970047149388,0.07275390625
22,6,observed_eligible_composition,14,10.012481327193916,0.2734375
22,6,equal_subfield_composition,14,13.999792843754545,0.07177734375
22,7,observed_eligible_composition,14,10.190724668809569,0.2734375
22,7,equal_subfield_composition,14,13.999653017996286,0.072265625
22,8,observed_eligible_composition,14,10.010417327086536,0.287109375
22,8,equal_subfield_composition,14,13.99955969542965,0.072265625
22,9,observed_eligible_composition,14,10.213183925137292,0.27783203125
22,9,equal_subfield_composition,14,13.999653017996286,0.072265625
23,0,observed_eligible_composition,11,9.572559748468846,0.212890625
23,0,equal_subfield_composition,11,10.999918824138852,0.091796875
23,1,observed_eligible_composition,11,9.643400653616876,0.20361328125
23,1,equal_subfield_composition,11,10.999889792980301,0.09130859375
23,2,observed_eligible_composition,11,9.714423278843475,0.19482421875
23,2,equal_subfield_composition,11,10.9998323485791,0.091796875
23,3,observed_eligible_composition,11,9.413118158677712,0.203125
23,3,equal_subfield_composition,11,10.999861070742204,0.091796875
23,4,observed_eligible_composition,11,9.677651027564792,0.2060546875
23,4,equal_subfield_composition,11,10.9998037792693,0.09228515625
23,5,observed_eligible_composition,11,9.648076940859315,0.19580078125
23,5,equal_subfield_composition,11,10.99991866971613,0.09130859375
23,6,observed_eligible_composition,11,9.57725563869727,0.19921875
23,6,equal_subfield_composition,11,10.999861070742199,0.091796875
23,7,observed_eligible_composition,11,9.864043878653712,0.203125
23,7,equal_subfield_composition,11,10.999918824138852,0.091796875
23,8,observed_eligible_composition,11,9.607033154748436,0.1982421875
23,8,equal_subfield_composition,11,10.999717304613968,0.09228515625
23,9,observed_eligible_composition,11,9.457796752591937,0.21044921875
23,9,equal_subfield_composition,11,10.999947546527762,0.09130859375
24,0,observed_eligible_composition,4,3.0908980010856433,0.5849609375
24,0,equal_subfield_composition,4,3.999988548452145,0.25048828125
24,1,observed_eligible_composition,4,3.086978707151302,0.587890625
24,1,equal_subfield_composition,4,3.9999961853021286,0.25048828125
24,2,observed_eligible_composition,4,3.016674496555853,0.60205078125
24,2,equal_subfield_composition,4,3.9999961853021286,0.25048828125
24,3,observed_eligible_composition,4,3.103063159374484,0.583984375
24,3,equal_subfield_composition,4,3.9999885484521442,0.25048828125
24,4,observed_eligible_composition,4,3.0240353585138444,0.60107421875
24,4,equal_subfield_composition,4,3.9999961853021286,0.25048828125
24,5,observed_eligible_composition,4,3.024828234924195,0.6005859375
24,5,equal_subfield_composition,4,3.999988563353347,0.2509765625
24,6,observed_eligible_composition,4,3.0416503216311668,0.59765625
24,6,equal_subfield_composition,4,3.9999961853021286,0.25048828125
24,7,observed_eligible_composition,4,3.0150972371157567,0.60107421875
24,7,equal_subfield_composition,4,3.9999961853021277,0.25048828125
24,8,observed_eligible_composition,4,3.02223386477007,0.6015625
24,8,equal_subfield_composition,4,3.9999961853021286,0.25048828125
24,9,observed_eligible_composition,4,3.125688395820528,0.5791015625
24,9,equal_subfield_composition,4,3.9999961853021286,0.25048828125
25,0,observed_eligible_composition,5,3.4946341847032962,0.56591796875
25,0,equal_subfield_composition,5,4.999996423139522,0.2001953125
25,1,observed_eligible_composition,5,3.319304520568884,0.595703125
25,1,equal_subfield_composition,5,4.999996423139521,0.2001953125
25,2,observed_eligible_composition,5,3.4799230777163666,0.56689453125
25,2,equal_subfield_composition,5,4.999996423139521,0.2001953125
25,3,observed_eligible_composition,5,3.4826722033937343,0.5693359375
25,3,equal_subfield_composition,5,4.999996423139521,0.2001953125
25,4,observed_eligible_composition,5,3.548830505570904,0.55615234375
25,4,equal_subfield_composition,5,4.999990453932972,0.2001953125
25,5,observed_eligible_composition,5,3.4360774730323707,0.5771484375
25,5,equal_subfield_composition,5,4.999996423139522,0.2001953125
25,6,observed_eligible_composition,5,3.4284870715953444,0.5791015625
25,6,equal_subfield_composition,5,4.999996423139521,0.2001953125
25,7,observed_eligible_composition,5,3.4209928272602865,0.5751953125
25,7,equal_subfield_composition,5,4.999990453932972,0.2001953125
25,8,observed_eligible_composition,5,3.4510615817227355,0.5712890625
25,8,equal_subfield_composition,5,4.999990453932972,0.2001953125
25,9,observed_eligible_composition,5,3.3953808462467356,0.583984375
25,9,equal_subfield_composition,5,4.999990453932972,0.2001953125
26,0,observed_eligible_composition,8,6.729187761806766,0.2314453125
26,0,equal_subfield_composition,8,7.999939024294076,0.1259765625
26,1,observed_eligible_composition,8,6.800815605083183,0.2275390625
26,1,equal_subfield_composition,8,7.999954283020192,0.1259765625
26,2,observed_eligible_composition,8,6.753643048904051,0.2529296875
26,2,equal_subfield_composition,8,7.999984741186681,0.12548828125
26,3,observed_eligible_composition,8,6.962950972742795,0.224609375
26,3,equal_subfield_composition,8,7.999969482402473,0.12548828125
26,4,observed_eligible_composition,8,6.785425710059731,0.2255859375
26,4,equal_subfield_composition,8,7.999984741186681,0.12548828125
26,5,observed_eligible_composition,8,6.904399220908698,0.2265625
26,5,equal_subfield_composition,8,7.999984741186681,0.12548828125
26,6,observed_eligible_composition,8,6.805297809450153,0.228515625
26,6,equal_subfield_composition,8,7.999954283020192,0.1259765625
26,7,observed_eligible_composition,8,6.8626182487010325,0.2236328125
26,7,equal_subfield_composition,8,7.999969482402473,0.12548828125
26,8,observed_eligible_composition,8,6.859030541545675,0.23095703125
26,8,equal_subfield_composition,8,7.999984741186681,0.12548828125
26,9,observed_eligible_composition,8,6.9381749757240545,0.2216796875
26,9,equal_subfield_composition,8,7.999954283020192,0.1259765625
27,0,observed_eligible_composition,39,26.63296808791616,0.107421875
27,0,equal_subfield_composition,39,38.993520882862214,0.0263671875
27,1,observed_eligible_composition,39,25.943516776811318,0.12255859375
27,1,equal_subfield_composition,39,38.99098513964761,0.02685546875
27,2,observed_eligible_composition,38,27.038211535118112,0.10498046875
27,2,equal_subfield_composition,39,38.98878749542268,0.02685546875
27,3,observed_eligible_composition,39,26.787624208489834,0.10791015625
27,3,equal_subfield_composition,39,38.99095696046234,0.02685546875
27,4,observed_eligible_composition,39,26.643182932573158,0.126953125
27,4,equal_subfield_composition,39,38.99168926452594,0.02685546875
27,5,observed_eligible_composition,39,27.10523922285771,0.10888671875
27,5,equal_subfield_composition,39,38.99315445595251,0.02685546875
27,6,observed_eligible_composition,39,26.701402423479607,0.107421875
27,6,equal_subfield_composition,39,38.993873237631945,0.0263671875
