metric,input_condition,model,measure,n,mean,median,min,max,p025,p975,positive_count,negative_count
rsa,abstract,minilm,input_change_from_full,26,0.03127487563057198,0.031034583609341027,0.023535282439838157,0.04115210969188199,0.02377291548168399,0.03928899949066564,26,0
rsa,abstract,minilm,model_minus_input,26,0.4013241077963801,0.39555759118946465,0.30483630464225736,0.4770207423023888,0.33041719238048417,0.47326103287756727,26,0
rsa,title,pubmedbert,model_change_at_full,26,0.4402134698100146,0.43713544875358845,0.3329075947452691,0.5143072114964348,0.3640268880601508,0.5023437053618387,26,0
rsa,title,pubmedbert,input_change_from_full,26,0.5720044220890395,0.579803769219509,0.41915869786739846,0.7138508288966267,0.4413048359681039,0.7058257005656262,26,0
rsa,title,pubmedbert,model_minus_input,26,-0.1317909522790248,-0.12286244614386618,-0.27768364043287574,-0.028935421617051094,-0.248896110669867,-0.030936972455150723,0,26
rsa,abstract,pubmedbert,model_change_at_full,26,0.4402134698100146,0.43713544875358845,0.3329075947452691,0.5143072114964348,0.3640268880601508,0.5023437053618387,26,0
rsa,abstract,pubmedbert,input_change_from_full,26,0.01477061992824777,0.013740509759100239,0.009456495046139768,0.02400867720452482,0.009489368660910241,0.023375286737002524,26,0
rsa,abstract,pubmedbert,model_minus_input,26,0.42544284988176684,0.42313652963209497,0.3193938078814873,0.5028250280742255,0.35022969757722094,0.49012563111123136,26,0
rsa,title,biobert,model_change_at_full,26,0.43921102351690533,0.4368363098169238,0.3391236503071424,0.5063182513196285,0.3739190002739223,0.5007384078521377,26,0
rsa,title,biobert,input_change_from_full,26,0.6218140622571278,0.6107205910475518,0.514093866404735,0.7344563159176409,0.5264888077019723,0.7289836369420843,26,0
rsa,title,biobert,model_minus_input,26,-0.18260303874022246,-0.17992473019466404,-0.2817671161255845,-0.06216728971975177,-0.2759604864339838,-0.10143808619011627,0,26
rsa,abstract,biobert,model_change_at_full,26,0.43921102351690533,0.4368363098169238,0.3391236503071424,0.5063182513196285,0.3739190002739223,0.5007384078521377,26,0
rsa,abstract,biobert,input_change_from_full,26,0.020214334615325,0.01937720713844332,0.012108702414273309,0.030364411653913903,0.012281351903766974,0.030288256410908612,26,0
rsa,abstract,biobert,model_minus_input,26,0.41899668890158026,0.4168403464212678,0.3174337492094157,0.4915514128457097,0.34859647911617736,0.48550245384673407,26,0
rsa,title,simcse,model_change_at_full,26,0.5020712407479243,0.505932741470332,0.42427829637702963,0.5775772210049427,0.4256177318987108,0.5740331652494157,26,0
rsa,title,simcse,input_change_from_full,26,0.4835552594064549,0.4760596144236488,0.33461249295252427,0.6038001934325017,0.3811433639247951,0.5950007531108145,26,0
rsa,title,simcse,model_minus_input,26,0.018515981341469468,0.02129565788882326,-0.1016619900758235,0.10367438367885917,-0.08319607758163747,0.1017487243744568,18,8
rsa,abstract,simcse,model_change_at_full,26,0.5020712407479243,0.505932741470332,0.42427829637702963,0.5775772210049427,0.4256177318987108,0.5740331652494157,26,0
rsa,abstract,simcse,input_change_from_full,26,0.02265004005458781,0.022662541355658095,0.016964955180409302,0.03444775005212253,0.016987721841091055,0.030236240940024417,26,0
rsa,abstract,simcse,model_minus_input,26,0.47942120069333655,0.48474469310285845,0.39878202520911704,0.5579252139693086,0.3989654796293689,0.5540837566292891,26,0
neighbors25,title,specter,model_change_at_full,26,0.6828206837606837,0.6716888888888889,0.6363288888888888,0.78792,0.6382580555555555,0.767845,26,0
neighbors25,title,specter,input_change_from_full,26,0.6114138461538462,0.6067400000000001,0.50718,0.78906,0.5184425,0.7510600000000001,26,0
neighbors25,title,specter,model_minus_input,26,0.07140683760683761,0.06820222222222228,-0.0011400000000000299,0.17253333333333343,0.015121111111111099,0.13664861111111115,25,1
neighbors25,abstract,specter,model_change_at_full,26,0.6828206837606837,0.6716888888888889,0.6363288888888888,0.78792,0.6382580555555555,0.767845,26,0
neighbors25,abstract,specter,input_change_from_full,26,0.3132469230769231,0.30337000000000003,0.23703999999999992,0.40908,0.25233999999999995,0.40773,26,0
neighbors25,abstract,specter,model_minus_input,26,0.36957376068376074,0.37436444444444444,0.2936000000000001,0.4426733333333335,0.2939319444444445,0.43009277777777777,26,0
