subfield_id,field_id,k,n,mean,median,min,max,p025,p975
1704,17,25,10,-0.0007288888888889233,-0.000924444444444561,-0.01418666666666668,0.015128888888888858,-0.013410666666666644,0.014560888888888885
1704,17,50,10,0.06870488888888888,0.06723555555555555,0.0561600000000001,0.08060444444444437,0.056172000000000076,0.0804524444444444
1705,17,10,10,-0.04129777777777781,-0.03753333333333339,-0.06857777777777785,-0.01897777777777776,-0.06775777777777783,-0.019817777777777768
1705,17,25,10,-0.046200888888888896,-0.04881777777777785,-0.06300444444444442,-0.016906666666666736,-0.062176444444444416,-0.021330666666666723
1705,17,50,10,-0.03702044444444445,-0.04027111111111109,-0.04818666666666671,-0.01731555555555564,-0.048170666666666695,-0.018473555555555604
1706,17,10,10,-0.03184000000000003,-0.03324444444444444,-0.04053333333333342,-0.018755555555555525,-0.04005333333333341,-0.020025555555555526
1706,17,25,10,-0.041091555555555555,-0.041226666666666634,-0.05354666666666674,-0.018506666666666616,-0.05316266666666671,-0.02254266666666662
1706,17,50,10,-0.03931733333333337,-0.04041777777777783,-0.057031111111111144,-0.01512888888888897,-0.055235111111111145,-0.018260888888888976
1707,17,10,10,-0.029555555555555564,-0.030955555555555514,-0.04524444444444459,-0.014088888888888929,-0.04426444444444455,-0.014588888888888919
1707,17,25,10,-0.03734399999999999,-0.038337777777777776,-0.050879999999999925,-0.0203733333333333,-0.04868799999999997,-0.022577333333333283
1707,17,50,10,-0.03721955555555554,-0.03728888888888893,-0.05265777777777769,-0.02321777777777767,-0.05095977777777771,-0.02397977777777769
1708,17,10,10,-0.05584444444444443,-0.057044444444444425,-0.09471111111111102,-0.03955555555555568,-0.08743111111111104,-0.03983555555555564
1708,17,25,10,-0.07126222222222223,-0.06825777777777783,-0.10152888888888895,-0.05614222222222226,-0.09627288888888894,-0.057578222222222246
1708,17,50,10,-0.06669866666666664,-0.0659688888888888,-0.08264000000000005,-0.05078222222222217,-0.08206400000000003,-0.05225822222222217
1709,17,10,10,-0.04596000000000003,-0.04200000000000004,-0.07066666666666666,-0.02551111111111115,-0.06862666666666666,-0.02759111111111115
1709,17,25,10,-0.03789688888888887,-0.035173333333333306,-0.0570311111111112,-0.018559999999999965,-0.055411111111111175,-0.021263999999999953
1709,17,50,10,-0.012526222222222206,-0.01245333333333326,-0.03832888888888897,0.005777777777777771,-0.03414688888888898,0.0035457777777777653
1710,17,10,10,0.011368888888888895,0.011355555555555591,-0.009511111111111192,0.029955555555555458,-0.006391111111111174,0.027215555555555448
1710,17,25,10,-0.005436444444444477,-0.008657777777777792,-0.013866666666666694,0.005671111111111071,-0.013382666666666695,0.0055311111111110535
1710,17,50,10,-0.00212444444444444,-0.005111111111111122,-0.014417777777777863,0.01804444444444453,-0.014167777777777849,0.016762444444444528
1711,17,10,10,-0.004071111111111097,-0.0036666666666666514,-0.04013333333333324,0.01613333333333339,-0.03383333333333328,0.014823333333333402
