outcome,group,endpoint_change,slope,increasing_steps,decreasing_steps,minimum,maximum
cka_quality,17,0.01597750394127362,0.003729731613230447,2,2,0.6268162750712697,0.656198025880585
cka_quality,18,0.004322289373706378,0.0027095645597429384,2,2,0.6328099316670875,0.6512609985171043
cka_quality,19,0.025279827194262916,0.006200428581192741,4,0,0.687956349156654,0.713236176350917
cka_quality,20,-0.013628570025158937,-0.003375816583633573,0,4,0.6164488158662427,0.6300773858914016
cka_quality,21,0.03271567972900413,0.009164022792078086,3,1,0.7737715175418369,0.8126084869182271
cka_quality,22,0.014086758023377333,0.0042898669530320845,3,1,0.6312985879183592,0.646997519856583
cka_quality,23,-0.0010849293834704898,-0.00011678451641103927,2,2,0.6622190559549739,0.6731772043024439
cka_quality,24,0.02226501110951895,0.006347085536513575,4,0,0.6423535869722341,0.664618598081753
cka_quality,25,0.02193247491713446,0.005323743444281659,4,0,0.62546649051033,0.6473989654274644
cka_quality,26,0.07233011997937444,0.017299487097962852,4,0,0.6926421484068808,0.7649722683862552
cka_quality,27,0.0022185990070812123,0.001092505998604909,2,2,0.5595588957305861,0.5733419666860484
cka_quality,28,-0.014472708416048974,-0.0027111663838996327,1,3,0.6568045290637552,0.6763352182461219
cka_quality,29,0.015339474747258275,0.004616065453706209,3,1,0.6736709901491854,0.6906661567638311
cka_quality,30,0.005062400631247632,0.0035859237757992933,2,2,0.6338215967414099,0.6595560332369075
cka_quality,31,0.0007623085808604602,0.0008515727666875472,3,1,0.6822426703157382,0.6895153533589291
cka_quality,32,-0.008432247769277201,-0.002348205806594228,2,2,0.6160128409759954,0.630099855767546
cka_quality,33,0.010171203293149356,0.0035319176490252067,2,2,0.6258780341948014,0.6408548040987547
cka_quality,34,0.002031668780701157,0.0007474952794759738,2,2,0.6316568693957346,0.6408608201383666
cka_quality,35,-0.008111198990286783,-0.002114417915030531,2,2,0.6462956662986244,0.6547675893140934
cka_quality,36,0.010450476288551225,0.0020947467073082703,2,2,0.5922674789437278,0.6027579836491633
cka_equal2048,11,0.031143629574143517,0.008990199842166646,2,2,0.6001863778902534,0.6426388918178639
cka_equal2048,12,0.060101117558272854,0.014823909732556716,4,0,0.5535151341331667,0.6136162516914395
cka_equal2048,13,0.02369875261358434,0.006211825519307901,4,0,0.5999636388131984,0.6236623914267827
cka_equal2048,14,0.0006471062835183838,0.0003558195377174611,2,2,0.5708959509887946,0.5861957733282547
cka_equal2048,15,0.021895050188509124,0.006825080118275606,3,1,0.6884587688037059,0.7225032487277774
cka_equal2048,16,0.04291454151399554,0.009804387863507836,4,0,0.6516247722748995,0.694539313788895
cka_equal2048,17,0.017725885462669733,0.0029999691877821365,2,2,0.6124899709081398,0.6492747060411593
cka_equal2048,18,0.014795574399322331,0.0049468374788093515,2,2,0.6162676433014139,0.6416350236945169
cka_equal2048,19,0.027613043100670476,0.0054136133557669995,3,1,0.6603489202875497,0.6879619633882201
cka_equal2048,20,-0.008205372141136147,-0.0025281908594026793,1,3,0.5918108209282013,0.6008457110819323
cka_equal2048,21,0.04990926446770472,0.01341394262772635,3,1,0.7512243508004932,0.8042119618742941
cka_equal2048,22,0.02454012327559374,0.006866097988396169,3,1,0.6126320941059785,0.6421558101929595
cka_equal2048,23,0.00012033360062801979,-0.0013901559247749163,1,3,0.6427880438298018,0.6595261917674553
cka_equal2048,24,0.02887329512302106,0.0081198997738674,3,1,0.6277123646147853,0.6585323661107179
cka_equal2048,25,0.03051149810580489,0.006430899226340947,3,1,0.6118889513584057,0.6424004494642106
cka_equal2048,26,0.09098783648542719,0.020444779082337595,4,0,0.6425871262021713,0.7335749626875985
cka_equal2048,27,0.01032234656581521,0.0034438536169527413,3,1,0.542770863822434,0.5663141492346431
cka_equal2048,28,-0.009143000382081268,-0.0007847234568255423,1,3,0.6471480111634966,0.6655462566842605
cka_equal2048,29,0.009970649858620728,0.0025554117582887725,3,1,0.6596063047011527,0.6812679505222138
cka_equal2048,30,0.010772611136740995,0.005425291907017504,2,2,0.630650724947789,0.6633584217444819
cka_equal2048,31,0.00686099586975808,0.0025742344203596003,1,3,0.6607757008148343,0.6752334004464866
cka_equal2048,32,0.006036948653377894,0.0008107704993494558,3,1,0.6038791526893184,0.6128577719825744
cka_equal2048,33,0.014950224651484545,0.0034304799291334565,2,2,0.5996606265435994,0.6174822583714619
cka_equal2048,34,0.007740352082921342,0.0028057443833700234,3,1,0.6133022152538204,0.6283606517720545
cka_equal2048,35,0.0022980488009237687,-0.00032557456366621995,2,2,0.6276379935101305,0.6409056609152441
cka_equal2048,36,0.01964463634553426,0.003889137416778388,3,1,0.570428695733512,0.5900733320790462
neighbors_all_k10,11,-0.04128269656131586,-0.010284628293564125,0,4,0.24389428097023227,0.28517697753154814
neighbors_all_k10,12,0.00642659522608377,0.0009191985840800165,2,2,0.2051220107369449,0.22323997370151213
neighbors_all_k10,13,-0.022325473433695786,-0.005301027118776391,0,4,0.2556575698505523,0.2779830432842481
neighbors_all_k10,14,-0.016637243548916297,-0.0039364903196558885,1,3,0.22351870187018702,0.24473786806196776
neighbors_all_k10,15,0.0035580178516467775,0.0005411921616908066,2,2,0.2704052528983277,0.2783553914024829
neighbors_all_k10,16,0.015493998153277927,0.0020697650559146352,2,2,0.23617933723196885,0.25496665640709965
neighbors_all_k10,17,-0.020057864336355147,-0.0034573863043117882,1,3,0.2319347506351117,0.25199261497146686
neighbors_all_k10,18,-0.0005591464040217708,-0.0014254642454088473,2,2,0.2750754078177901,0.28821175746383504
neighbors_all_k10,19,0.013199958961731817,0.0037221709243869918,3,1,0.27886426592797786,0.2921370678157382
neighbors_all_k10,20,-0.004188275496601779,-0.0008059530371473889,2,2,0.2506244874048038,0.26071816969323897
neighbors_all_k10,21,-0.02386375294962556,-0.006598850928490829,1,3,0.26428849902534113,0.28986457371498925
neighbors_all_k10,22,-0.006328376653616297,-0.0010179463226599461,1,3,0.21802948248518206,0.22556064218725164
neighbors_all_k10,23,-0.023538197075311074,-0.0058488043197997275,1,3,0.26286685063167575,0.2864050477069868
neighbors_all_k10,24,0.006239868677541782,0.002392120652508467,3,1,0.2657268903252283,0.2804596286036729
neighbors_all_k10,25,-0.005695335180488925,-0.0019245825194509792,1,3,0.24909485667341486,0.25698163537498714
neighbors_all_k10,26,0.028662152457166357,0.0065986457371498995,3,1,0.22773571355288807,0.25639786601005443
neighbors_all_k10,27,-0.033349306586968636,-0.008277282218643666,0,4,0.201991134864584,0.23534044145155264
neighbors_all_k10,28,-0.0015030265722786318,-0.0005353442084744086,1,3,0.2946875961834411,0.30532266338360525
neighbors_all_k10,29,-0.020226736431722625,-0.0047376628706268685,1,3,0.28495126705653023,0.30517800348825286
neighbors_all_k10,30,-0.012520775623268643,-0.004043603159946641,1,3,0.27274853801169596,0.2912742382271468
neighbors_all_k10,31,0.0068941534955408446,0.0014241779315183334,2,2,0.2605933596318212,0.2710019392372333
neighbors_all_k10,32,-0.03409703896490526,-0.008671654381376421,1,3,0.23954715924993006,0.2767590027700831
neighbors_all_k10,33,-0.03848002561685587,-0.009541241757046532,0,4,0.18835554915099553,0.2268355747678514
neighbors_all_k10,34,-0.016092740799502347,-0.0032712350883827624,1,3,0.2920123171670515,0.3090982807287657
neighbors_all_k10,35,-0.011868616884783079,-0.0034426481909160755,0,4,0.2817120862201694,0.2935807031049525
neighbors_all_k10,36,0.005923821857953537,0.0007561269581957908,2,2,0.2620559404670259,0.2742273543751603
neighbors_all_k25,11,-0.042892362031306974,-0.010424494973261788,1,3,0.282045772779404,0.324938134810711
neighbors_all_k25,12,0.011068169055810206,0.0015509756159235333,2,2,0.24498519603058402,0.264749506903353
neighbors_all_k25,13,-0.022848993564191122,-0.0053979762948532465,0,4,0.2906318388564003,0.31348083242059144
neighbors_all_k25,14,-0.0220980412353331,-0.0051779338857246724,1,3,0.25793971397139714,0.2816768236380425
neighbors_all_k25,15,0.0020272904483431,0.00048166615368833154,2,2,0.3247665948496974,0.3303387709038679
neighbors_all_k25,16,0.02417728531855956,0.003779993844259766,2,2,0.28110475017954245,0.305282035498102
neighbors_all_k25,17,-0.030000588475526058,-0.005693288108947281,1,3,0.2646153229041316,0.29461591137965765
neighbors_all_k25,18,0.0011925720734584644,-0.0004907766492253995,2,2,0.3242166820560173,0.33150959269518826
neighbors_all_k25,19,0.014703190725351312,0.004075879757874212,4,0,0.32828029137170417,0.3429834820970555
neighbors_all_k25,20,-0.006389836068707078,-0.0017497431447971224,2,2,0.2919501659832064,0.3022218118395404
neighbors_all_k25,21,-0.026089668615984385,-0.007393413357956291,1,3,0.320660305735098,0.3484871242433569
neighbors_all_k25,22,-0.007531732970971039,-0.0010922597213980146,1,3,0.24720126875543574,0.2585172468605945
neighbors_all_k25,23,-0.030773865362344444,-0.007545404198558181,1,3,0.3003651517711325,0.33113901713347693
neighbors_all_k25,24,0.012916794911254748,0.003907212475633526,3,1,0.2994550117985021,0.31857597209397764
neighbors_all_k25,25,-0.0009671643735165714,-0.0010656143450919696,2,2,0.28756175972927245,0.29628357443315895
neighbors_all_k25,26,0.03735590438083514,0.008868000410382692,3,1,0.27252775212886016,0.3098836565096953
neighbors_all_k25,27,-0.03476448923404166,-0.008831412728685761,0,4,0.22396901868465144,0.2587335079186931
neighbors_all_k25,28,0.0031012619267466457,0.00047300707910125084,2,2,0.33839581409664515,0.3530234944085359
neighbors_all_k25,29,-0.016077562326869854,-0.0030345337026777665,1,3,0.33284990253411306,0.3489274648609829
neighbors_all_k25,30,-0.01048773981737966,-0.0036469067405355384,1,3,0.32306596901610757,0.3413427721350159
neighbors_all_k25,31,0.006621124359848907,0.001257779700979156,2,2,0.30931418076872624,0.3180693815987934
neighbors_all_k25,32,-0.03872876387205876,-0.009662416473089585,1,3,0.2744490344248531,0.31671365548373864
neighbors_all_k25,33,-0.04917304867463329,-0.012128794573773184,0,4,0.21675106275668282,0.2659241114313161
neighbors_all_k25,34,-0.0034295079838623788,0.00015708671893122084,1,3,0.3378081460962348,0.3469093148575828
neighbors_all_k25,35,-0.007741339491916854,-0.0029872414677957425,2,2,0.3222688221709007,0.3366585578650244
neighbors_all_k25,36,0.010834239702701087,0.0020949156849589977,2,2,0.2931855273287144,0.30637967667436494
neighbors_all_k50,11,-0.04527987879201123,-0.010863790574635102,1,3,0.3152718807237372,0.3605517595157484
neighbors_all_k50,12,0.013936487452063828,0.0015690393365730305,2,2,0.28146510492923377,0.3032240631163708
neighbors_all_k50,13,-0.02354101879785664,-0.005390373413178895,0,4,0.3194053931124107,0.3429464119102673
neighbors_all_k50,14,-0.026664305645707764,-0.00604206337452109,1,3,0.2889924092409241,0.3156567148866319
neighbors_all_k50,15,0.0013158920693547294,0.0004259156663588892,2,2,0.3749498307171437,0.3785648917615677
neighbors_all_k50,16,0.027431414794295617,0.004048589309531137,3,1,0.31889381348107115,0.3487797270955165
neighbors_all_k50,17,-0.039943404365388624,-0.007920210459700205,1,3,0.2903863707269243,0.3303297750923129
neighbors_all_k50,18,0.008734585000512995,0.0020616394788139925,3,1,0.3611213706781574,0.3698559556786704
neighbors_all_k50,19,0.01746486098286648,0.00446759002770083,4,0,0.37002503334359294,0.3874898943264594
neighbors_all_k50,20,-0.006834288374612363,-0.0015435479385933482,1,3,0.3266404217926186,0.33381635374987173
neighbors_all_k50,21,-0.024189801990355864,-0.006686713860675053,1,3,0.3743369241817996,0.4013930440135427
neighbors_all_k50,22,-0.00893535184395311,-0.0012949791111635967,1,3,0.27142265780876584,0.2871747575902082
neighbors_all_k50,23,-0.04055569330311326,-0.009705237084505481,1,3,0.3310047868446246,0.37156048014773785
neighbors_all_k50,24,0.017346670770493455,0.004833076844157169,3,1,0.3308888888888889,0.35280517082179136
neighbors_all_k50,25,0.0013336598947834566,-0.0008787870900370698,2,2,0.3206652566271856,0.3321204473171232
