outcome,group,endpoint_change,slope,increasing_steps,decreasing_steps,minimum,maximum,model_a,model_b
cka_raw,16,0.01591680005565005,0.004164982516721228,3,1,0.4955553614779959,0.5130666881414782,specter2,simcse
cka_raw,17,0.036390832210490553,0.01049156773596629,3,1,0.5152916692084523,0.5535751269574993,scincl,scibert
cka_raw,18,0.014651143511200115,0.0032576724525608335,2,2,0.5238752831784271,0.5468723932802729,scincl,bert
cka_raw,19,0.02582249949704396,0.006752928793953639,4,0,0.7697812200859715,0.7956037195830155,scincl,mpnet
cka_raw,20,0.03173313007208378,0.008230775043658411,4,0,0.71605275529561,0.7477858853676937,scincl,minilm
cka_raw,21,0.029794157120137277,0.008253145895827773,4,0,0.4869893008208321,0.5167834579409694,scincl,pubmedbert
cka_raw,22,0.026989872559028294,0.006830881963113366,3,1,0.5071886003583808,0.5352367044373715,scincl,biobert
cka_raw,23,0.01567552724211896,0.004111355261877425,4,0,0.5175381373536573,0.5332136645957762,scincl,simcse
cka_raw,24,0.0007192570223150119,-0.0007656331978638242,2,2,0.710276429359814,0.7342757378785536,scibert,bert
cka_raw,25,0.03738890412474993,0.009612411951520483,4,0,0.5065145680594662,0.5439034721842161,scibert,mpnet
cka_raw,26,0.037395200324223166,0.010662723522000895,3,1,0.49266698427024797,0.5346222767469258,scibert,minilm
cka_raw,27,0.019780127460734098,0.004108975098221368,3,1,0.8197827758744075,0.8395629033351416,scibert,pubmedbert
cka_raw,28,-0.0005682137957403466,-0.0017177343154251901,2,2,0.8129826857303788,0.8290236012931499,scibert,biobert
cka_raw,29,0.010710498331319873,0.003389445580586292,2,2,0.6016610940611211,0.6273515726411671,scibert,simcse
cka_raw,30,0.02286272756207508,0.00468500401567915,3,1,0.5374242118501299,0.5656882669994542,bert,mpnet
cka_raw,31,0.019003605818521896,0.004289945154685526,2,2,0.5436743178779738,0.5719859020652036,bert,minilm
cka_raw,32,0.0024993673306303865,-0.00039876656879940243,2,2,0.7312412958656519,0.7488794519225368,bert,pubmedbert
cka_raw,33,-0.004985219069901681,-0.0024867830121519273,2,2,0.756743776300252,0.771641168281968,bert,biobert
cka_raw,34,0.002812185319476468,1.1722371008771049e-05,2,2,0.7637228036633066,0.7780767766841036,bert,simcse
cka_raw,35,0.02375951171384516,0.006171107870389792,4,0,0.8095147930662794,0.8332743047801245,mpnet,minilm
cka_raw,36,0.038251452477916004,0.009495559458345315,4,0,0.4810049855975386,0.5192564380754546,mpnet,pubmedbert
cka_raw,37,0.03293636428244995,0.007416041339624568,4,0,0.5102495516016524,0.5431859158841024,mpnet,biobert
cka_raw,38,0.019486540507613226,0.004893069438013153,3,1,0.5329316794915918,0.552418219999205,mpnet,simcse
cka_raw,39,0.034986972975280084,0.00946068937165263,3,1,0.47351973809101006,0.5088148484325927,minilm,pubmedbert
cka_raw,40,0.0316916721594287,0.00796264897967155,3,1,0.4976692094301727,0.5322950785893088,minilm,biobert
cka_raw,41,0.013930675619934219,0.0036848481334830875,4,0,0.5506994565046953,0.5646301321246295,minilm,simcse
cka_raw,42,-0.0014091157175412095,-0.0017576376600947352,2,2,0.8405706429089346,0.8553287880747996,pubmedbert,biobert
cka_raw,43,0.0036770108830270765,0.0010876089691223,2,2,0.6174695248811287,0.6280713792429644,pubmedbert,simcse
cka_raw,44,-0.002957659435336435,-0.0012455914337468287,2,2,0.620792722898557,0.6358173362494549,biobert,simcse
