population,measure,k,level,selection,recipe,n,mean,median,min,max,p025,p975
all_eligible,neighbors,25,subfield,128,cls,10440,0.4699231920498084,0.4403125,0.2478125,0.8084375,0.309375,0.7134375
all_eligible,neighbors,50,subfield,128,cls,10440,0.6071962853208812,0.588125,0.4184375,0.87,0.47749609374999996,0.7873554687499998
all_eligible,neighbors,10,subfield,128,sep,10440,0.3847699652777778,0.371875,0.09765625,0.75390625,0.190625,0.64140625
all_eligible,neighbors,25,subfield,128,sep,10440,0.4984298670977011,0.4934375,0.220625,0.8084375,0.310625,0.7153203124999999
all_eligible,neighbors,50,subfield,128,sep,10440,0.6273342911877394,0.6265625,0.39453125,0.87,0.47640625,0.7893828125
all_eligible,neighbors,10,subfield,256,mean,9765,0.36991199436763955,0.329296875,0.140234375,0.72109375,0.20234375,0.6198828124999998
all_eligible,neighbors,25,subfield,256,mean,9765,0.4537260784690221,0.419375,0.2140625,0.77046875,0.28704687500000003,0.6813906249999999
all_eligible,neighbors,50,subfield,256,mean,9765,0.537041762672811,0.509609375,0.30703125,0.818828125,0.383203125,0.7346796875
all_eligible,neighbors,10,subfield,256,cls,9765,0.2918153161802355,0.246484375,0.08984375,0.72109375,0.134375,0.595703125
all_eligible,neighbors,25,subfield,256,cls,9765,0.3784592773937532,0.33984375,0.15703125,0.77046875,0.21375,0.6598281249999999
all_eligible,neighbors,50,subfield,256,cls,9765,0.4702248223886329,0.4396875,0.244921875,0.818828125,0.313984375,0.714609375
all_eligible,neighbors,10,subfield,256,sep,9765,0.32702656970046085,0.307421875,0.07265625,0.72109375,0.14140625,0.5968359374999999
all_eligible,neighbors,25,subfield,256,sep,9765,0.41197815860215053,0.40015625,0.13828125,0.77046875,0.218640625,0.6602968749999999
all_eligible,neighbors,50,subfield,256,sep,9765,0.49980116327444957,0.493984375,0.22234375,0.818828125,0.31430468749999996,0.7155390625
all_eligible,neighbors,10,subfield,512,mean,8235,0.3289304179948391,0.2818359375,0.115625,0.694921875,0.170478515625,0.582421875
all_eligible,neighbors,25,subfield,512,mean,8235,0.3959223683211901,0.354140625,0.15734375,0.73046875,0.23116015625,0.6379804687499999
all_eligible,neighbors,50,subfield,512,mean,8235,0.45904769087735275,0.423828125,0.2140234375,0.7596875,0.294703125,0.684224609375
all_eligible,neighbors,10,subfield,512,cls,8235,0.24971318590619312,0.1998046875,0.069921875,0.694921875,0.1009765625,0.5578710937499999
all_eligible,neighbors,25,subfield,512,cls,8235,0.31601196303885853,0.27125,0.108671875,0.73046875,0.15467578125,0.6184609375
all_eligible,neighbors,50,subfield,512,cls,8235,0.3826473797055252,0.343828125,0.1601953125,0.7596875,0.21837499999999999,0.6661777343749999
all_eligible,neighbors,10,subfield,512,sep,8235,0.28668279447480266,0.2638671875,0.0576171875,0.694921875,0.11328125,0.5591796875
all_eligible,neighbors,25,subfield,512,sep,8235,0.35294768897996354,0.335625,0.09625,0.73046875,0.1662265625,0.6186523437499999
