group,field_id,n,mean,median,min,max,p025,p975
2215,22,45,0.6775834345843381,0.6570514846048594,0.48631399651959334,0.8932489884727746,0.4900296681096575,0.8860645537376642
2302,23,45,0.8149502225229458,0.8001862585410392,0.6981673549881596,0.9420208500096331,0.709378723427729,0.9361559939536259
2303,23,45,0.673386145839291,0.6283872546048618,0.5052316845532466,0.8821582638999439,0.5383467849943762,0.866010240576247
2304,23,45,0.6651995395850712,0.6192538142365356,0.47149104755431254,0.8772127179268809,0.5096271647721181,0.8637388695776826
2305,23,45,0.6374228464705632,0.5641182991331875,0.4893774153817056,0.8721784408102414,0.5005451223104213,0.8434406033731909
2306,23,45,0.6990439500098345,0.6430645642292547,0.5527089283102532,0.8777955541408999,0.576837443398906,0.8674183478660042
2307,23,45,0.648480681625083,0.5720215474985587,0.47646827193195357,0.8709035704229321,0.48975401435905325,0.8623748772148657
2308,23,45,0.5949360411247528,0.5460727307507224,0.3889334446854048,0.8512975963393449,0.39356576323051257,0.8147012068994445
2309,23,45,0.7045055724701064,0.6569131711854913,0.5742709147730601,0.8982820206336316,0.5787767418493422,0.8927886385156453
2310,23,45,0.6359093493146585,0.5667821229431862,0.47128519922317325,0.8675036699872507,0.47357488477779014,0.8533386317716579
2311,23,45,0.6257809551017431,0.5822520175689863,0.430672896519394,0.8431557496270466,0.46060119467513766,0.83962522743035
2312,23,45,0.6519869071042632,0.6126272860790929,0.4375527167239855,0.890287493617854,0.4548511712484267,0.8797333344187666
2402,24,45,0.6217554343344016,0.5417277583662772,0.448761328750733,0.8631898474852902,0.45206585887280915,0.8563502224799635
2403,24,45,0.5639052450083064,0.5122549140219502,0.3027948226216289,0.8546920943728475,0.3370150629295295,0.8526902193405888
2404,24,45,0.6326776470768769,0.5655151808962147,0.4247281890923665,0.8754954095951893,0.4802046436023975,0.8586697020369837
2405,24,45,0.5938100163361317,0.5676027119416688,0.36209066237835846,0.8604209637080118,0.410545442622949,0.849525264324926
2406,24,45,0.6865416258884112,0.6466094460629966,0.46446629752217883,0.9061103480924192,0.5143359804673698,0.8896169837446164
2502,25,45,0.6489815015465535,0.6038277746619876,0.4926862932012624,0.8643026769873592,0.49539662953412633,0.8451464960804214
2503,25,45,0.6097736920276188,0.5500698622538635,0.4422020377061921,0.8595076585293561,0.451194412364046,0.8554026932889732
2504,25,45,0.6600016223333259,0.6367841723552792,0.4776912643001622,0.8773640556613134,0.5023826600407862,0.8716391461966033
2505,25,45,0.6268447176929914,0.5825869440355991,0.4471744296321791,0.8552527778825304,0.4914399209540575,0.8532206170262708
2507,25,45,0.6588984677064548,0.6146313768490312,0.5251867623228481,0.856846704567818,0.5410050812175325,0.8484333177134357
2508,25,45,0.7140755366932879,0.6864225620314982,0.5428555881279898,0.8933576225496531,0.5663986660770445,0.88843305344523
2602,26,45,0.49060328796459224,0.42349493359293344,0.15461359725543555,0.8873099469546221,0.17645478917578178,0.8677481956374973
2604,26,45,0.712993956236582,0.6793374269367479,0.540884053437409,0.9123975189928506,0.5430341990824858,0.8934896883526793
2607,26,45,0.6257421742712026,0.6241697245580275,0.3360547479118523,0.8933009993077274,0.3414675945667512,0.8544202131904861
2608,26,45,0.5369499540773978,0.5334367811319306,0.2549670892604471,0.8519268893428399,0.26200020031928317,0.8374747643570564
2610,26,45,0.5599201901776525,0.5330302072020998,0.26079295618384757,0.8732897880036913,0.26742198826973174,0.8437260303485363
2611,26,45,0.8121498369686341,0.7890454418582511,0.7194097042573402,0.9381758999219791,0.7324962211995076,0.9299698352959774
2612,26,45,0.5239281219583911,0.5246880026652975,0.2761970661531991,0.8557201432860816,0.2833130989737861,0.8095678207762548
2613,26,45,0.6692377777566136,0.6132673719739933,0.5357790058729365,0.88547442206052,0.5434943891106593,0.8529864370781116
2703,27,45,0.5911549258261031,0.5090783558036308,0.3591437843396566,0.8813399469120363,0.37516228697250753,0.8740242115465314
2704,27,45,0.7496101086587612,0.7021062528868439,0.5739849253422434,0.9426019932379123,0.6145736338569179,0.9298008627162597
2705,27,45,0.5690322260094401,0.4792502191172742,0.359543868169819,0.8705716708897266,0.36124638731561953,0.8696523507825547
2706,27,45,0.556641847356493,0.4317308948798678,0.3170152844851373,0.8670494429530746,0.3272672621384233,0.866364815515968
2707,27,45,0.5693990005121446,0.5013059069991647,0.3506597110063528,0.8775366949962518,0.3623041079459629,0.857041514602784
2708,27,45,0.6031659543703562,0.5299629636707145,0.43001249368775113,0.8513437477678255,0.4399583525504434,0.8468476062973016
2711,27,45,0.6021860933542061,0.5382559028190352,0.38444395068966153,0.8675403672812358,0.38596949668972885,0.8623711264194723
2712,27,45,0.5863821833838324,0.4698019885864382,0.35637877311386135,0.8845177896203072,0.37532084608537175,0.8800439733600406
2713,27,45,0.6011086212984931,0.5219320687697258,0.4157790368995576,0.8778224927483924,0.4208856760552523,0.8563886471043963
2715,27,45,0.5955830936357916,0.5184341767186319,0.39402903729802746,0.8763506321567914,0.39511155835450823,0.8549042845661635
2716,27,45,0.6276880059860869,0.5965583268787439,0.37046380142859725,0.8887225800857522,0.3903919069419836,0.8801064347473296
2717,27,45,0.7244572485941785,0.698548631693482,0.5451995621429492,0.9280173099005234,0.5482293599689689,0.9144030968342189
2720,27,45,0.5916563870783363,0.5378356562731141,0.3327731075012401,0.867605599691594,0.34689095212263676,0.8658016868417803
2721,27,45,0.5937824464951683,0.5125863534377322,0.3842659204001891,0.875530574488813,0.397762962073713,0.864165064774733
2723,27,45,0.7261977542947909,0.6909090364344597,0.5810681625569262,0.9180263573104166,0.5873322236212032,0.915052190765066
2724,27,45,0.5383121405594129,0.42575136727493357,0.31286755234058283,0.8628660835371338,0.32665429929962614,0.8596349391782203
2725,27,45,0.5891094528141723,0.5167178960166342,0.387328041406724,0.8622797401000339,0.4031495717162988,0.8447285716922299
2727,27,45,0.5264531950838209,0.4061647093756145,0.2805151440078606,0.8728928415053743,0.3062296585631627,0.8352030128903096
2728,27,45,0.6077196935952476,0.5255264652145087,0.4192516652669798,0.8798085279815799,0.42873134203330476,0.8692161809356398
2729,27,45,0.632170017669348,0.5530581991544739,0.41264817175208535,0.9029236688437619,0.4215438310905645,0.8879392645975949
2730,27,45,0.6412276076119838,0.5884163806096357,0.4536401055528508,0.8856970753473492,0.479220785903362,0.8752379024144898
2731,27,45,0.5613057191043513,0.46985738282828254,0.3617450916126531,0.8621782149685561,0.37171074693768635,0.8454481966327926
2732,27,45,0.6477564578723589,0.5850524628685525,0.4812275805375318,0.9026621577033838,0.48154985759459057,0.8788729050944308
2733,27,45,0.6015464761465099,0.5357470994028282,0.3647717847577732,0.9099236594520861,0.365599710698877,0.9029191858498006
2734,27,45,0.6328153025955809,0.550221572887849,0.4503771090974595,0.8789042641179045,0.45589003257126476,0.8755663861477666
2735,27,45,0.5913662012180467,0.5169039052718489,0.39090094843552514,0.8506913158447154,0.3937237134926856,0.8323286862113833
2736,27,45,0.6739178353119871,0.6235900565305748,0.5264351394503464,0.8859647856397903,0.5298850807982023,0.8798086561168548
2737,27,45,0.6010076759428172,0.5269317661834728,0.39105316488276914,0.8671604059769795,0.3922191300694774,0.8528935121243244
2738,27,45,0.5602264926992193,0.4454120452435344,0.34810136161107086,0.8522141139483207,0.35685951093186374,0.8448076743070659
2739,27,45,0.6165284635075511,0.5266822056527135,0.41385794873050324,0.8652728973148232,0.41671763635437814,0.8518314630101395
2740,27,45,0.5635672622437506,0.4573346949736961,0.3566572464850698,0.8619053997700769,0.35973796770944094,0.8569620230341601
2741,27,45,0.6174328389760705,0.5494739922899436,0.41849894691751494,0.8762647717237778,0.4288977032564702,0.8657982359787973
2742,27,45,0.6557441015953904,0.5828013510213337,0.4443069634686201,0.9248169243635223,0.4552674746499269,0.9048867643453381
2743,27,45,0.6468131453606105,0.5873246996443077,0.4500518642995982,0.8886246882237427,0.46121969340245217,0.8827024902651901
