field_id,metric,model,input_condition,effect26k,effect52k,difference,sign_changed
13,neighbors25,scibert,title,-0.13965777777777766,-0.15179555555555546,-0.012137777777777803,False
13,neighbors25,scibert,abstract,0.5021822222222223,0.5149244444444445,0.01274222222222221,False
13,neighbors25,bert,title,-0.0958133333333333,-0.10805777777777781,-0.012244444444444502,False
13,neighbors25,bert,abstract,0.5281466666666667,0.5394622222222221,0.011315555555555412,False
13,neighbors25,mpnet,title,0.1525066666666668,0.13456666666666672,-0.017940000000000067,False
13,neighbors25,mpnet,abstract,0.4785466666666668,0.4883666666666667,0.00981999999999994,False
13,neighbors25,minilm,title,0.09843555555555572,0.09049555555555555,-0.00794000000000017,False
13,neighbors25,minilm,abstract,0.4393555555555556,0.44797555555555557,0.008619999999999961,False
13,neighbors25,pubmedbert,title,-0.09332000000000007,-0.10138000000000003,-0.008059999999999956,False
13,neighbors25,pubmedbert,abstract,0.52692,0.5368599999999999,0.009939999999999838,False
13,neighbors25,biobert,title,-0.12480888888888897,-0.13061777777777772,-0.005808888888888752,False
13,neighbors25,biobert,abstract,0.4851511111111111,0.4981822222222222,0.013031111111111104,False
13,neighbors25,simcse,title,-0.06176888888888876,-0.07358888888888881,-0.011820000000000053,False
13,neighbors25,simcse,abstract,0.48391111111111107,0.4865711111111112,0.0026600000000001067,False
14,cka,specter,title,0.17371421432126832,0.16929085755208811,-0.004423356769180209,False
14,cka,specter,abstract,0.38652418720370174,0.38714878947257886,0.0006246022688771169,False
14,cka,specter2,title,0.16548240437417527,0.1649095655359228,-0.0005728388382524874,False
14,cka,specter2,abstract,0.33742833432216335,0.338921891861425,0.0014935575392616696,False
14,cka,scincl,title,0.13326611060833488,0.1341641927727582,0.0008980821644233306,False
14,cka,scincl,abstract,0.37688756302021836,0.38265657715501494,0.0057690141347965795,False
14,cka,scibert,title,-0.18951040575353434,-0.18839647410997784,0.0011139316435564983,False
14,cka,scibert,abstract,0.4049216582706667,0.4045431143092483,-0.0003785439614183983,False
14,cka,bert,title,-0.182599465702309,-0.1747008991889722,0.007898566513336813,False
14,cka,bert,abstract,0.38887046264334013,0.3935118516320895,0.004641388988749384,False
14,cka,mpnet,title,0.1713302588971244,0.17098420984137397,-0.0003460490557504192,False
14,cka,mpnet,abstract,0.3716861217029477,0.3729433064565706,0.0012571847536229086,False
14,cka,minilm,title,0.12266971623826872,0.12095417988674467,-0.0017155363515240496,False
14,cka,minilm,abstract,0.3794332286823924,0.38135073314650686,0.0019175044641144834,False
14,cka,pubmedbert,title,-0.22303749553946106,-0.21417034614969865,0.008867149389762408,False
14,cka,pubmedbert,abstract,0.4341318815152686,0.4311156542418665,-0.0030162272734021167,False
14,cka,biobert,title,-0.2996145378228917,-0.2878875272731002,0.011727010549791528,False
14,cka,biobert,abstract,0.4003889073883218,0.3904670625944361,-0.009921844793885692,False
14,cka,simcse,title,-0.11496071203405972,-0.10839055794370012,0.006570154090359603,False
14,cka,simcse,abstract,0.41265946127190006,0.4143953608948674,0.0017358996229673296,False
14,rsa,specter,title,0.18722037172355466,0.18917372412826705,0.001953352404712394,False
14,rsa,specter,abstract,0.43267362576168666,0.433122048823639,0.00044842306195236326,False
14,rsa,specter2,title,0.19906012527731465,0.2175505339368745,0.018490408659559865,False
14,rsa,specter2,abstract,0.41968816500838113,0.42033451808883404,0.0006463530804529105,False
14,rsa,scincl,title,0.20428433241570976,0.21297984865044917,0.008695516234739409,False
14,rsa,scincl,abstract,0.45964765048561806,0.47540149139900345,0.015753840913385386,False
14,rsa,scibert,title,-0.24015760818805937,-0.22754282096985506,0.012614787218204304,False
14,rsa,scibert,abstract,0.428749697217708,0.4341411525388568,0.005391455321148819,False
14,rsa,bert,title,-0.10386651452300177,-0.0998716585726771,0.003994855950324672,False
14,rsa,bert,abstract,0.40400332957967244,0.41005884491814726,0.006055515338474815,False
14,rsa,mpnet,title,0.19086571738099828,0.19308285292620353,0.002217135545205251,False
14,rsa,mpnet,abstract,0.38912069066662996,0.38979086708498567,0.0006701764183557057,False
14,rsa,minilm,title,0.14216441476274627,0.1451494742052088,0.002985059442462523,False
14,rsa,minilm,abstract,0.3924406666074339,0.3893084759306052,-0.0031321906768286834,False
14,rsa,pubmedbert,title,-0.16329613621373917,-0.194525590279981,-0.031229454066241835,False
14,rsa,pubmedbert,abstract,0.44019306519397916,0.44177762237727985,0.0015845571833006944,False
14,rsa,biobert,title,-0.25812995428982477,-0.2528195398172149,0.005310414472609881,False
14,rsa,biobert,abstract,0.4140542868811379,0.41885834475498124,0.004804057873843359,False
14,rsa,simcse,title,-0.031036338725588364,-0.0256770887838616,0.0053592499417267625,False
14,rsa,simcse,abstract,0.44586204092265874,0.44041923062938043,-0.005442810293278311,False
14,neighbors25,specter,title,0.07383111111111107,0.0610666666666666,-0.012764444444444467,False
14,neighbors25,specter,abstract,0.39463111111111115,0.3953466666666666,0.0007155555555554693,False
14,neighbors25,specter2,title,0.1132088888888888,0.09377999999999997,-0.01942888888888883,False
14,neighbors25,specter2,abstract,0.36512888888888884,0.36704000000000003,0.0019111111111111967,False
14,neighbors25,scincl,title,0.08619111111111111,0.08272000000000013,-0.0034711111111109805,False
14,neighbors25,scincl,abstract,0.44627111111111106,0.4533800000000001,0.007108888888889053,False
14,neighbors25,scibert,title,-0.14911555555555556,-0.1546333333333333,-0.005517777777777733,False
14,neighbors25,scibert,abstract,0.5263644444444444,0.5348066666666668,0.00844222222222235,False
