subfield_id,field_id,repeat,k,subfield,field,subfield_minus_field
1502,15,9,25,0.3893866666666667,0.4330133333333333,-0.04362666666666659
1502,15,0,50,0.4829688888888889,0.5215022222222223,-0.03853333333333342
1502,15,1,50,0.48552888888888895,0.5336888888888889,-0.048159999999999925
1502,15,2,50,0.49254222222222227,0.5396977777777778,-0.04715555555555556
1502,15,3,50,0.48816000000000004,0.5306577777777779,-0.042497777777777856
1502,15,4,50,0.49172444444444446,0.5342133333333333,-0.042488888888888854
1502,15,5,50,0.49613333333333337,0.5191555555555555,-0.02302222222222211
1502,15,6,50,0.4831999999999999,0.5383733333333334,-0.05517333333333346
1502,15,7,50,0.48272,0.5268622222222222,-0.04414222222222225
1502,15,8,50,0.4912533333333333,0.5369511111111112,-0.04569777777777784
1502,15,9,50,0.4844355555555555,0.5343822222222222,-0.049946666666666695
1503,15,0,10,0.36537777777777775,0.39,-0.024622222222222268
1503,15,1,10,0.36306666666666665,0.3925777777777778,-0.029511111111111155
1503,15,2,10,0.3723111111111111,0.3751555555555555,-0.0028444444444444272
1503,15,3,10,0.37359999999999993,0.35839999999999994,0.015199999999999991
1503,15,4,10,0.3554222222222222,0.3679111111111111,-0.012488888888888883
1503,15,5,10,0.37079999999999996,0.3749777777777778,-0.004177777777777836
1503,15,6,10,0.3440444444444444,0.3898666666666667,-0.04582222222222232
1503,15,7,10,0.35315555555555556,0.39168888888888886,-0.03853333333333331
1503,15,8,10,0.3594222222222222,0.3661777777777779,-0.006755555555555681
1503,15,9,10,0.35391111111111107,0.3857777777777778,-0.03186666666666671
1503,15,0,25,0.4584,0.48732444444444445,-0.028924444444444475
1503,15,1,25,0.46067555555555556,0.4850488888888889,-0.024373333333333358
1503,15,2,25,0.45745777777777774,0.4938666666666666,-0.03640888888888888
1503,15,3,25,0.4635733333333333,0.46867555555555557,-0.005102222222222286
1503,15,4,25,0.4561244444444445,0.4701866666666667,-0.014062222222222198
1503,15,5,25,0.4540266666666667,0.4804088888888889,-0.026382222222222196
1503,15,6,25,0.4444622222222222,0.48833777777777776,-0.04387555555555556
1503,15,7,25,0.4542400000000001,0.4963555555555556,-0.04211555555555552
1503,15,8,25,0.4558755555555555,0.49312,-0.037244444444444524
1503,15,9,25,0.45776000000000006,0.4734044444444445,-0.01564444444444446
1503,15,0,50,0.5527555555555557,0.5694488888888889,-0.016693333333333227
1503,15,1,50,0.5499999999999998,0.5704266666666666,-0.020426666666666815
1503,15,2,50,0.5490755555555555,0.5790044444444444,-0.029928888888888894
1503,15,3,50,0.5540800000000001,0.5627022222222223,-0.008622222222222198
1503,15,4,50,0.55304,0.5640711111111112,-0.011031111111111214
1503,15,5,50,0.5475377777777778,0.5594577777777778,-0.011920000000000042
1503,15,6,50,0.544968888888889,0.5515644444444444,-0.006595555555555466
1503,15,7,50,0.5529777777777778,0.5764444444444444,-0.023466666666666636
1503,15,8,50,0.5545777777777778,0.5759288888888888,-0.021351111111110987
1503,15,9,50,0.5526311111111111,0.5688711111111112,-0.016240000000000143
1504,15,0,10,0.3940000000000001,0.4758222222222222,-0.08182222222222213
1504,15,1,10,0.38551111111111114,0.48773333333333335,-0.10222222222222221
1504,15,2,10,0.38808888888888887,0.4770222222222222,-0.08893333333333331
1504,15,3,10,0.3924444444444445,0.4891111111111111,-0.09666666666666662
1504,15,4,10,0.3862666666666667,0.4744888888888889,-0.0882222222222222
1504,15,5,10,0.3884444444444445,0.4784444444444445,-0.09000000000000002
1504,15,6,10,0.37648888888888893,0.46222222222222215,-0.08573333333333322
1504,15,7,10,0.3896888888888889,0.4825777777777778,-0.09288888888888891
1504,15,8,10,0.3930222222222222,0.4868888888888889,-0.09386666666666671
1504,15,9,10,0.3894222222222222,0.4776888888888889,-0.08826666666666666
1504,15,0,25,0.4449600000000001,0.5661511111111112,-0.12119111111111108
1504,15,1,25,0.43980444444444444,0.5650488888888888,-0.12524444444444438
1504,15,2,25,0.4448888888888889,0.5677333333333334,-0.12284444444444453
