subfield_id,corpus_rows,small_n,large_n,model_a,model_b,repeats,median_small,median_large,median_size_change,central95_width,passes_operational_screen,large_sample_equals_whole_group
1110,7547,256,512,scincl,bert,20,0.5432745469699378,0.5442808238103519,0.0010062768404140998,0.05535029583519424,False,False
1110,7547,256,512,scincl,pubmedbert,20,0.502634254476301,0.49687477864108964,0.005759475835211303,0.07610779784720068,False,False
1110,7547,256,512,scincl,biobert,20,0.5385254014601069,0.5270329042598125,0.011492497200294327,0.11781376204600036,False,False
1110,7547,256,512,scibert,pubmedbert,20,0.8419908284617816,0.8397703262514538,0.0022205022103278793,0.043581647081468056,False,False
1110,7547,256,512,scibert,biobert,20,0.8425749084287182,0.8340707499633787,0.008504158465339473,0.07354349713486763,False,False
1110,7547,256,512,bert,mpnet,20,0.5580559030364014,0.5592680226339288,0.001212119597527428,0.05920502869868416,False,False
1110,7547,256,512,bert,minilm,20,0.5710605036810078,0.5683084000975307,0.0027521035834771057,0.05464601524788182,False,False
1110,7547,256,512,bert,pubmedbert,20,0.7068836022162864,0.7052554725764819,0.0016281296398045209,0.05147996556948509,False,False
1110,7547,256,512,bert,biobert,20,0.7425590708193277,0.7409716411982086,0.0015874296211191297,0.06383673026068382,False,False
1110,7547,256,512,mpnet,pubmedbert,20,0.49843022266834497,0.49740406623673683,0.0010261564316081384,0.07112166407815301,False,False
1110,7547,256,512,mpnet,biobert,20,0.5386192827722721,0.5329927331901283,0.005626549582143814,0.11056783283407096,False,False
1110,7547,256,512,minilm,pubmedbert,20,0.4785939151734153,0.4758279503116618,0.0027659648617535115,0.06359921346682684,False,False
1110,7547,256,512,minilm,biobert,20,0.5192504378675616,0.5144220268815859,0.004828410985975751,0.10361498283328052,False,False
1110,7547,256,512,pubmedbert,biobert,20,0.8447105943328316,0.8454222353960416,0.0007116410632099779,0.044304326686465556,False,False
1110,7547,256,512,pubmedbert,simcse,20,0.5909029489860922,0.5840428180357748,0.006860130950317345,0.04872301250646549,False,False
1110,7547,256,512,biobert,simcse,20,0.6010244447163866,0.5972882440310772,0.003736200685309443,0.07058831924622377,False,False
1111,1162,256,512,specter,scibert,20,0.6403616646494381,0.651213940908923,0.010852276259484928,0.047018437765999344,False,False
1111,1162,256,512,specter,bert,20,0.6511767011225351,0.6569629637200038,0.005786262597468728,0.05007545891094933,False,False
