raw: Field 17, 2000, n=3,310, 1.6s
raw: Field 17, 2005, n=5,594, 2.1s
raw: Field 17, 2010, n=7,094, 2.3s
raw: Field 17, 2015, n=6,858, 2.2s
raw: Field 17, 2020, n=9,972, 2.8s
raw: Field 18, 2000, n=2,166, 1.4s
raw: Field 18, 2005, n=2,166, 1.5s
raw: Field 18, 2010, n=2,166, 1.4s
raw: Field 18, 2015, n=2,166, 1.5s
raw: Field 18, 2020, n=2,166, 1.4s
raw: Field 19, 2000, n=2,166, 1.4s
raw: Field 19, 2005, n=2,166, 1.4s
raw: Field 19, 2010, n=2,166, 1.4s
raw: Field 19, 2015, n=2,166, 1.4s
raw: Field 19, 2020, n=2,166, 1.5s
raw: Field 20, 2000, n=2,166, 1.4s
raw: Field 20, 2005, n=2,166, 1.6s
raw: Field 20, 2010, n=2,166, 1.6s
raw: Field 20, 2015, n=2,166, 1.4s
raw: Field 20, 2020, n=2,845, 1.5s
raw: Field 21, 2000, n=2,166, 1.5s
raw: Field 21, 2005, n=2,166, 1.4s
raw: Field 21, 2010, n=2,166, 1.5s
raw: Field 21, 2015, n=2,166, 1.4s
raw: Field 21, 2020, n=2,166, 1.4s
raw: Field 22, 2000, n=6,990, 2.2s
raw: Field 22, 2005, n=11,310, 3.2s
raw: Field 22, 2010, n=15,203, 3.9s
raw: Field 22, 2015, n=14,738, 3.6s
raw: Field 22, 2020, n=18,907, 4.9s
raw: Field 23, 2000, n=2,166, 1.7s
raw: Field 23, 2005, n=2,876, 1.9s
raw: Field 23, 2010, n=4,005, 1.9s
raw: Field 23, 2015, n=4,018, 2.3s
raw: Field 23, 2020, n=5,919, 2.2s
raw: Field 24, 2000, n=2,166, 1.7s
raw: Field 24, 2005, n=2,166, 1.6s
raw: Field 24, 2010, n=2,166, 1.5s
raw: Field 24, 2015, n=2,166, 1.4s
raw: Field 24, 2020, n=2,166, 1.4s
raw: Field 25, 2000, n=2,166, 1.4s
raw: Field 25, 2005, n=2,166, 1.4s
raw: Field 25, 2010, n=2,962, 1.6s
raw: Field 25, 2015, n=3,152, 1.6s
raw: Field 25, 2020, n=3,787, 1.8s
raw: Field 26, 2000, n=2,166, 1.4s
raw: Field 26, 2005, n=2,166, 1.4s
raw: Field 26, 2010, n=2,166, 1.4s
raw: Field 26, 2015, n=2,166, 1.4s
raw: Field 26, 2020, n=2,166, 1.4s
raw: Field 27, 2000, n=7,128, 2.3s
raw: Field 27, 2005, n=10,946, 3.1s
raw: Field 27, 2010, n=15,771, 3.9s
raw: Field 27, 2015, n=18,629, 4.6s
raw: Field 27, 2020, n=26,195, 10.3s
raw: Field 28, 2000, n=2,166, 1.7s
raw: Field 28, 2005, n=2,166, 1.6s
raw: Field 28, 2010, n=2,166, 1.9s
raw: Field 28, 2015, n=2,166, 1.5s
raw: Field 28, 2020, n=2,166, 1.5s
raw: Field 29, 2000, n=2,166, 1.5s
raw: Field 29, 2005, n=2,166, 1.4s
raw: Field 29, 2010, n=2,166, 1.6s
raw: Field 29, 2015, n=2,166, 1.4s
raw: Field 29, 2020, n=2,166, 1.5s
raw: Field 30, 2000, n=2,166, 1.5s
raw: Field 30, 2005, n=2,166, 1.5s
raw: Field 30, 2010, n=2,166, 1.4s
raw: Field 30, 2015, n=2,166, 1.5s
raw: Field 30, 2020, n=2,166, 1.4s
raw: Field 31, 2000, n=2,166, 1.5s
raw: Field 31, 2005, n=2,704, 1.9s
raw: Field 31, 2010, n=3,094, 1.7s
raw: Field 31, 2015, n=3,388, 1.8s
raw: Field 31, 2020, n=3,470, 2.0s
raw: Field 32, 2000, n=2,166, 1.7s
raw: Field 32, 2005, n=2,166, 1.5s
raw: Field 32, 2010, n=2,166, 1.8s
raw: Field 32, 2015, n=2,577, 1.5s
raw: Field 32, 2020, n=3,970, 1.9s
raw: Field 33, 2000, n=2,776, 1.7s
raw: Field 33, 2005, n=4,893, 2.1s
raw: Field 33, 2010, n=7,110, 2.5s
raw: Field 33, 2015, n=8,891, 2.7s
raw: Field 33, 2020, n=13,879, 3.8s
raw: Field 34, 2000, n=2,166, 1.5s
raw: Field 34, 2005, n=2,166, 1.4s
raw: Field 34, 2010, n=2,165, 1.4s
raw: Field 34, 2015, n=2,165, 1.5s
raw: Field 34, 2020, n=2,165, 1.5s
raw: Field 35, 2000, n=2,165, 1.4s
raw: Field 35, 2005, n=2,165, 1.5s
raw: Field 35, 2010, n=2,165, 1.4s
raw: Field 35, 2015, n=2,165, 1.4s
raw: Field 35, 2020, n=2,165, 1.4s
raw: Field 36, 2000, n=2,165, 1.5s
raw: Field 36, 2005, n=2,165, 1.5s
raw: Field 36, 2010, n=2,165, 1.5s
raw: Field 36, 2015, n=2,165, 1.5s
raw: Field 36, 2020, n=2,833, 1.7s
cls: Field 11, 2000, n=2,166, 17.2s
cls: Field 11, 2005, n=2,528, 1.6s
cls: Field 11, 2010, n=3,940, 2.1s
cls: Field 11, 2015, n=4,298, 2.0s
cls: Field 11, 2020, n=6,491, 2.3s
cls: Field 12, 2000, n=2,166, 1.5s
cls: Field 12, 2005, n=2,166, 1.6s
cls: Field 12, 2010, n=2,186, 1.5s
cls: Field 12, 2015, n=2,732, 1.6s
cls: Field 12, 2020, n=3,380, 1.7s
cls: Field 13, 2000, n=2,739, 1.5s
cls: Field 13, 2005, n=4,071, 1.8s
cls: Field 13, 2010, n=5,251, 1.9s
cls: Field 13, 2015, n=5,596, 2.4s
cls: Field 13, 2020, n=6,840, 2.0s
cls: Field 14, 2000, n=2,166, 1.4s
cls: Field 14, 2005, n=2,166, 1.4s
cls: Field 14, 2010, n=2,186, 1.5s
cls: Field 14, 2015, n=2,660, 1.5s
cls: Field 14, 2020, n=4,040, 1.7s
cls: Field 15, 2000, n=2,166, 1.4s
cls: Field 15, 2005, n=2,166, 1.6s
cls: Field 15, 2010, n=2,166, 1.4s
cls: Field 15, 2015, n=2,166, 1.4s
cls: Field 15, 2020, n=2,166, 1.4s
cls: Field 16, 2000, n=2,166, 1.4s
cls: Field 16, 2005, n=2,166, 1.4s
cls: Field 16, 2010, n=2,166, 1.4s
