model,field_id,repeat,angle_p50_observed,pr_observed,gap_25_observed,connect_ratio90_50_observed,angle_p50_gaussian,pr_gaussian,gap_25_gaussian,connect_ratio90_50_gaussian,gap_excess_observed_minus_reference,spread_reference_relative_error,pr_reference_relative_error
minilm,16,0,80.96575424060119,64.92514244348602,0.11987293704211605,1.093454054815871,80.35659948786285,68.73464882365023,0.2479381612548858,1.06521657902323,-0.12806522421276975,-0.007523609931776143,0.0586753642239628
minilm,16,1,80.96575424060119,64.92514244348602,0.11987293704211605,1.093454054815871,80.26432575318387,67.89175838378756,0.258577453571224,1.0627742770044484,-0.13870451652910798,-0.008663273676583372,0.04569286764189728
minilm,16,2,80.96575424060119,64.92514244348602,0.11987293704211605,1.093454054815871,80.51699154925103,66.30390989623778,0.23888145765311078,1.0662036690194863,-0.11900852061099473,-0.005542623490131349,0.021236263808768863
minilm,17,0,87.13767465270382,81.39999016401131,0.11449109468117255,1.077075517821003,86.29213154538506,79.39652198557926,0.2734868283365173,1.0391051002590461,-0.15899573365534472,-0.009703530771147606,-0.024612634158742597
minilm,17,1,87.13767465270382,81.39999016401131,0.11449109468117255,1.077075517821003,86.17608187208211,80.33027998274129,0.286798152073753,1.0367209198083402,-0.17230705739258043,-0.011035327537190276,-0.013141404306249771
minilm,17,2,87.13767465270382,81.39999016401131,0.11449109468117255,1.077075517821003,86.30853135115804,75.40122708603056,0.25182495858764264,1.0405149605623536,-0.1373338639064701,-0.009515325085853177,-0.07369488701281113
minilm,18,0,85.368983867758,75.08626329025545,0.11779319488274101,1.0688629634449496,84.43259031788479,75.10599763952334,0.26958834229450646,1.0440952483917116,-0.15179514741176545,-0.010968779379215143,0.0002628223646128358
minilm,18,1,85.368983867758,75.08626329025545,0.11779319488274101,1.0688629634449496,84.5319701045664,74.31567429090913,0.2575445693010238,1.0449560691376614,-0.1397513744182828,-0.009804658849965842,-0.01026271604923934
minilm,18,2,85.368983867758,75.08626329025545,0.11779319488274101,1.0688629634449496,84.60883809469715,74.06214936513757,0.27478460911497754,1.0414133162040176,-0.15699141423223653,-0.00890423826806197,-0.013639164878388343
minilm,19,0,81.66237670818991,58.21728034247747,0.10803829995317822,1.1116470518210966,81.0368317131492,59.67488580591879,0.2300475079017711,1.0755902576174283,-0.12200920794859287,-0.007660137020944369,0.02503733350075099
minilm,19,1,81.66237670818991,58.21728034247747,0.10803829995317822,1.1116470518210966,80.83244506195949,61.64006460675961,0.2423218284081415,1.0660214509200665,-0.13428352845496327,-0.010162962182647117,0.05879326969839127
