metric,model,field_id,first,last,change,half_sample_median_change,half_q05,half_q95,same_sign_repeats
angle_p50,mpnet,24,78.55588164303413,80.74909916987724,2.1932175268431138,2.0513810220381927,1.9087120008743512,2.7907952456357172,10
angle_p50,mpnet,25,80.94923708759835,80.66068471594187,-0.28855237165647907,-0.21190848399739792,-0.9726094386218975,0.27373352399591366,8
angle_p50,mpnet,26,85.70575751666465,86.69237786698675,0.9866203503220987,0.8976697860714538,0.5425495986082076,1.1485239174079538,10
angle_p50,mpnet,27,84.81090959798469,84.51000515710733,-0.30090444087736046,-0.2079925077363569,-0.7246955767156912,0.12177581220618085,8
angle_p50,mpnet,28,81.6435214841128,83.00185503608886,1.3583335519760595,1.4492266193577237,1.183547741786505,1.7277529026441971,10
angle_p50,mpnet,29,82.32784952976698,80.54361325925119,-1.784236270515791,-1.6717610930063032,-2.2307169526051127,-0.7621852213126441,10
angle_p50,mpnet,30,78.36663713836131,78.5037873068604,0.13715016849909034,-0.10778531530850444,-0.596676540752847,0.9740080892994436,5
angle_p50,mpnet,31,82.77753831950064,84.36866297968193,1.5911246601812934,1.482173515148169,1.157142814301269,2.2663359644676,10
angle_p50,mpnet,32,82.93952363725131,80.57443031455652,-2.36509332269479,-2.177503089265933,-2.7183197405523587,-1.7051783457329472,10
angle_p50,mpnet,33,83.44243498800436,81.15482366360297,-2.2876113244013965,-2.29815207908873,-2.6975590829070177,-1.551401622090208,10
angle_p50,mpnet,34,77.31102010544298,77.7178123833425,0.40679227789952677,0.13379662144961202,-0.2832033711285618,0.9422787852789225,6
angle_p50,mpnet,35,69.8541234935225,69.36280154414158,-0.491321949380918,-0.17021699429259485,-1.026854611296813,0.9266495094652483,6
angle_p50,mpnet,36,80.79230065307762,80.50500711499065,-0.28729353808697056,-0.2951693519366003,-0.5790925693161683,0.28776596517888026,8
angle_p50,minilm,11,81.98648754242309,80.66113315432655,-1.3253543880965424,-1.3294769730520102,-2.0120871688216666,-0.5824315167712493,10
angle_p50,minilm,12,83.97737577785617,83.4270276932668,-0.5503480845893733,-0.5196330470297497,-1.1413877453363868,0.30812025589866093,8
angle_p50,minilm,13,83.47742068749736,83.56706919942553,0.08964851192817491,0.17681221907449896,-0.5697328619680853,0.42304460802670274,6
angle_p50,minilm,14,82.96634872582095,80.75063517741988,-2.2157135484010695,-2.2673373610786456,-3.0058044695463764,-1.4657016636942752,10
angle_p50,minilm,15,83.10667382154098,81.35971353955127,-1.7469602819897148,-1.6081186619003986,-2.4711163852326266,-1.0300729602392789,10
angle_p50,minilm,16,80.89535311298192,79.83365269839581,-1.061700414586113,-0.9078348418215683,-1.2209263101766326,-0.1581546922123556,9
angle_p50,minilm,17,86.54190103281913,86.46767536580653,-0.07422566701259825,0.232343866720349,-0.1761738765459519,0.4885596253661084,2
angle_p50,minilm,18,85.15168235053385,84.78911043759564,-0.3625719129382077,-0.4285590777531212,-0.5658863716381972,0.10765036871355088,9
angle_p50,minilm,19,82.55201394198737,80.89696409991885,-1.6550498420685216,-1.610193970102678,-2.430737635979329,-1.2365082856458742,10
angle_p50,minilm,20,83.42291663731523,82.99817671061263,-0.42473992670259975,-0.4211083345465667,-0.9238611103152372,0.4207654560047358,8
angle_p50,minilm,21,85.43484753082132,82.47378026246507,-2.9610672683562456,-3.1489680585312385,-3.7381924435455387,-2.8841013847118875,10
