metric,model,field_id,condition,reference_kind,n,reference,value,difference,relative_difference,same_ids
gap_25,mpnet,35,abstract,half,1000,0.07242253328086651,0.07408005629372252,0.0016575230128560159,0.02288684112205615,True
gap_25,mpnet,36,abstract,half,1000,0.13268765653678768,0.13902987100745343,0.006342214470665741,0.04779807433638231,True
gap_25,minilm,11,abstract,half,1000,0.13890635451153205,0.1408072372444143,0.0019008827328822475,0.01368463479994672,True
gap_25,minilm,12,abstract,half,1000,0.1550219148774618,0.15207489421406958,-0.0029470206633922247,-0.019010348735027036,True
gap_25,minilm,13,abstract,half,1000,0.14214891042385988,0.14607566050179088,0.003926750077931002,0.02762420103131435,True
gap_25,minilm,14,abstract,half,1000,0.18283549366084126,0.1778123802313092,-0.005023113429532072,-0.027473404255138324,True
gap_25,minilm,15,abstract,half,1000,0.04777954505620326,0.050098498827103884,0.0023189537709006267,0.048534446449266785,True
gap_25,minilm,16,abstract,half,1000,0.11987293704211605,0.11996777769221677,9.484065010072207e-05,0.0007911764943858917,True
gap_25,minilm,17,abstract,half,1000,0.11449109468117255,0.1120427279214383,-0.002448366759734255,-0.02138477902191703,True
gap_25,minilm,18,abstract,half,1000,0.11779319488274101,0.12147326965025301,0.003680074767512004,0.031241828283674528,True
gap_25,minilm,19,abstract,half,1000,0.10803829995317822,0.1034035161807092,-0.004634783772469023,-0.04289945116201987,True
gap_25,minilm,20,abstract,half,1000,0.15012098501705837,0.14955546462485253,-0.0005655203922058372,-0.0037670975323108665,True
gap_25,minilm,21,abstract,half,1000,0.08292838170828296,0.08377217112590653,0.0008437894176235722,0.010174917202553993,True
gap_25,minilm,22,abstract,half,1000,0.13193797663832715,0.1318152399567837,-0.00012273668154344497,-0.0009302604501802761,True
gap_25,minilm,23,abstract,half,1000,0.11887369700558202,0.12277377097209582,0.0039000739665138034,0.03280855281493151,True
gap_25,minilm,24,abstract,half,1000,0.10323200653775126,0.1046669292239963,0.0014349226862450382,0.013899978643932456,True
gap_25,minilm,25,abstract,half,1000,0.16022016874203254,0.16262701811212027,0.002406849370087727,0.015022137281374042,True
gap_25,minilm,26,abstract,half,1000,0.05127968502230153,0.05357008067667563,0.002290395654374104,0.04466477618530635,True
gap_25,minilm,27,abstract,half,1000,0.19895992515823804,0.20051714296719259,0.0015572178089545419,0.007826791288326258,True
gap_25,minilm,28,abstract,half,1000,0.09431995649271127,0.09409282574918365,-0.00022713074352762042,-0.0024080878742259843,True
gap_25,minilm,29,abstract,half,1000,0.036258257699267216,0.09207160240524748,0.05581334470598026,1.539327817925136,True
gap_25,minilm,30,abstract,half,1000,0.07190297797227299,0.05703416192962306,-0.014868816042649932,-0.20678998926002204,True
gap_25,minilm,31,abstract,half,1000,0.1271173687737516,0.12654653466370674,-0.0005708341100448544,-0.004490606716859023,True
gap_25,minilm,32,abstract,half,1000,0.14202263593428432,0.14200040447720735,-2.223145707697105e-05,-0.00015653460401381247,True
gap_25,minilm,33,abstract,half,1000,0.1678942263880476,0.1635485907871132,-0.0043456356009344,-0.025883174748907067,True
gap_25,minilm,34,abstract,half,1000,0.07783083739306763,0.0733794352901267,-0.004451402102940941,-0.057193295768618126,True
gap_25,minilm,35,abstract,half,1000,0.09503466276498486,0.09681108249621381,0.0017764197312289537,0.018692334770755544,True
gap_25,minilm,36,abstract,half,1000,0.1532205646560548,0.1486829229730227,-0.004537641683032084,-0.029615095683911977,True
gap_25,pubmedbert,11,abstract,half,1000,0.13716781699874586,0.13966962294279178,0.0025018059440459206,0.01823901552700802,True
gap_25,pubmedbert,12,abstract,half,1000,0.1128205900219346,0.10692535927535929,-0.005895230746575317,-0.052253145861310996,True
gap_25,pubmedbert,13,abstract,half,1000,0.14085618466126446,0.14257362024307055,0.0017174355818060927,0.012192830481219108,True
gap_25,pubmedbert,14,abstract,half,1000,0.12333464846780583,0.12069676925829605,-0.0026378792095097803,-0.021387981741386716,True
gap_25,pubmedbert,15,abstract,half,1000,0.10078494437579466,0.10860687367727881,0.007821929301484148,0.07761009692398786,True
gap_25,pubmedbert,16,abstract,half,1000,0.08048570747654392,0.08124274304951508,0.0007570355729711598,0.009405838585587184,True
gap_25,pubmedbert,17,abstract,half,1000,0.12933725129193402,0.1330628367831165,0.003725585491182487,0.028805200775245093,True
gap_25,pubmedbert,18,abstract,half,1000,0.11623768857116597,0.11312441507614711,-0.003113273495018859,-0.026783683788694508,True
gap_25,pubmedbert,19,abstract,half,1000,0.10920483533860978,0.1142496447147859,0.005044809376176115,0.046195842524131385,True
gap_25,pubmedbert,20,abstract,half,1000,0.11630352387423039,0.1148150711513724,-0.001488452722857983,-0.012798001928708391,True
gap_25,pubmedbert,21,abstract,half,1000,0.030872837881841763,0.032867600951704656,0.0019947630698628933,0.06461223543806893,True
gap_25,pubmedbert,22,abstract,half,1000,0.14264012034678641,0.14489591257782175,0.002255792231035336,0.015814570441689605,True
gap_25,pubmedbert,23,abstract,half,1000,0.11564354552614994,0.11728571586181338,0.0016421703356634398,0.014200276618915177,True
gap_25,pubmedbert,24,abstract,half,1000,0.12793047690674672,0.12930367617873148,0.0013731992719847597,0.010733949448071984,True
gap_25,pubmedbert,25,abstract,half,1000,0.17087964657363053,0.17383697445598267,0.0029573278823521454,0.017306495780220723,True
gap_25,pubmedbert,26,abstract,half,1000,0.050292991329241414,0.05022456067085999,-6.843065838142703e-05,-0.0013606400528743256,True
gap_25,pubmedbert,27,abstract,half,1000,0.16612466318055383,0.16089702409776518,-0.005227639082788643,-0.0314681696426192,True
gap_25,pubmedbert,28,abstract,half,1000,0.09588378105248073,0.09918657882196155,0.0033027977694808225,0.03444584405440874,True
gap_25,pubmedbert,29,abstract,half,1000,0.0909494956164602,0.09594491333016342,0.0049954177137032235,0.05492518325521251,True
gap_25,pubmedbert,30,abstract,half,1000,0.05123593301851105,0.050697267662749096,-0.0005386653557619553,-0.010513429228805897,True
gap_25,pubmedbert,31,abstract,half,1000,0.11546359780995959,0.11465841745062749,-0.0008051803593320944,-0.006973456349916733,True
gap_25,pubmedbert,32,abstract,half,1000,0.12064353154156525,0.11998935091108397,-0.0006541806304812825,-0.005422426068950891,True
gap_25,pubmedbert,33,abstract,half,1000,0.1279200678275143,0.12198196738612399,-0.005938100441390315,-0.04642039784873449,True
gap_25,pubmedbert,34,abstract,half,1000,0.1305474736678876,0.12753379909548473,-0.003013674572402869,-0.023084893853018162,True
gap_25,pubmedbert,35,abstract,half,1000,0.14395833183303652,0.1468114345255337,0.002853102692497167,0.01981894799813468,True
gap_25,pubmedbert,36,abstract,half,1000,0.12023062546159118,0.11737490878760665,-0.002855716673984529,-0.02375199050176126,True
gap_25,biobert,11,abstract,half,1000,0.14103312186617337,0.14727036589260523,0.00623724402643186,0.04422538439126657,True
gap_25,biobert,12,abstract,half,1000,0.10162686939645933,0.09484792683460658,-0.006778942561852755,-0.06670423483584088,True
gap_25,biobert,13,abstract,half,1000,0.1648774528356348,0.16520753659793083,0.00033008376229604064,0.002001994551826919,True
gap_25,biobert,14,abstract,half,1000,0.10875902230510755,0.09986921592891597,-0.008889806376191578,-0.08173856465215847,True
gap_25,biobert,15,abstract,half,1000,0.09547479231717575,0.10307650493326963,0.007601712616093881,0.07962010109265612,True
gap_25,biobert,16,abstract,half,1000,0.07461463363226419,0.07652965818826575,0.0019150245560015655,0.02566553587114965,True
