panel,metric,model_a,model_b,field_rank_spearman
title,gap_25,scincl,mpnet,0.9035897435897435
title,gap_25,scincl,minilm,0.9425641025641024
title,gap_25,scincl,pubmedbert,0.4659829059829059
title,gap_25,scincl,biobert,0.21450569509782214
title,gap_25,scincl,simcse,0.42222222222222217
title,gap_25,scibert,bert,0.7121367521367521
title,gap_25,scibert,mpnet,0.2526495726495726
title,gap_25,scibert,minilm,0.20547008547008547
title,gap_25,scibert,pubmedbert,0.7846153846153845
title,gap_25,scibert,biobert,0.13855631023065065
title,gap_25,scibert,simcse,0.5405128205128205
title,gap_25,bert,mpnet,0.37435897435897436
title,gap_25,bert,minilm,0.36615384615384616
title,gap_25,bert,pubmedbert,0.865982905982906
title,gap_25,bert,biobert,0.10092373214331345
title,gap_25,bert,simcse,0.7695726495726496
title,gap_25,mpnet,minilm,0.9576068376068375
title,gap_25,mpnet,pubmedbert,0.3907692307692307
title,gap_25,mpnet,biobert,0.4122477872294668
title,gap_25,mpnet,simcse,0.3182905982905983
title,gap_25,minilm,pubmedbert,0.3976068376068376
title,gap_25,minilm,biobert,0.40677395768949043
title,gap_25,minilm,simcse,0.3641025641025641
title,gap_25,pubmedbert,biobert,0.18918923347543162
title,gap_25,pubmedbert,simcse,0.7805128205128204
title,gap_25,biobert,simcse,0.19739997778539614
abstract,angle_p50,specter,specter2,0.2854700854700854
abstract,angle_p50,specter,scincl,0.43589743589743585
abstract,angle_p50,specter,scibert,0.3716239316239316
abstract,angle_p50,specter,bert,-0.2526495726495726
abstract,angle_p50,specter,mpnet,0.20888888888888887
abstract,angle_p50,specter,minilm,0.10427350427350426
abstract,angle_p50,specter,pubmedbert,0.17606837606837608
abstract,angle_p50,specter,biobert,-0.2704273504273504
abstract,angle_p50,specter,simcse,-0.19658119658119655
abstract,angle_p50,specter2,scincl,0.5179487179487179
abstract,angle_p50,specter2,scibert,0.07350427350427349
abstract,angle_p50,specter2,bert,-0.02222222222222222
abstract,angle_p50,specter2,mpnet,0.7292307692307692
abstract,angle_p50,specter2,minilm,0.5993162393162393
abstract,angle_p50,specter2,pubmedbert,0.07282051282051281
abstract,angle_p50,specter2,biobert,-0.13641025641025642
abstract,angle_p50,specter2,simcse,-0.02974358974358974
abstract,angle_p50,scincl,scibert,0.24102564102564097
abstract,angle_p50,scincl,bert,0.18564102564102564
abstract,angle_p50,scincl,mpnet,0.7887179487179486
abstract,angle_p50,scincl,minilm,0.7463247863247863
abstract,angle_p50,scincl,pubmedbert,0.20547008547008547
abstract,angle_p50,scincl,biobert,0.19658119658119655
abstract,angle_p50,scincl,simcse,0.33606837606837603
abstract,angle_p50,scibert,bert,0.3894017094017094
abstract,angle_p50,scibert,mpnet,0.23350427350427347
abstract,angle_p50,scibert,minilm,0.14324786324786323
abstract,angle_p50,scibert,pubmedbert,0.8564102564102564
abstract,angle_p50,scibert,biobert,0.5487179487179487
abstract,angle_p50,scibert,simcse,0.2553846153846154
abstract,angle_p50,bert,mpnet,0.362051282051282
abstract,angle_p50,bert,minilm,0.4229059829059829
abstract,angle_p50,bert,pubmedbert,0.5924786324786324
abstract,angle_p50,bert,biobert,0.8208547008547009
abstract,angle_p50,bert,simcse,0.8782905982905982
abstract,angle_p50,mpnet,minilm,0.9569230769230769
abstract,angle_p50,mpnet,pubmedbert,0.2923076923076923
abstract,angle_p50,mpnet,biobert,0.24444444444444444
abstract,angle_p50,mpnet,simcse,0.3634188034188034
abstract,angle_p50,minilm,pubmedbert,0.2834188034188034
abstract,angle_p50,minilm,biobert,0.34222222222222215
abstract,angle_p50,minilm,simcse,0.44
abstract,angle_p50,pubmedbert,biobert,0.7476923076923077
abstract,angle_p50,pubmedbert,simcse,0.3517948717948718
abstract,angle_p50,biobert,simcse,0.7258119658119657
abstract,pr,specter,specter2,0.4044444444444444
abstract,pr,specter,scincl,0.8188034188034188
abstract,pr,specter,scibert,0.6437606837606837
abstract,pr,specter,bert,0.15829059829059827
abstract,pr,specter,mpnet,0.6834188034188033
abstract,pr,specter,minilm,0.6512820512820512
abstract,pr,specter,pubmedbert,0.5295726495726496
abstract,pr,specter,biobert,0.4639316239316239
abstract,pr,specter,simcse,0.30529914529914526
abstract,pr,specter2,scincl,0.4776068376068376
abstract,pr,specter2,scibert,0.35794871794871796
abstract,pr,specter2,bert,0.49401709401709404
abstract,pr,specter2,mpnet,0.530940170940171
abstract,pr,specter2,minilm,0.5876923076923077
abstract,pr,specter2,pubmedbert,0.3121367521367521
abstract,pr,specter2,biobert,0.44820512820512814
abstract,pr,specter2,simcse,0.5254700854700854
abstract,pr,scincl,scibert,0.5917948717948718
abstract,pr,scincl,bert,0.30393162393162393
abstract,pr,scincl,mpnet,0.7299145299145299
abstract,pr,scincl,minilm,0.6841025641025641
abstract,pr,scincl,pubmedbert,0.5391452991452992
abstract,pr,scincl,biobert,0.5323076923076923
abstract,pr,scincl,simcse,0.39487179487179486
