metric,model,field_id,condition,model_difference_mean9,input_difference,model_minus_input
angle_p50,mpnet,14,title,40.03642151649851,2.601330447903294,37.43509106859521
angle_p50,mpnet,14,abstract,40.03642151649851,0.02912170304411177,40.007299813454395
angle_p50,mpnet,15,title,41.324664807144984,2.7175183821212556,38.60714642502373
angle_p50,mpnet,15,abstract,41.324664807144984,0.10522901284134889,41.219435794303635
angle_p50,mpnet,16,title,39.181090998218174,3.2367354442794607,35.94435555393871
angle_p50,mpnet,16,abstract,39.181090998218174,0.07363723333645567,39.10745376488172
angle_p50,mpnet,17,title,43.591681773624614,1.0908649750883228,42.50081679853629
angle_p50,mpnet,17,abstract,43.591681773624614,0.12454578614021727,43.4671359874844
angle_p50,mpnet,18,title,42.62594906555307,1.639555032639592,40.98639403291348
angle_p50,mpnet,18,abstract,42.62594906555307,0.07909687033109947,42.54685219522197
angle_p50,mpnet,19,title,40.86232262938603,3.098431751600245,37.763890877785784
angle_p50,mpnet,19,abstract,40.86232262938603,0.06349605504324529,40.79882657434278
angle_p50,mpnet,20,title,41.263808279090995,1.9421692385897984,39.321639040501196
angle_p50,mpnet,20,abstract,41.263808279090995,0.21815801147755565,41.04565026761344
angle_p50,mpnet,21,title,41.919537050099215,2.1671700616798972,39.75236698841932
angle_p50,mpnet,21,abstract,41.919537050099215,0.1443703177525748,41.77516673234664
angle_p50,mpnet,22,title,44.329740426486104,0.9583470945685946,43.37139333191751
angle_p50,mpnet,22,abstract,44.329740426486104,0.0068173743537727205,44.32292305213233
angle_p50,mpnet,23,title,42.44183780291482,2.468655467489498,39.97318233542532
angle_p50,mpnet,23,abstract,42.44183780291482,0.19936550719411628,42.2424722957207
angle_p50,mpnet,24,title,40.78439677473303,3.403210599734166,37.38118617499887
angle_p50,mpnet,24,abstract,40.78439677473303,0.13506853465321456,40.64932824007982
angle_p50,mpnet,25,title,42.02027710209807,2.2343837962235398,39.78589330587453
angle_p50,mpnet,25,abstract,42.02027710209807,0.0045509961615550765,42.015726105936515
angle_p50,mpnet,26,title,44.95258310499742,0.36347181837275855,44.589111286624664
angle_p50,mpnet,26,abstract,44.95258310499742,0.09434532637911275,44.85823777861831
angle_p50,mpnet,27,title,43.41806085908921,2.5309309195889256,40.887129939500284
angle_p50,mpnet,27,abstract,43.41806085908921,0.07514498886648369,43.342915870222726
angle_p50,mpnet,28,title,41.9879010094125,1.7712698952914678,40.21663111412103
angle_p50,mpnet,28,abstract,41.9879010094125,0.04388447986654853,41.94401652954595
angle_p50,mpnet,29,title,40.555472514920105,3.723737468335983,36.83173504658412
angle_p50,mpnet,29,abstract,40.555472514920105,0.0965863298893197,40.458886185030785
angle_p50,mpnet,30,title,38.28567706635104,4.385233992612868,33.900443073738174
angle_p50,mpnet,30,abstract,38.28567706635104,0.013757571765012244,38.27191949458603
angle_p50,mpnet,31,title,43.3149332716097,0.24400930137250043,43.0709239702372
angle_p50,mpnet,31,abstract,43.3149332716097,0.18030448766461404,43.13462878394509
angle_p50,mpnet,32,title,41.27312506188054,2.00797983752949,39.26514522435105
angle_p50,mpnet,32,abstract,41.27312506188054,7.389471838337158e-05,41.27305116716216
angle_p50,mpnet,33,title,40.90679851515276,2.0768202305549863,38.82997828459777
angle_p50,mpnet,33,abstract,40.90679851515276,0.3388055400868524,40.567992975065906
angle_p50,mpnet,34,title,38.43483235685573,3.719497708423944,34.715334648431785
angle_p50,mpnet,34,abstract,38.43483235685573,0.17762865270179873,38.25720370415393
angle_p50,mpnet,35,title,33.733340532762185,7.137081786151882,26.596258746610303
angle_p50,mpnet,35,abstract,33.733340532762185,0.061788618990277655,33.67155191377191
angle_p50,mpnet,36,title,39.93740447068495,3.355412917526337,36.581991553158616
angle_p50,mpnet,36,abstract,39.93740447068495,0.02178706840157929,39.915617402283374
angle_p50,minilm,11,title,40.67045694008041,2.78308990828468,37.88736703179573
angle_p50,minilm,11,abstract,40.67045694008041,0.1003524750501299,40.57010446503028
angle_p50,minilm,12,title,42.2990486184521,0.5450647018198111,41.753983916632286
angle_p50,minilm,12,abstract,42.2990486184521,0.1924000944623856,42.10664852398971
angle_p50,minilm,13,title,42.665381292937845,2.092557387210263,40.57282390572758
angle_p50,minilm,13,abstract,42.665381292937845,0.06720213127019292,42.59817916166765
angle_p50,minilm,14,title,41.738801540020845,0.8995197139519462,40.8392818260689
angle_p50,minilm,14,abstract,41.738801540020845,0.09806010412235366,41.64074143589849
angle_p50,minilm,15,title,43.3949385260944,1.7349019026287777,41.66003662346562
angle_p50,minilm,15,abstract,43.3949385260944,0.044856149590629,43.35008237650377
angle_p50,minilm,16,title,41.43536609758202,2.157864165107071,39.27750193247495
angle_p50,minilm,16,abstract,41.43536609758202,0.20033368818585018,41.23503240939617
angle_p50,minilm,17,title,44.71030972002004,0.14699651437301497,44.56331320564703
angle_p50,minilm,17,abstract,44.71030972002004,0.014290252674868498,44.696019467345174
angle_p50,minilm,18,title,43.91239068532765,0.5011538555687167,43.411236829758934
angle_p50,minilm,18,abstract,43.91239068532765,0.0020258317732810838,43.91036485355437
angle_p50,minilm,19,title,41.22554320362621,2.5260240447697555,38.699519158856454
angle_p50,minilm,19,abstract,41.22554320362621,0.11516926080574308,41.110373942820466
angle_p50,minilm,20,title,42.387566308716,0.6143071126686266,41.77325919604738
angle_p50,minilm,20,abstract,42.387566308716,0.14243967721411366,42.24512663150189
angle_p50,minilm,21,title,42.90071191637396,1.7776804420904568,41.1230314742835
angle_p50,minilm,21,abstract,42.90071191637396,0.10164877099616376,42.799063145377794
angle_p50,minilm,22,title,45.32501892952227,0.36022941652819895,44.964789512994074
angle_p50,minilm,22,abstract,45.32501892952227,0.1121276462310874,45.212891283291185
angle_p50,minilm,23,title,42.902033258177525,1.8899536830852952,41.01207957509223
angle_p50,minilm,23,abstract,42.902033258177525,0.0027433225194783972,42.89928993565805
angle_p50,minilm,24,title,41.36895769231623,3.324223609839251,38.04473408247698
angle_p50,minilm,24,abstract,41.36895769231623,0.08923105135346532,41.279726640962764
angle_p50,minilm,25,title,43.98314367562356,1.3646094863223226,42.618534189301236
angle_p50,minilm,25,abstract,43.98314367562356,0.048266347721337866,43.93487732790222
angle_p50,minilm,26,title,45.35066347609051,0.2771673937055823,45.07349608238493
angle_p50,minilm,26,abstract,45.35066347609051,0.05698177152230244,45.29368170456821
angle_p50,minilm,27,title,43.58629785011941,2.4440490431996125,41.142248806919795
angle_p50,minilm,27,abstract,43.58629785011941,0.1305955980136133,43.455702252105795
angle_p50,minilm,28,title,42.215294932215635,1.574944003448067,40.64035092876757
angle_p50,minilm,28,abstract,42.215294932215635,0.09817383756902132,42.11712109464661
angle_p50,minilm,29,title,41.98519191700919,3.113951686517936,38.87124023049125
angle_p50,minilm,29,abstract,41.98519191700919,0.06699136637786296,41.918200550631326
