main,alternative,comparison,unit,spearman_oriented
gap_25,connect_ratio90_50,Fields within model,specter,0.308034188034188
gap_25,connect_ratio90_50,Fields within model,specter2,0.4564102564102564
gap_25,connect_ratio90_50,Fields within model,scincl,0.38256410256410256
gap_25,connect_ratio90_50,Fields within model,scibert,0.5179487179487179
gap_25,connect_ratio90_50,Fields within model,bert,0.14051282051282052
gap_25,connect_ratio90_50,Fields within model,mpnet,0.43384615384615377
gap_25,connect_ratio90_50,Fields within model,minilm,0.5842735042735042
gap_25,connect_ratio90_50,Fields within model,pubmedbert,0.44752136752136745
gap_25,connect_ratio90_50,Fields within model,biobert,0.6280341880341881
gap_25,connect_ratio90_50,Fields within model,simcse,0.21641025641025638
gap_25,connect_ratio90_50,models within Field,11,0.5272727272727272
gap_25,connect_ratio90_50,models within Field,12,0.7454545454545454
gap_25,connect_ratio90_50,models within Field,13,0.04242424242424241
gap_25,connect_ratio90_50,models within Field,14,0.13939393939393938
gap_25,connect_ratio90_50,models within Field,15,-0.3696969696969697
gap_25,connect_ratio90_50,models within Field,16,0.5878787878787878
gap_25,connect_ratio90_50,models within Field,17,-0.1515151515151515
gap_25,connect_ratio90_50,models within Field,18,0.006060606060606061
gap_25,connect_ratio90_50,models within Field,19,0.709090909090909
gap_25,connect_ratio90_50,models within Field,20,0.01818181818181818
gap_25,connect_ratio90_50,models within Field,21,0.5636363636363636
gap_25,connect_ratio90_50,models within Field,22,-0.309090909090909
gap_25,connect_ratio90_50,models within Field,23,0.5636363636363636
gap_25,connect_ratio90_50,models within Field,24,0.006060606060606061
gap_25,connect_ratio90_50,models within Field,25,0.5272727272727272
gap_25,connect_ratio90_50,models within Field,26,0.3696969696969697
gap_25,connect_ratio90_50,models within Field,27,0.5757575757575757
gap_25,connect_ratio90_50,models within Field,28,0.2121212121212121
gap_25,connect_ratio90_50,models within Field,29,0.05454545454545454
gap_25,connect_ratio90_50,models within Field,30,0.49090909090909085
gap_25,connect_ratio90_50,models within Field,31,-0.19999999999999998
gap_25,connect_ratio90_50,models within Field,32,0.06666666666666665
gap_25,connect_ratio90_50,models within Field,33,0.5757575757575757
gap_25,connect_ratio90_50,models within Field,34,-0.6606060606060605
gap_25,connect_ratio90_50,models within Field,35,0.4545454545454545
gap_25,connect_ratio90_50,models within Field,36,0.309090909090909
gap_25,connect_r90,Fields within model,specter,-0.5904273504273503
gap_25,connect_r90,Fields within model,specter2,-0.6676923076923077
gap_25,connect_r90,Fields within model,scincl,-0.6827350427350427
gap_25,connect_r90,Fields within model,scibert,-0.2957264957264957
gap_25,connect_r90,Fields within model,bert,-0.8324786324786325
gap_25,connect_r90,Fields within model,mpnet,-0.671111111111111
gap_25,connect_r90,Fields within model,minilm,-0.6697435897435897
gap_25,connect_r90,Fields within model,pubmedbert,-0.5425641025641026
gap_25,connect_r90,Fields within model,biobert,-0.7018803418803419
gap_25,connect_r90,Fields within model,simcse,-0.7182905982905983
gap_25,connect_r90,models within Field,11,-0.8545454545454544
gap_25,connect_r90,models within Field,12,-0.6484848484848483
gap_25,connect_r90,models within Field,13,-0.8787878787878788
gap_25,connect_r90,models within Field,14,-0.6121212121212121
gap_25,connect_r90,models within Field,15,-0.4424242424242424
gap_25,connect_r90,models within Field,16,-0.709090909090909
gap_25,connect_r90,models within Field,17,-0.41818181818181815
gap_25,connect_r90,models within Field,18,-0.6969696969696969
gap_25,connect_r90,models within Field,19,-0.6969696969696969
gap_25,connect_r90,models within Field,20,-0.8060606060606059
gap_25,connect_r90,models within Field,21,-0.5636363636363636
gap_25,connect_r90,models within Field,22,-0.7575757575757575
gap_25,connect_r90,models within Field,23,-0.7939393939393938
gap_25,connect_r90,models within Field,24,-0.6
gap_25,connect_r90,models within Field,25,-0.8181818181818182
gap_25,connect_r90,models within Field,26,-0.5151515151515151
gap_25,connect_r90,models within Field,27,-0.5151515151515151
