metric,model,field_id,field_name,kind,repeats,reference_n,reference,median,q05,q95,relative_width,relative_median_shift,passes_width,passes_shift,passes_both
pr,pubmedbert,29,Nursing,external,5,2000,28.60699566878007,28.78916479586382,28.291428631554314,29.1319799792891,0.029382720138351023,0.00636799226290505,True,True,True
pr,pubmedbert,30,"Pharmacology, Toxicology and Pharmaceutics",half,20,2000,27.082803288807547,26.544549341186325,25.617171758557713,27.53879680341242,0.07095369797442103,0.019874380871187904,True,True,True
pr,pubmedbert,30,"Pharmacology, Toxicology and Pharmaceutics",external,5,2000,27.082803288807547,27.495364764061016,27.25711219155832,28.083850902591617,0.030526334449837454,0.015233337216017337,True,True,True
pr,pubmedbert,31,Physics and Astronomy,half,20,2000,30.054268887248238,29.587809807672272,28.92854398212576,30.34887766399778,0.04725896634519879,0.015520559868747306,True,True,True
pr,pubmedbert,31,Physics and Astronomy,external,5,2000,30.054268887248238,30.09967024882004,29.493897367841768,30.42825612560942,0.031089052981890738,0.0015106460164487734,True,True,True
pr,pubmedbert,32,Psychology,half,20,2000,25.123329416021992,24.93777978651365,24.06990162518728,26.645778461919228,0.10252927842793096,0.007385550952892784,False,True,False
pr,pubmedbert,32,Psychology,external,5,2000,25.123329416021992,25.198999453147927,24.98319373498666,26.07744983562607,0.04355537765394922,0.0030119430379986806,True,True,True
pr,pubmedbert,33,Social Sciences,half,20,2000,25.53388083977514,25.133807002889053,24.12264292827092,26.494404020348192,0.09288682386199143,0.015668352155183383,True,True,True
pr,pubmedbert,33,Social Sciences,external,5,2000,25.53388083977514,26.935856038790014,26.539935701986753,27.638499743733238,0.04302377882312383,0.05490646752102648,True,True,True
pr,pubmedbert,34,Veterinary,half,20,2000,29.62492733855476,28.72321744018639,28.16341796375064,29.878274036719375,0.05788557903860144,0.030437539578193607,True,True,True
pr,pubmedbert,34,Veterinary,external,5,2000,29.62492733855476,30.917170194572304,30.474420859204447,31.269203332231747,0.02682816615698318,0.043620119004841626,True,True,True
pr,pubmedbert,35,Dentistry,half,20,2000,28.909282559992366,28.42697508063572,27.660481225194214,29.641789222465288,0.06853535687575352,0.016683481451183164,True,True,True
pr,pubmedbert,35,Dentistry,external,5,2000,28.909282559992366,29.144964996270193,28.71402190941156,29.867163214592473,0.039888271277155406,0.008152483057604082,True,True,True
pr,pubmedbert,36,Health Professions,half,20,2000,26.71928807893594,26.37195005472102,25.37271682965142,27.420480004864153,0.07663988535783932,0.012999523909049926,True,True,True
pr,pubmedbert,36,Health Professions,external,5,2000,26.71928807893594,25.588805292544674,25.504279527948547,26.763833347568987,0.047140246248304964,0.04230961480154398,True,True,True
pr,biobert,11,Agricultural and Biological Sciences,half,20,2000,41.86049953655402,40.20975408714348,37.88417163121129,41.92529396283357,0.09653784298712051,0.039434442199359224,True,True,True
pr,biobert,11,Agricultural and Biological Sciences,external,5,2000,41.86049953655402,42.49958418599611,41.50357711560765,43.040608246973015,0.03671793572418263,0.01526700962763283,True,True,True
pr,biobert,12,Arts and Humanities,half,20,2000,27.892421452963728,27.722338748794613,26.655193950317738,29.076897962494844,0.08682301091215534,0.006097810634904293,True,True,True
pr,biobert,12,Arts and Humanities,external,5,2000,27.892421452963728,28.139539861146233,27.368371057989073,28.865754007585092,0.05368422215049078,0.008859697197650344,True,True,True
pr,biobert,13,"Biochemistry, Genetics and Molecular Biology",half,20,2000,52.176354373123566,50.50656032354172,49.21288697335866,51.65794276558748,0.0468613766064171,0.03200288846631204,True,True,True
